method,mean_interior_mmd_mean,mean_interior_mmd_std,mean_max_interior_mmd,mean_interior_angular_error,mean_max_moment_error
raw_si,0.15946341992131285,0.005755805436454474,0.23094040747513178,0.1290452703440011,0.6943439897325279
moment_tangent,0.06653061318182668,0.005678931427219024,0.09276955231618327,0.1104372005226421,5.021705530666024e-07
mfsi_learned,0.06280856619666578,0.006308689554087618,0.0829679394543101,0.10399701515250373,0.05383691955938158
mfsi_learned_safe,0.06278697659040154,0.00633457467416908,0.08277135144100567,0.10421576382900845,2.8248391844847767e-06
mgd_style,0.1149513983903241,0.006804754687862162,0.1495910891364681,0.22322211782424728,1.0406813369776315e-05
