replicate,t,raw_field_mmd2,downsampled_field_mmd2,maximum_standardized_phi_split_error
0,0.0,0.008526325225830078,0.0026237964630126953,0.015281415302244347
0,0.046875,0.0063626766204833984,0.0023763179779052734,0.08406251159943555
0,0.1015625,0.006815671920776367,0.00445866584777832,0.07086542165469203
0,0.1484375,0.005254149436950684,0.002607107162475586,0.01507126610374436
0,0.203125,0.005776047706604004,0.0030257701873779297,0.01006149954138136
0,0.25,0.006178855895996094,0.0031800270080566406,0.152141222435333
0,0.296875,0.00561213493347168,0.0023534297943115234,0.13497643638919843
0,0.3515625,0.0071201324462890625,0.0035517215728759766,0.05547542332477962
0,0.3984375,0.008246064186096191,0.0035486221313476562,0.036849180483067824
0,0.453125,0.004425644874572754,0.0019245147705078125,0.05998088619504619
0,0.5,0.004790067672729492,0.003795027732849121,0.15059767374015115
0,0.546875,0.006201386451721191,0.0024341344833374023,0.14769353643365674
0,0.6015625,0.0045926570892333984,0.0027076005935668945,0.10746044405883978
0,0.6484375,0.006127119064331055,0.004361510276794434,0.15042102237471083
0,0.703125,0.006455063819885254,0.0035371780395507812,0.1818628898059336
0,0.75,0.008437037467956543,0.003663778305053711,0.20156027047611838
0,0.796875,0.00572967529296875,0.0020350217819213867,0.10782215198857183
0,0.8515625,0.007185697555541992,0.0032138824462890625,0.022718288441257686
0,0.8984375,0.006389021873474121,0.009986042976379395,0.6103528788167101
0,0.953125,0.009289026260375977,0.003927350044250488,0.06711689590583551
0,1.0,0.005645036697387695,0.0025104284286499023,0.008419242264165221
1,0.0,0.005617856979370117,0.0028449296951293945,0.00450263067082587
1,0.046875,0.005680561065673828,0.00327146053314209,0.0016339390420927566
1,0.1015625,0.006849169731140137,0.0028215646743774414,0.04181742474194488
1,0.1484375,0.0052890777587890625,0.004107952117919922,0.039878807500793326
1,0.203125,0.005903959274291992,0.0037537813186645508,0.031550701769405075
1,0.25,0.006745457649230957,0.0028613805770874023,0.011756042867944466
1,0.296875,0.004022836685180664,0.0026268959045410156,0.06028106161984099
1,0.3515625,0.005505204200744629,0.002431511878967285,0.08659619721908635
1,0.3984375,0.006242036819458008,0.0028219223022460938,0.031319027855155765
1,0.453125,0.0064585208892822266,0.0020951032638549805,0.07393485041521973
1,0.5,0.005706667900085449,0.0019121170043945312,0.060668453712729886
1,0.546875,0.007256865501403809,0.00288236141204834,0.011733235842934592
1,0.6015625,0.006371021270751953,0.004012346267700195,0.09107754468520526
1,0.6484375,0.0050400495529174805,0.003111124038696289,0.1574629251844095
1,0.703125,0.0060138702392578125,0.0022324323654174805,0.16158647054889524
1,0.75,0.006256699562072754,0.004122376441955566,0.2030813923022312
1,0.796875,0.0064542293548583984,0.0030546188354492188,0.16689231623830916
1,0.8515625,0.006517648696899414,0.0032279491424560547,0.08235052772147493
1,0.8984375,0.0053179264068603516,0.004030466079711914,0.02214076525983436
1,0.953125,0.002718687057495117,0.0025658607482910156,0.10933963573893725
1,1.0,0.007910847663879395,0.004687070846557617,0.28876396735027204
2,0.0,0.007575035095214844,0.004620075225830078,0.0386952414746665
2,0.046875,0.0046579837799072266,0.003888368606567383,0.0580814825893583
2,0.1015625,0.005560040473937988,0.0035042762756347656,0.0534028197740749
2,0.1484375,0.005618929862976074,0.0023894309997558594,0.030462570744287893
2,0.203125,0.004241228103637695,0.0028531551361083984,0.04417814674027812
2,0.25,0.006018161773681641,0.0021593570709228516,0.1313902635732076
2,0.296875,0.0051805973052978516,0.001804947853088379,0.05450464148630434
2,0.3515625,0.004917502403259277,0.0017851591110229492,0.06482508011842056
2,0.3984375,0.005124688148498535,0.002154111862182617,0.022752757426812622
2,0.453125,0.0057621002197265625,0.003112196922302246,0.05384917440592932
2,0.5,0.006387829780578613,0.0027925968170166016,0.03237034028754384
2,0.546875,0.004513263702392578,0.0023522377014160156,0.12272203396499923
2,0.6015625,0.006808757781982422,0.0023474693298339844,0.1013865091383132
2,0.6484375,0.006915569305419922,0.004743456840515137,0.17790090626445265
2,0.703125,0.008626341819763184,0.003304719924926758,0.016486232944318398
2,0.75,0.00574493408203125,0.003389596939086914,0.12694220957931543
2,0.796875,0.004812002182006836,0.0020394325256347656,0.11954729855462945
2,0.8515625,0.006836652755737305,0.002497434616088867,0.32497799811956424
2,0.8984375,0.007905244827270508,0.002520918846130371,0.10202434210757506
2,0.953125,0.004126310348510742,0.004904389381408691,0.21164798616001063
2,1.0,0.0058286190032958984,0.006726384162902832,0.7497849184337825
3,0.0,0.0073136091232299805,0.0031189918518066406,0.04313439748187067
3,0.046875,0.005009651184082031,0.0044994354248046875,0.003430359962576609
3,0.1015625,0.00564122200012207,0.0040395259857177734,0.026687248889833946
3,0.1484375,0.006624698638916016,0.0028944015502929688,0.019665093596560792
3,0.203125,0.005201220512390137,0.0021353960037231445,0.02813790144336081
3,0.25,0.008304238319396973,0.004325151443481445,0.012943173851981312
