variant_id,validation_mse_per_pixel,validation_zero_predictor_mse_per_pixel,validation_normalized_fm_mse,local_fm_gate_pass,rollout_fidelity_gate_pass,field_pathology_gate_pass,phase3b_candidate_pass,integrated_raw_field_mmd2,integrated_downsampled_field_mmd2,maximum_rollout_standardized_phi_error,endpoint_rollout_standardized_phi_error,training_seconds,parameter_count
A_v7_saved_baseline,0.013278288242872804,0.039419032633304596,0.33684967275564653,True,False,True,False,0.014021478593349457,0.014603074174374342,2.3597625177569146,1.8724248271157804,,17593
B_baseline_longer,0.00992399055394344,0.039419032633304596,0.251756318990913,True,False,True,False,0.009099093731492758,0.0047269053757190704,1.5116473671216824,0.37682526846499576,135.6746409839834,17593
C_moderate_residual_receptive,0.007685042568482459,0.039419032633304596,0.1949576652469516,True,False,True,False,0.007872863207012415,0.0036645974032580853,0.9313625552356344,0.3129652782820983,201.4836606280005,37717
