variant_id,time,maximum_standardized_phi_error,phi_threshold,raw_field_mmd2,raw_mmd2_threshold,downsampled_field_mmd2,downsampled_mmd2_threshold,phi_gate_pass,raw_mmd_gate_pass,downsampled_mmd_gate_pass,projected_phi_residual_max,projected_ess_fraction,learned_field_minimum,learned_field_maximum
A_v7_saved_baseline,0.0,0.09628515150572314,0.15636255023162426,0.00494074821472168,0.03301115036010742,0.0019860267639160156,0.016378784179687498,True,True,True,5.5931703712985836e-11,0.9865427190237801,2.2984258407632296e-07,0.44294679164886475
A_v7_saved_baseline,0.046875,0.008464398397692197,0.22490745433772552,0.0042798519134521484,0.03151533603668213,0.0021543502807617188,0.01714224815368652,True,True,True,3.524958103184872e-13,0.6052286382146808,-0.006090447306632996,0.4305528402328491
A_v7_saved_baseline,0.1015625,0.19086588538803273,0.20142681891223851,0.004647612571716309,0.02734978199005127,0.0032134056091308594,0.017247867584228516,True,True,True,1.1102230246251565e-16,0.35665409202672504,-0.037584614008665085,0.4575716257095337
A_v7_saved_baseline,0.1484375,0.45772081464983994,0.34741647416660937,0.009620904922485352,0.03435525894165038,0.005701184272766113,0.019447898864746092,False,True,True,4.0967229608668276e-14,0.3836388874313795,-0.07781866937875748,0.47839394211769104
A_v7_saved_baseline,0.203125,0.7473828795677211,0.25847208921699233,0.006095290184020996,0.02898612022399902,0.003988504409790039,0.01624188423156738,False,True,True,1.044664355021041e-11,0.6581353974296876,-0.1286628395318985,0.49982133507728577
A_v7_saved_baseline,0.25,0.952413160798586,0.43463516050076734,0.007455110549926758,0.03417747020721435,0.006945133209228516,0.016512537002563474,False,True,True,7.327471962526033e-15,0.8421528513347212,-0.16936226189136505,0.514258086681366
A_v7_saved_baseline,0.296875,1.3340690286296408,0.524267859362602,0.011921525001525879,0.025380659103393554,0.008852958679199219,0.014310574531555176,False,True,True,3.3306690738754696e-16,0.9959079958014703,-0.20303533971309662,0.5245247483253479
A_v7_saved_baseline,0.3515625,1.4899991674767428,0.33854088048823744,0.013555288314819336,0.028758859634399413,0.008589625358581543,0.015244579315185545,False,True,True,4.963585875650267e-09,0.9050988023627298,-0.23170612752437592,0.5322264432907104
A_v7_saved_baseline,0.3984375,1.8911173434244044,0.3062081759821191,0.013977289199829102,0.030178618431091306,0.012607455253601074,0.013944149017333984,False,True,True,3.27939897459828e-11,0.7447037436476976,-0.24912463128566742,0.5361029505729675
A_v7_saved_baseline,0.453125,2.0515529451417733,0.7437407277309689,0.014540433883666992,0.032349133491516115,0.011337518692016602,0.014166021347045898,False,True,True,4.440892098500626e-16,0.6409211983845536,-0.2663329243659973,0.5381979942321777
A_v7_saved_baseline,0.5,2.1240736775804656,0.5881528885082695,0.02010345458984375,0.02682838439941406,0.018900513648986816,0.01420629024505615,False,True,False,3.9968028886505635e-15,0.5467552374908309,-0.26844313740730286,0.5366070866584778
A_v7_saved_baseline,0.546875,2.0260665488147964,0.5590853218566165,0.01578843593597412,0.029833006858825683,0.016010761260986328,0.013701558113098145,False,True,False,2.5518254176404298e-11,0.6870752350803843,-0.2572154402732849,0.5307438373565674
A_v7_saved_baseline,0.6015625,2.3597625177569146,0.8326949004063985,0.02082204818725586,0.02662220001220703,0.02026808261871338,0.018999433517456053,False,True,False,7.016609515630989e-13,0.7767434645254432,-0.23794591426849365,0.5198424458503723
A_v7_saved_baseline,0.6484375,2.162630107886388,0.8435005946048995,0.017716526985168457,0.03291738033294677,0.017160654067993164,0.023974609374999997,False,True,True,4.785061236134425e-14,0.8928100928509595,-0.22475174069404602,0.5069050788879395
A_v7_saved_baseline,0.703125,1.8486139599779217,0.8252493450262641,0.01640772819519043,0.03146557807922363,0.01856255531311035,0.013922739028930663,False,True,False,8.214926738858708e-09,0.9936119214687402,-0.21094951033592224,0.488526850938797
A_v7_saved_baseline,0.75,1.9320698144571593,0.6076469989892752,0.01969015598297119,0.03153481483459472,0.020650625228881836,0.020176291465759274,False,True,False,4.707345624410664e-14,0.8542626494664598,-0.1999320387840271,0.469849169254303
A_v7_saved_baseline,0.796875,1.6506930657831036,1.108642120465186,0.016614079475402832,0.03754055500030517,0.021500825881958008,0.011824107170104979,False,True,False,5.700995231450179e-13,0.4842670871195693,-0.18875466287136078,0.4492160379886627
A_v7_saved_baseline,0.8515625,1.6902260384561796,1.3220327345578298,0.016955971717834473,0.029540586471557616,0.01956343650817871,0.01605703830718994,False,True,False,1.9984014443252818e-15,0.3334632873839794,-0.17212232947349548,0.43154746294021606
A_v7_saved_baseline,0.8984375,1.9251094011116934,1.3546831918342923,0.02001953125,0.029498267173767086,0.030564308166503906,0.031606364250183094,False,True,True,9.538148049159645e-12,0.2985615287714674,-0.15353649854660034,0.418368935585022
A_v7_saved_baseline,0.953125,1.7958291261218078,0.6689631040800895,0.019558310508728027,0.039681005477905276,0.030635714530944824,0.0187166690826416,False,True,False,3.552713678800501e-14,0.44528375584750407,-0.1263294816017151,0.4125422239303589
A_v7_saved_baseline,1.0,1.8724248271157804,1.768383378805901,0.016683101654052734,0.028728270530700678,0.028211355209350586,0.024050498008728022,False,True,False,5.551115123125783e-16,0.9897477198072832,-0.11519107222557068,0.4104141592979431
