t,fm_mse_per_pixel,zero_predictor_mse_per_pixel,normalized_fm_mse,target_velocity_rms,predicted_velocity_rms,cosine_alignment,spatial_frequency_diagnostics
0.5,0.016804274171590805,0.020081043243408203,0.8368227670196852,0.14170759769119015,0.049978660615635204,0.40767760596178837,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.3489788770675659, 'target_energy': 0.43147218227386475, 'error_fraction_of_target': 0.8088096785949029}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.008249077014625072, 'target_energy': 0.007417048793286085, 'error_fraction_of_target': 1.1121778007031773}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00034014671109616756, 'target_energy': 5.898455128772184e-05, 'error_fraction_of_target': 5.7667084629831225}]"
0.55,0.017527658492326736,0.020844772458076477,0.840865906671747,0.1443771881499168,0.05898574202260785,0.3990297508553152,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.36524492502212524, 'target_energy': 0.42345428466796875, 'error_fraction_of_target': 0.8625368504855594}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.00846670102328062, 'target_energy': 0.008492019027471542, 'error_fraction_of_target': 0.997018611933273}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00031194675830192864, 'target_energy': 0.0012428169138729572, 'error_fraction_of_target': 0.25099976900846743}]"
0.6,0.01837533712387085,0.02477813884615898,0.7415947274312464,0.1574107329446089,0.07818722035375544,0.5084719190588713,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.38015884160995483, 'target_energy': 0.43699315190315247, 'error_fraction_of_target': 0.8699423319434686}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.009607110172510147, 'target_energy': 0.012294579297304153, 'error_fraction_of_target': 0.7814102410658906}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0003457795246504247, 'target_energy': 0.004679329227656126, 'error_fraction_of_target': 0.07389510500923345}]"
0.65,0.018746668472886086,0.029929904267191887,0.626352436864809,0.17300261346925336,0.10687393544877116,0.6113012892227976,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.381358802318573, 'target_energy': 0.438079297542572, 'error_fraction_of_target': 0.8705245932821397}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.011214611120522022, 'target_energy': 0.017509853467345238, 'error_fraction_of_target': 0.6404742987390819}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00045208018855191767, 'target_energy': 0.010039941407740116, 'error_fraction_of_target': 0.045028170005394094}]"
0.7,0.01956658810377121,0.03715444728732109,0.5266284262677832,0.19275488913986355,0.12794667779049976,0.6884626711829926,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.38714417815208435, 'target_energy': 0.45524337887763977, 'error_fraction_of_target': 0.8504114416920293}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.01424477994441986, 'target_energy': 0.024497929960489273, 'error_fraction_of_target': 0.5814687186792563}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0006094680866226554, 'target_energy': 0.016768358647823334, 'error_fraction_of_target': 0.03634631745557095}]"
0.75,0.01998692750930786,0.04383975267410278,0.4559087652224514,0.20937944663720645,0.1562650196485959,0.7376761012180233,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.38518351316452026, 'target_energy': 0.44550231099128723, 'error_fraction_of_target': 0.864604972098682}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.01709737256169319, 'target_energy': 0.03172549605369568, 'error_fraction_of_target': 0.5389158465089321}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0007255608215928078, 'target_energy': 0.02424660138785839, 'error_fraction_of_target': 0.029924227729340083}]"
0.8,0.02055417001247406,0.05141415074467659,0.3997765151183059,0.22674688695696923,0.17633837256445206,0.7747464528159848,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.38430923223495483, 'target_energy': 0.45580071210861206, 'error_fraction_of_target': 0.8431518907837475}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.02026974968612194, 'target_energy': 0.03890272602438927, 'error_fraction_of_target': 0.5210367436311336}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.000906896311789751, 'target_energy': 0.03174422308802605, 'error_fraction_of_target': 0.028568861467327365}]"
0.85,0.022020606324076653,0.05838427692651749,0.37716672164651127,0.24162838601148973,0.2075203390666722,0.7920215124629766,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.3958715796470642, 'target_energy': 0.46647152304649353, 'error_fraction_of_target': 0.8486511182111484}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.023637276142835617, 'target_energy': 0.046133242547512054, 'error_fraction_of_target': 0.5123697108108514}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0014880405506119132, 'target_energy': 0.03846757858991623, 'error_fraction_of_target': 0.03868297941170603}]"
0.9,0.024162281304597855,0.06403148919343948,0.37734998215648974,0.253044441143131,0.21441115262167468,0.7910836518028009,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.4201986491680145, 'target_energy': 0.4788077473640442, 'error_fraction_of_target': 0.8775936719514517}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.02932651713490486, 'target_energy': 0.05135413631796837, 'error_fraction_of_target': 0.5710643628260917}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0017965218285098672, 'target_energy': 0.04382849484682083, 'error_fraction_of_target': 0.04098981347154751}]"
0.95,0.028182264417409897,0.06741893291473389,0.4180170643319524,0.25965156058597816,0.2372068509587639,0.7753044063525517,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.42325541377067566, 'target_energy': 0.4813540279865265, 'error_fraction_of_target': 0.8793016972167582}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.04571849852800369, 'target_energy': 0.054468005895614624, 'error_fraction_of_target': 0.8393642795666331}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.003665224416181445, 'target_energy': 0.04731019586324692, 'error_fraction_of_target': 0.07747218859072166}]"
1.0,0.07487700879573822,0.06801813095808029,1.1008389636858011,0.260802858416238,0.1192454635056631,0.11833926497223149,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.4927023947238922, 'target_energy': 0.4699622392654419, 'error_fraction_of_target': 1.0483871970096863}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.08063486218452454, 'target_energy': 0.055452726781368256, 'error_fraction_of_target': 1.4541189742109726}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.051225610077381134, 'target_energy': 0.048490073531866074, 'error_fraction_of_target': 1.056414361667597}]"
