t,fm_mse_per_pixel,zero_predictor_mse_per_pixel,normalized_fm_mse,target_velocity_rms,predicted_velocity_rms,cosine_alignment,spatial_frequency_diagnostics
0.5,0.010658655315637589,0.014935577288269997,0.71364200458516,0.12221119952062494,0.06718556933623183,0.5353188825747951,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.22013352811336517, 'target_energy': 0.3252143859863281, 'error_fraction_of_target': 0.6768874244161496}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.004837892483919859, 'target_energy': 0.004200957715511322, 'error_fraction_of_target': 1.1516165625892314}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00035191874485462904, 'target_energy': 4.5294815208762884e-05, 'error_fraction_of_target': 7.769514970590843}]"
0.55,0.010803531855344772,0.016373392194509506,0.6598224562755861,0.12795855655058597,0.07746342746370372,0.5836520766989132,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.22422116994857788, 'target_energy': 0.33217528462409973, 'error_fraction_of_target': 0.6750085883190069}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.0048516737297177315, 'target_energy': 0.0053893462754786015, 'error_fraction_of_target': 0.9002341808676746}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00030663737561553717, 'target_energy': 0.001228451612405479, 'error_fraction_of_target': 0.24961290499273192}]"
0.6,0.01092019397765398,0.019661568105220795,0.5554080894877509,0.14021971368256603,0.09380547054666391,0.6667809845457217,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.22559699416160583, 'target_energy': 0.3326601982116699, 'error_fraction_of_target': 0.6781604633628567}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.005062703974545002, 'target_energy': 0.008677612990140915, 'error_fraction_of_target': 0.5834212680718767}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0003383070579729974, 'target_energy': 0.004668410401791334, 'error_fraction_of_target': 0.07246729161668912}]"
0.65,0.011852508410811424,0.024836113676428795,0.47722878729051244,0.15759477680566952,0.11455592365868796,0.7230394562201534,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.24208514392375946, 'target_energy': 0.33345991373062134, 'error_fraction_of_target': 0.725979747356748}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.006037928629666567, 'target_energy': 0.014125408604741096, 'error_fraction_of_target': 0.42745160856019254}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00042060556006617844, 'target_energy': 0.010031191632151604, 'error_fraction_of_target': 0.04192977020975944}]"
0.7,0.012145090848207474,0.031506359577178955,0.38548061442822307,0.17750030866784136,0.13439482664617167,0.7843857653550779,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.24272799491882324, 'target_energy': 0.3384115993976593, 'error_fraction_of_target': 0.7172567233240709}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.007100463844835758, 'target_energy': 0.020875688642263412, 'error_fraction_of_target': 0.34013076006798987}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0005570931825786829, 'target_energy': 0.016780249774456024, 'error_fraction_of_target': 0.03319933791609741}]"
0.75,0.01240614615380764,0.03898342326283455,0.3182415784822887,0.19744220233484672,0.16158563968369288,0.8257191518934046,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.24254845082759857, 'target_energy': 0.34620869159698486, 'error_fraction_of_target': 0.7005845223260447}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.00868987012654543, 'target_energy': 0.028186330571770668, 'error_fraction_of_target': 0.3083008660676306}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0006054288242012262, 'target_energy': 0.024269621819257736, 'error_fraction_of_target': 0.024945952133494872}]"
0.8,0.01235679816454649,0.046789828687906265,0.2640915453434935,0.21630956679700106,0.18399636782295403,0.8578819197843047,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.23347273468971252, 'target_energy': 0.360657662153244, 'error_fraction_of_target': 0.647352764657221}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.01054046768695116, 'target_energy': 0.0358487144112587, 'error_fraction_of_target': 0.29402637891083777}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0007064946694299579, 'target_energy': 0.03174196556210518, 'error_fraction_of_target': 0.022257432925747965}]"
0.85,0.013101869262754917,0.053548820316791534,0.24467148268150563,0.23140618037725685,0.21192680707307104,0.8702884318145211,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.23550298810005188, 'target_energy': 0.36823004484176636, 'error_fraction_of_target': 0.6395539728466504}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.013190947473049164, 'target_energy': 0.04260886833071709, 'error_fraction_of_target': 0.30958220647084633}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0010426221415400505, 'target_energy': 0.038456711918115616, 'error_fraction_of_target': 0.027111577915451154}]"
0.9,0.014017999172210693,0.05898289382457733,0.23766211291534822,0.24286394097225988,0.21534967674565902,0.87322376427784,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.24152454733848572, 'target_energy': 0.37553268671035767, 'error_fraction_of_target': 0.6431518637012008}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.017165258526802063, 'target_energy': 0.04807426035404205, 'error_fraction_of_target': 0.35705715283789735}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0011376268230378628, 'target_energy': 0.0437840111553669, 'error_fraction_of_target': 0.02598269991757976}]"
0.95,0.01626306027173996,0.06217747926712036,0.261558693974587,0.2493541242232026,0.232261714729167,0.8621186656012051,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.24867869913578033, 'target_energy': 0.3730261027812958, 'error_fraction_of_target': 0.6666522725397048}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.025838833302259445, 'target_energy': 0.051366422325372696, 'error_fraction_of_target': 0.5030296472389557}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.001971941441297531, 'target_energy': 0.04726994410157204, 'error_fraction_of_target': 0.04171660192913051}]"
1.0,0.06114419549703598,0.06351256370544434,0.9627102407739,0.25201699090625684,0.10437907576455308,0.25210431680151096,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.28505390882492065, 'target_energy': 0.3771948218345642, 'error_fraction_of_target': 0.7557206311542206}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.05950382724404335, 'target_energy': 0.052657198160886765, 'error_fraction_of_target': 1.1300226620914706}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.049311261624097824, 'target_energy': 0.048459481447935104, 'error_fraction_of_target': 1.0175771624192445}]"
