seed,comparison,principal_angle_1_degrees,principal_angle_2_degrees,principal_angle_3_degrees,subspace_chordal_distance
426,stop_grad_vs_hand,9.880011384964577,43.558708612545395,58.18045049282775,1.107388280607714
426,full_grad_vs_hand,19.562877986556817,23.34601486294964,85.28421615504564,1.1235656673425791
426,full_grad_vs_stop_grad,26.6588757612258,57.35612867809188,89.38056129048732,1.382109068674243
427,stop_grad_vs_hand,17.202179990147577,36.017462912434915,86.54251049820174,1.1956626186454489
427,full_grad_vs_hand,17.591779632930702,28.059149173454646,81.66456105753088,1.1364810069385634
427,full_grad_vs_stop_grad,35.58879858694315,43.69678489818091,84.53451043297875,1.344199652888903
428,stop_grad_vs_hand,7.725100078948714,40.13015421283434,58.121689267579086,1.0745116309323777
428,full_grad_vs_hand,8.073578081460417,48.95186183292751,70.92809100281546,1.2172553617029755
428,full_grad_vs_stop_grad,34.047073380016954,48.754391658922295,86.47817551911747,1.3693152726022386
429,stop_grad_vs_hand,5.093782295992136,18.988764427781845,71.79798675722647,1.0080590064379364
429,full_grad_vs_hand,26.924253067476656,30.415668891097873,50.977519165969035,1.031949517222078
429,full_grad_vs_stop_grad,32.190492030255584,44.85573676637568,73.48429533513027,1.3040228376941752
430,stop_grad_vs_hand,13.836765089736922,41.59218311825512,59.24806138473833,1.1119388702992652
430,full_grad_vs_hand,32.74664852637781,59.2704182166614,76.44130599833707,1.40589114434674
430,full_grad_vs_stop_grad,28.733307638945202,34.58675560988118,81.74004433140092,1.2380207849424882
431,stop_grad_vs_hand,10.079711430016594,32.16513946881239,57.01792316463747,1.0088081946426088
431,full_grad_vs_hand,26.076968389912413,36.17386867759224,71.91734384916661,1.2021930789888626
431,full_grad_vs_stop_grad,28.2109830481349,58.289247924951944,71.93970249731714,1.3605383724779703
432,stop_grad_vs_hand,4.360938079083127,45.749457641209574,79.3838668796607,1.2185733389746662
432,full_grad_vs_hand,29.11623957459781,49.32804295432302,68.43087083775556,1.294939204044702
432,full_grad_vs_stop_grad,22.887949021837848,48.98747051876927,88.43357835093356,1.3114455524251911
433,stop_grad_vs_hand,6.973950183167465,22.696712729353393,48.5495260145113,0.8517144473754391
433,full_grad_vs_hand,8.103207011311657e-05,8.103207011311657e-05,8.104106518114818e-05,2.4496892645192567e-06
433,full_grad_vs_stop_grad,6.973950183167413,22.696712729353408,48.54952601451134,0.8517144473754396
434,stop_grad_vs_hand,20.033868173034946,56.09668470077715,76.06315455561723,1.3222008259463107
434,full_grad_vs_hand,39.833260557229,62.947251563276666,88.36083632354837,1.4841295553339655
434,full_grad_vs_stop_grad,43.378542296787096,68.28745633113385,78.32809973118526,1.5145705912647256
435,stop_grad_vs_hand,14.97699982602046,50.1429295529644,81.32434123362054,1.2780115215054582
435,full_grad_vs_hand,7.877709256896411,25.689576016296083,40.48593246299413,0.7926181502283898
435,full_grad_vs_stop_grad,29.65817532170021,62.79524741578808,87.14721947455128,1.425962215162539
