seed,method,construction_objective,correction_energy,forcing_power,minimum_ess,median_ess,maximum_calibration_residual,endpoint_equivalence_residual,orthonormality_max_abs_residual,nullspace_residual
426,hand,0.6493694299139514,0.15799631032423067,24.457615815059675,0.14484888756478834,0.272978980750403,1.3597399555105182e-16,5.904733040294451e-18,1.000088900582341e-12,5.904733040294451e-18
426,stop_grad,0.1842936931995628,0.053543162850037865,6.537526517476247,0.5770094004361872,0.7869987876818387,5.721958498152797e-17,4.10281355947052e-18,9.99866855977416e-13,4.10281355947052e-18
426,full_grad,0.26641889848420147,0.09799919144503026,8.42098535195856,0.5246507367665639,0.7655777968947135,2.7894008272968645e-16,5.296247156855205e-18,1.0004219674897286e-12,5.296247156855205e-18
427,hand,1.1991837266875192,0.3990981061388216,38.13546410460178,0.071597148105545,0.19045683723982026,1.7554167342883506e-16,2.0421287090428013e-18,1.000310945187266e-12,2.0421287090428013e-18
427,stop_grad,0.7644146591215392,0.16778128938169634,29.630509686156586,0.13890221247148563,0.42204947451547986,6.206335383118183e-17,2.7769124835677133e-18,9.99866855977416e-13,2.7769124835677133e-18
427,full_grad,0.38476319710306034,0.1460076004982968,11.937779830238176,0.6038272628671634,0.7285879040805436,1.2719202621569003e-16,3.80862183593318e-18,1.0004219674897286e-12,3.80862183593318e-18
428,hand,0.4391503292013834,0.1518561701067502,14.263404624472816,0.15019017437110854,0.3015080439969586,1.2412670766236366e-16,3.601633495001436e-20,1.000088900582341e-12,3.601633495001436e-20
428,stop_grad,0.3271956508272192,0.09779331491650899,11.47011679553551,0.5571307735589336,0.6449260546525305,8.777083671441753e-17,1.3410840230045617e-18,1.0001999228848035e-12,1.3410840230045617e-18
428,full_grad,0.12649922375876482,0.04869001364384368,3.8904605057460566,0.7857767632895742,0.9158148313144145,2.242025235105681e-16,6.85709661831387e-19,9.997558336749535e-13,6.85709661831387e-19
429,hand,0.7046786753941763,0.21142210728570093,24.624607761027377,0.16260469571719946,0.23384604318463964,1.6653345369377348e-16,2.745513875641823e-18,1.000088900582341e-12,2.745513875641823e-18
429,stop_grad,0.5064547444698594,0.15358093860601812,17.643690293192062,0.20115930194798956,0.4539059302157319,6.973502068242161e-17,2.8189256484623115e-18,9.999778782798785e-13,2.8189256484623115e-18
429,full_grad,0.3230820335854576,0.10411472880856407,10.948365238844675,0.270477894188632,0.3601540606943324,1.2719202621569003e-16,3.28854801205107e-18,1.000088900582341e-12,3.28854801205107e-18
430,hand,0.5324569186264265,0.19666765335301034,16.66501276150622,0.1335035692093814,0.268241695040181,9.614813431917819e-17,2.115463755025686e-18,1.000088900582341e-12,2.115463755025686e-18
430,stop_grad,0.3532474939992699,0.13184125666234164,11.070311866846415,0.20142284666794347,0.5164922772379389,5.721958498152797e-17,3.157244383156457e-18,1.0001999228848035e-12,3.157244383156457e-18
430,full_grad,0.08613531688897572,0.036006896311997154,2.506421028848928,0.7419843547752293,0.8619852965548134,1.1775693440128312e-16,3.0357660829594124e-18,1.000088900582341e-12,3.0357660829594124e-18
431,hand,1.6195074445008542,0.591700538971276,46.776348056893454,0.038560175317257944,0.08232759191086939,1.8410966031475738e-16,3.015727639281432e-18,1.000310945187266e-12,3.015727639281432e-18
431,stop_grad,0.7742889177963884,0.26406936423860616,24.587512893341156,0.0855466097682206,0.18103568781023444,6.798699777552591e-17,1.6090451540233692e-18,9.999778782798785e-13,1.6090451540233692e-18
431,full_grad,1.0250421539472367,0.44230141139973655,28.5709196285284,0.11150049310915743,0.3502251945386891,1.249000902703301e-16,2.5007258838934287e-18,9.99866855977416e-13,2.5007258838934287e-18
432,hand,0.3772017935750038,0.13541465526260094,12.089356915620142,0.22285580291924145,0.3399796611457708,1.6653345369377348e-16,1.5377254317371262e-18,1.000088900582341e-12,1.5377254317371262e-18
432,stop_grad,0.14410256746438563,0.04567676422437236,4.921290162000663,0.2425795444305259,0.5205062438930772,1.2719202621569003e-16,2.4532694666933987e-18,1.000088900582341e-12,2.4532694666933987e-18
432,full_grad,0.0797527270376269,0.02477118005631285,2.7490773490657023,0.8536732821624581,0.9629916925647095,1.1527756336890508e-16,1.951563910473908e-18,9.999778782798785e-13,1.951563910473908e-18
433,hand,0.5673251960871635,0.23776076255283846,16.478221676716252,0.18096334077011017,0.3474059391874472,1.3597399555105182e-16,3.817033647838403e-18,1.000310945187266e-12,3.817033647838403e-18
433,stop_grad,0.35027291027343543,0.13262723512944635,10.88228375719945,0.5119253444335631,0.7338625965044603,1.2412670766236366e-16,4.888612772166187e-18,1.000088900582341e-12,4.888612772166187e-18
433,full_grad,0.5673251960871635,0.23776076255283846,16.478221676716252,0.18096334077011017,0.3474059391874472,1.3597399555105182e-16,3.817033647838403e-18,1.000310945187266e-12,3.817033647838403e-18
434,hand,0.5091365304072976,0.16102016257218088,17.405818391755833,0.1964874648509688,0.41056800341623656,1.3597399555105182e-16,2.315228675601076e-18,1.000088900582341e-12,2.315228675601076e-18
434,stop_grad,0.20722577611600126,0.07512430300807033,6.605073655396548,0.4694555114911172,0.7274280367380661,3.1031676915590914e-17,2.611104600503256e-18,9.999778782798785e-13,2.611104600503256e-18
434,full_grad,0.07486654116224133,0.024776269662731734,2.50451357497548,0.7884866252471041,0.9274104510723229,5.594315114139762e-17,4.84869951806108e-19,1.000310945187266e-12,4.84869951806108e-19
435,hand,1.353099889372806,0.4064491732506374,46.28765898271277,0.06354935886572367,0.18038660172922358,1.5700924586837752e-16,2.112080725174704e-18,1.000310945187266e-12,2.112080725174704e-18
435,stop_grad,0.414289520768144,0.06501812032372523,17.463570022220942,0.3894818802326167,0.5217717960639778,0.017000193666691265,6.133173666733497e-19,9.997558336749535e-13,6.133173666733497e-19
435,full_grad,1.0269038543262554,0.3332282288314023,33.390878060975666,0.05115900092889141,0.18333939223671963,2.0770370905276122e-16,2.8215306999825366e-18,1.000088900582341e-12,2.8215306999825366e-18
