design,theta1_deg,theta2_deg,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,23.3849164307422,67.95178714113145,0.0687360118546043,0.06618573672099663,2.6834018374035637,298.4982416694392,0.06581583881174527,314.05785338782016,1.0
law,23.3849164307422,67.95178714113145,0.0687360118546043,0.06618573672099663,2.6834018374035637,298.4982416694392,0.06581583881174527,314.05785338782016,1.0
tangent,25.165658284936548,64.14644523213042,0.06900219255134002,0.06637372448652676,2.2599436973356557,353.06660996449784,0.0660450680215592,368.00850643305944,1.0
full,21.218481533544225,68.84605997349458,0.06883140339741332,0.0663976417590803,2.97090586894467,245.94338966643033,0.06599171966601217,255.79390475537767,1.0
