candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,validation_A_full_h,validation_passes,validation_source,proxy_A_full_h,proxy_passes,proxy_source
"[0.359797679017566,1.2540381866387884]","[0.359797679017566,1.2540381866387884]","[20.614888486309226,71.8510954426416]","[""carried_previous_exact_finalist""]",True,True,0.06922697073358841,0.06675539778540633,51.23620695633237,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,18.983309072185666,True,new_corrected_nested_sweep_evaluation,True,20.56685162956364,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.3585196912613013,1.250952851265067]","[0.3585196912613013,1.250952851265067]","[20.541665181605865,71.67431874734494]","[""carried_previous_exact_finalist""]",True,True,0.06920630050684265,0.06674539151085324,51.132653565739076,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.25580478908586,True,new_corrected_nested_sweep_evaluation,True,20.973420514155407,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.37778033139870093,1.2571235220125092]","[0.37778033139870093,1.2571235220125092]","[21.645218572199138,72.02787213793822]","[""carried_previous_exact_finalist""]",True,True,0.06914013928584792,0.0666018669799251,50.382653565739076,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.379516518420015,True,new_corrected_nested_sweep_evaluation,True,20.49926032534254,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.3752243558861714,1.2632941927599515]","[0.3752243558861714,1.2632941927599515]","[21.49877196279241,72.3814255285315]","[""carried_previous_exact_finalist"",""prescreen_refinement_r0.25_5""]",True,True,0.06921748161761804,0.06667457253623507,50.88265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,True,18.701886704656633,True,new_corrected_nested_sweep_evaluation,True,19.671402294066905,True,new_corrected_nested_sweep_evaluation,True,19.24308221222028,True,new_corrected_nested_sweep_evaluation,18.397046999181846,True,new_corrected_nested_sweep_evaluation
"[0.3734170082687151,1.2571235220125092]","[0.3734170082687151,1.2571235220125092]","[21.395218572199138,72.02787213793822]","[""carried_previous_exact_finalist""]",True,True,0.06916545483577916,0.06664153357404741,50.632653565739076,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.20092353041077,True,new_corrected_nested_sweep_evaluation,True,20.409491352165357,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.37213902051245035,1.2602088573862302]","[0.37213902051245035,1.2602088573862302]","[21.321995267495776,72.20464883323486]","[""carried_previous_exact_finalist"",""prescreen_refinement_r0.5_5""]",True,True,0.0692044074598482,0.06667826581629788,50.882653565739076,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,18.857212583946172,True,new_corrected_nested_sweep_evaluation,True,19.988948945868366,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.36469036200874344,1.2571235220125092]","[0.36469036200874344,1.2571235220125092]","[20.895218572199138,72.02787213793822]","[""carried_previous_exact_finalist""]",True,True,0.06922253128512434,0.0667278198108875,51.132653565739076,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,18.85648305716161,True,new_corrected_nested_sweep_evaluation,True,20.23856035708056,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.36596834976500814,1.2540381866387884]","[0.36596834976500814,1.2540381866387884]","[20.9684418769025,71.8510954426416]","[""carried_previous_exact_finalist""]",True,True,0.06918296605986886,0.0666902733754067,50.88265356573909,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.210143178721303,True,new_corrected_nested_sweep_evaluation,True,20.673065339861942,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.3839510021461431,1.2632941927599515]","[0.3839510021461431,1.2632941927599515]","[21.99877196279241,72.3814255285315]","[""carried_previous_exact_finalist""]",True,True,0.06916831995216718,0.06659733220111556,50.38265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.089083533503864,True,new_corrected_nested_sweep_evaluation,True,19.881707982562432,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.37958767901615725,1.2632941927599515]","[0.37958767901615725,1.2632941927599515]","[21.74877196279241,72.3814255285315]","[""carried_previous_exact_finalist""]",True,True,0.06919188640453187,0.0666348537352021,50.63265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,18.89339059612736,True,new_corrected_nested_sweep_evaluation,True,19.77521236738818,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.3721390205124503,1.2602088573862302]","[0.3721390205124503,1.2602088573862302]","[21.321995267495772,72.20464883323486]","[""carried_previous_exact_finalist""]",True,True,0.0692044074598482,0.06667826581629788,50.88265356573908,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,18.857212583946172,True,new_corrected_nested_sweep_evaluation,True,19.988948945868366,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.3752243558861714,1.258930869629966]","[0.3752243558861714,1.258930869629966]","[21.49877196279241,72.13142552853151]","[""carried_previous_exact_finalist""]",True,True,0.06917255839232525,0.06663895248124846,50.6326535657391,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.105085323349556,True,new_corrected_nested_sweep_evaluation,True,20.217116776470974,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.37830969125989256,1.2602088573862302]","[0.37830969125989256,1.2602088573862302]","[21.67554865808905,72.20464883323486]","[""carried_previous_exact_finalist""]",True,True,0.06916753855459724,0.06662119249871166,50.52910017514581,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,False,True,19.11725177432341,True,new_corrected_nested_sweep_evaluation,True,20.124411479215592,True,new_corrected_nested_sweep_evaluation,False,,,,,,
"[0.4392235955039321,1.1195666727508942]","[0.4392235955039321,1.1195666727508942]","[25.165658284936548,64.14644523213042]","[""full_search_audit_10+saved_final_tangent+tangent_search_audit_0"",""mandatory_saved_tangent_seed""]",True,True,0.06900219255134,0.06637372448652676,38.98078694719387,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,21.841391921227174,True,new_corrected_nested_sweep_evaluation
"[0.39026746451612937,1.151562647044907]","[0.39026746451612937,1.151562647044907]","[22.360678598045826,65.97967952058643]","[""tangent_search_audit_1""]",True,True,0.06878452987871773,0.06630482942138824,43.61900092254061,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,17.91726820094749,True,new_corrected_nested_sweep_evaluation
"[0.4134082597236213,1.1588868139902107]","[0.4134082597236213,1.1588868139902107]","[23.686548498011675,66.39932337500156]","[""tangent_search_audit_2""]",True,True,0.068775022616286,0.0662190766866425,42.71277487698988,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,20.680519391019224,True,new_corrected_nested_sweep_evaluation
"[0.42664811015134674,1.1618345546071978]","[0.42664811015134674,1.1618345546071978]","[24.44513604890482,66.5682164714542]","[""tangent_search_audit_3""]",True,True,0.06878799343321765,0.06619010208750231,42.123080422549386,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,22.340531821590062,True,new_corrected_nested_sweep_evaluation
