contract_hash,design_index,design_id,source_time_index,day,grid_nx,grid_ny,tangent_action,direct_action_qr,direct_action_svd,direct_qr_svd_relative_difference,direct_condition_number,direct_full_column_rank,direct_numerical_success,forcing_compatibility_relative_residual,forcing_compatibility_valid,multiplier_coordinate_ready,lambda_dot_solve_relative_residual,lambda_dot_valid,tangent_compatibility_relative_residual,tangent_compatibility_valid,tangent_full_lower_bound_valid,local_valid,final_test_accessed
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,48,12.0,511,273,2284678.9957504636,3390720.5091061047,3390720.509107558,4.286194847920309e-13,1907670.1228749913,True,True,1.4370381953894795e-15,True,True,7.293541507237917e-17,True,7.663150763776303e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,49,12.249999999999998,511,273,2164131.7861088407,3208579.975783048,3208579.9757849267,5.854545148247025e-13,1626824.1910936744,True,True,1.6850582138936817e-15,True,True,1.163799283976763e-16,True,2.0662825785525578e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,50,12.5,511,273,2018674.1874700817,2996954.479476031,2996954.479477169,3.7974423501375865e-13,1385755.1134596642,True,True,6.359651588496495e-16,True,True,1.0357091432623653e-16,True,2.0775891289414757e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,51,12.75,511,273,1842086.6147494905,2746121.9560419396,2746121.956041172,2.7945219249812307e-13,1177170.6386390647,True,True,9.8539458303779e-16,True,True,1.075005728478806e-16,True,8.193045558833618e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,52,12.999999999999998,511,273,1637330.7228222184,2460635.8173833597,2460635.8173823105,4.2636739370070075e-13,1001487.5176891156,True,True,1.64267786686951e-16,True,True,1.3083238640392753e-16,True,3.020677327528937e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,53,13.25,511,273,1409881.6447606585,2146242.556999316,2146242.556996969,1.0935077586534661e-12,852415.8297706711,True,True,1.1919026014428994e-15,True,True,1.4660538654583664e-16,True,4.0638267900249103e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,54,13.5,511,273,1173984.7871611223,1823869.7642413895,1823869.7642408225,3.108459981148838e-13,726470.0956015759,True,True,6.7754991371294025e-18,True,True,8.197005392148507e-17,True,4.55975989705405e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,55,13.750000000000002,511,273,948735.107757908,1522760.6664563846,1522760.6664565722,1.2323768463346427e-13,620474.4105540753,True,True,1.8433044580717965e-15,True,True,1.17264513951229e-16,True,2.1828007789188231e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,56,14.0,511,273,751583.3060952955,1270575.858554113,1270575.8585542506,1.0829964183013134e-13,530566.8512617206,True,True,2.707876654857344e-15,True,True,1.0109292892696959e-16,True,4.72049598761449e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,281,design_000281,57,14.25,511,273,597785.0311269024,1089106.0210849799,1089106.0210848153,1.5114347168818164e-13,456122.3606198708,True,True,2.6708447964064236e-15,True,True,0.0,True,3.877987661052338e-16,True,True,True,False
