contract_hash,design_index,design_id,source_time_index,day,grid_nx,grid_ny,tangent_action,direct_action_qr,direct_action_svd,direct_qr_svd_relative_difference,direct_condition_number,direct_full_column_rank,direct_numerical_success,forcing_compatibility_relative_residual,forcing_compatibility_valid,multiplier_coordinate_ready,lambda_dot_solve_relative_residual,lambda_dot_valid,tangent_compatibility_relative_residual,tangent_compatibility_valid,tangent_full_lower_bound_valid,local_valid,final_test_accessed
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,48,12.0,511,273,1586159.2348525506,2181692.369150415,2181692.369148646,8.108600715191555e-13,1138994.2928101555,True,True,2.16246338728555e-16,True,True,1.5688548083674146e-16,True,1.670549926434707e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,49,12.249999999999998,511,273,1555013.2887321129,2162609.177526497,2162609.177526975,2.211375717049009e-13,996227.2280667818,True,True,2.7926665340919244e-15,True,True,1.3137268532668647e-16,True,4.0196975727566994e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,50,12.5,511,273,1517960.417819322,2162146.0760052977,2162146.0760041126,5.48116516894991e-13,869432.2059863209,True,True,9.78188757979681e-16,True,True,1.7021009597515823e-17,True,3.185138130488741e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,51,12.75,511,273,1469670.7841725093,2159667.7923585814,2159667.7923585996,8.409066556096672e-15,755763.6123172855,True,True,8.820320064625452e-16,True,True,1.8857309075860386e-17,True,2.126017047740104e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,52,12.999999999999998,511,273,1405682.3830581869,2133115.2732411893,2133115.273241432,1.1373484299264726e-13,656079.7157988444,True,True,1.1841864346714068e-15,True,True,8.33099924821681e-17,True,5.43608952643389e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,53,13.25,511,273,1324190.7201729142,2070855.5821921402,2070855.5821904733,8.049014099542354e-13,568362.4447156187,True,True,2.3507575370867226e-16,True,True,0.0,True,1.0501202280284587e-15,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,54,13.5,511,273,1227498.7710175212,1972499.407755881,1972499.407754963,4.654253503536803e-13,491646.81670696364,True,True,1.853508058140453e-15,True,True,1.0141328652695504e-16,True,1.4979891426683907e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,55,13.750000000000002,511,273,1121496.2012613688,1848147.2853598108,1848147.2853612986,8.050158257042678e-13,424915.9997024711,True,True,9.272660179859735e-16,True,True,1.7882963596755578e-16,True,3.2407794485743445e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,56,14.0,511,273,1012733.9467881024,1711936.2154833071,1711936.215483263,2.584081223011348e-14,366530.24208679865,True,True,2.425271578492317e-15,True,True,1.409869897065866e-16,True,7.747537414382573e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,57,14.25,511,273,908989.5224813598,1578256.9206318115,1578256.9206310625,4.745844423952538e-13,316666.39087744965,True,True,5.605807100264528e-16,True,True,6.745494098678733e-17,True,1.0953967757248166e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,58,14.500000000000002,511,273,813158.5958416763,1454309.1625895014,1454309.1625898604,2.4686969026235724e-13,273735.9664304288,True,True,1.6241097560772244e-15,True,True,3.68469861279533e-17,True,2.345705409430507e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,59,14.75,511,273,725878.772691853,1342021.7000353127,1342021.7000346663,4.816150638742541e-13,236843.8602367973,True,True,1.1370462358439308e-15,True,True,8.022381866526934e-17,True,3.424860078380443e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,267,design_000267,60,15.0,511,273,646046.9838113913,1240064.3055484695,1240064.3055480802,3.1392955546534275e-13,205186.55294422264,True,True,3.0579089790419825e-16,True,True,8.702197372647539e-17,True,2.452101986503416e-16,True,True,True,False
