contract_hash,design_index,design_id,source_time_index,day,grid_nx,grid_ny,tangent_action,direct_action_qr,direct_action_svd,direct_qr_svd_relative_difference,direct_condition_number,direct_full_column_rank,direct_numerical_success,forcing_compatibility_relative_residual,forcing_compatibility_valid,multiplier_coordinate_ready,lambda_dot_solve_relative_residual,lambda_dot_valid,tangent_compatibility_relative_residual,tangent_compatibility_valid,tangent_full_lower_bound_valid,local_valid,final_test_accessed
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,48,12.0,511,273,1617292.266256569,2441592.0413543503,2441592.0413537715,2.370653943491929e-13,2929181.3305173405,True,True,9.658000606562167e-16,True,True,4.246941011188911e-17,True,4.778992615651652e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,49,12.249999999999998,511,273,1540232.6223166839,2376365.1310470384,2376365.131046943,4.017083176777053e-14,2514638.084144634,True,True,2.260486925666229e-15,True,True,9.311455223506835e-17,True,3.3615687682763013e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,50,12.5,511,273,1455452.252169834,2289375.4507703707,2289375.45077155,5.152147675703387e-13,2151157.2204863434,True,True,2.4979796213330196e-15,True,True,2.654011056150521e-19,True,7.880033416213947e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,51,12.75,511,273,1349871.5342676071,2165618.077748154,2165618.0777489487,3.6704709182172726e-13,1824586.5835009457,True,True,1.6140783323067852e-15,True,True,1.8602746361958768e-17,True,5.583937638902788e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,52,12.999999999999998,511,273,1335706.6511562094,2722998.6320339926,2722998.6320327953,4.396679291659858e-13,1493573.9357789431,True,True,1.6965175412534969e-15,True,True,1.7809286186004436e-16,True,2.8025532262501143e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,53,13.25,511,273,1256995.2715631407,2480558.4890643777,2480558.489065045,2.690090266581465e-13,1190913.251421826,True,True,2.6182842121939633e-16,True,True,1.8434475664159816e-16,True,6.180946291646816e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,54,13.5,511,273,967973.9155947885,1815427.2858203705,1815427.2858165822,2.0867745199611144e-12,979567.293372952,True,True,7.746323217956033e-16,True,True,2.132575872971479e-16,True,9.32308576223176e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,55,13.750000000000002,511,273,752505.9121590571,1389683.112194332,1389683.1121941675,1.1845237494709278e-13,813797.2789735473,True,True,1.0729371957497866e-15,True,True,1.304369298248108e-16,True,1.2677474672257425e-15,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,56,14.0,511,273,575920.3298572396,1072601.5590334372,1072601.5590338556,3.900765042919329e-13,678471.1567465884,True,True,3.7694870160301836e-17,True,True,1.4615246797274298e-16,True,6.495786193521139e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,4,design_000004,57,14.25,511,273,434110.35122793214,834505.7295974271,834505.7295973882,4.6593709439183354e-14,569644.507239335,True,True,1.0810838236156488e-15,True,True,8.162637187396153e-17,True,2.940187761621221e-16,True,True,True,False
