contract_hash,design_index,design_id,source_time_index,day,grid_nx,grid_ny,tangent_action,direct_action_qr,direct_action_svd,direct_qr_svd_relative_difference,direct_condition_number,direct_full_column_rank,direct_numerical_success,forcing_compatibility_relative_residual,forcing_compatibility_valid,multiplier_coordinate_ready,lambda_dot_solve_relative_residual,lambda_dot_valid,tangent_compatibility_relative_residual,tangent_compatibility_valid,tangent_full_lower_bound_valid,local_valid,final_test_accessed
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,48,12.0,511,273,1974960.0418746322,3333128.1767572686,3333128.176753921,1.0043535132549827e-12,1856407.4378609867,True,True,1.5135692923600592e-15,True,True,1.8668023215389097e-16,True,5.017531537470968e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,49,12.249999999999998,511,273,1837372.2823791439,3256990.067410326,3256990.0674114907,3.575752014749749e-13,1556630.12020523,True,True,3.8483064280676105e-15,True,True,9.993212145086184e-17,True,3.65568834418244e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,50,12.5,511,273,1685233.3045377412,3107210.8440952334,3107210.8440928617,7.632610258055691e-13,1305828.879579964,True,True,4.100762350998241e-15,True,True,7.980496913207905e-17,True,9.144478342010946e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,51,12.75,511,273,1527821.3797730412,2908492.3633678323,2908492.3633659296,6.541849804742954e-13,1093403.7254856129,True,True,8.3786898946805485e-16,True,True,1.0042783966968527e-16,True,7.344030660470388e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,52,12.999999999999998,511,273,1374881.574397299,2683956.5122681595,2683956.5122673875,2.876598077603625e-13,918109.1985756132,True,True,1.8325979805274243e-15,True,True,1.121916724929093e-16,True,1.1358909759986914e-15,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,53,13.25,511,273,1232117.233007704,2455676.986029486,2455676.986030281,3.2369233492686613e-13,771545.1731398795,True,True,7.210963867044858e-16,True,True,2.2993556209122777e-16,True,1.1027520068340071e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,54,13.5,511,273,1104935.7965701392,2242330.661153819,2242330.661152634,5.285161536293601e-13,649031.7033106702,True,True,1.6770938054036553e-15,True,True,1.6322295297980128e-16,True,4.706632768695344e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,55,13.750000000000002,511,273,997314.0502599485,2058473.3000126905,2058473.3000126998,4.524336432295395e-15,546654.7820003954,True,True,1.8797090407813783e-15,True,True,6.793783631445168e-17,True,6.186885903856385e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,56,14.0,511,273,909421.8767613886,1909696.9291138155,1909696.929114145,1.7251709197807143e-13,460039.79871808144,True,True,9.48710832925164e-16,True,True,3.732300189595793e-17,True,5.727097736381162e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,14,design_000014,57,14.25,511,273,841525.9950303637,1798051.7914217368,1798051.7914219985,1.4554733335015972e-13,388661.9188072267,True,True,3.4332479378917873e-16,True,True,4.0759044312442105e-17,True,6.073440330446553e-16,True,True,True,False
