design_index,design_id,source_time_index,day,risk
0,design_000000,0,0.0,0.002493662186412389
0,design_000000,10,2.5,0.0030052433259812553
0,design_000000,20,5.0,0.01811181126590038
0,design_000000,30,7.5,0.02192100634375086
0,design_000000,40,10.0,0.022019852699878023
0,design_000000,50,12.5,0.02564040178546541
0,design_000000,60,15.0,0.018334296561693997
0,design_000000,70,17.5,0.014561120660553843
0,design_000000,80,20.0,0.0075207552775413975
0,design_000000,90,22.5,0.005814601639178983
0,design_000000,100,25.0,0.0034358290588020033
0,design_000000,110,27.5,0.0036631459977918054
0,design_000000,120,30.0,0.0035890292406826124
0,design_000000,130,32.5,0.002050192850880723
0,design_000000,140,35.0,0.0021209393733756616
0,design_000000,150,37.5,0.002665775146696113
0,design_000000,160,40.0,0.004423988126094112
0,design_000000,170,42.5,0.0036709741857425377
0,design_000000,180,45.0,0.0049224800516805695
1,design_000001,0,0.0,0.0020545434897685003
1,design_000001,10,2.5,0.003357541196214865
1,design_000001,20,5.0,0.04358038278459654
1,design_000001,30,7.5,0.10171408564092489
1,design_000001,40,10.0,0.14028062654175194
1,design_000001,50,12.5,0.13291936372173893
1,design_000001,60,15.0,0.1149645164276441
1,design_000001,70,17.5,0.08975023103587498
1,design_000001,80,20.0,0.06729667424048927
1,design_000001,90,22.5,0.051443971149658534
1,design_000001,100,25.0,0.038309244498223816
1,design_000001,110,27.5,0.030233746465888632
1,design_000001,120,30.0,0.01858977555765251
1,design_000001,130,32.5,0.02011200111619031
1,design_000001,140,35.0,0.022581344217252587
1,design_000001,150,37.5,0.02132517618237243
1,design_000001,160,40.0,0.019772460229133603
1,design_000001,170,42.5,0.018974080289893978
1,design_000001,180,45.0,0.02131686859409456
2,design_000002,0,0.0,0.002187476625597752
2,design_000002,10,2.5,0.06803326995601049
2,design_000002,20,5.0,0.08560927596969357
2,design_000002,30,7.5,0.019315162009987136
2,design_000002,40,10.0,0.030657475950958895
2,design_000002,50,12.5,0.029113317669134296
2,design_000002,60,15.0,0.0229017593633291
2,design_000002,70,17.5,0.027041599125535068
2,design_000002,80,20.0,0.03240433859824818
2,design_000002,90,22.5,0.037716081419632265
2,design_000002,100,25.0,0.0354271404999262
2,design_000002,110,27.5,0.025690724302822446
2,design_000002,120,30.0,0.014842019541830688
2,design_000002,130,32.5,0.013870328310800439
2,design_000002,140,35.0,0.015083489418889416
2,design_000002,150,37.5,0.012557750911536068
2,design_000002,160,40.0,0.010507595957281363
2,design_000002,170,42.5,0.008212958329141153
2,design_000002,180,45.0,0.010484404193470222
3,design_000003,0,0.0,0.002096722510054567
3,design_000003,10,2.5,0.08466769656271458
3,design_000003,20,5.0,0.01901122181296186
3,design_000003,30,7.5,0.035070960370124526
3,design_000003,40,10.0,0.05202976504551362
