seed,method,interior_mmd2,integrated_mmd2,endpoint_mmd2,maximum_moment_error,interior_phi_mmd2,q4_change
406,raw,0.0188417283384823,0.02458365277906288,0.0035279905801859357,0.024092093205169467,0.03013327172615582,0.593635371704037
406,tangent,0.0021513845538185805,0.009815944264554566,0.059111488748222696,0.0011055272147322843,0.0010203952179307918,0.5534353685138951
406,frozen_neural,0.017499746862474935,0.023057053575086833,0.008314517934595145,0.020937239088583665,0.029198335964299965,0.6007330023737377
406,scalar_adapted,0.017499746862474935,0.023057053575086833,0.008314517934595145,0.020937239088583665,0.029198335964299965,0.6007330023737377
406,stopped_state_adapted,0.016969966452020202,0.022450255465328944,0.010913024341638433,0.01980020231199466,0.02752549236322266,0.6027924656969903
406,rollout_adapted,0.01623942244736809,0.022109966648947765,0.016215776515315472,0.019507862798290202,0.027240961770073152,0.6068256412921922
407,raw,0.015965012646198373,0.02088259340189541,0.002480983558405203,0.020497821297056962,0.023174266153987738,0.5868756516208818
407,tangent,0.004386466735641414,0.010727463762165823,0.044619849680052504,0.0020994301636815256,0.0019533064970878866,0.5523914346712756
407,frozen_neural,0.012357371311308374,0.01688923910329526,0.012498280425327302,0.015575484443364939,0.018576510944721902,0.5995009064800848
407,scalar_adapted,0.011387727808237047,0.016256491666484296,0.01832563105990892,0.014877642688829348,0.017382161710789268,0.6015261057246235
407,stopped_state_adapted,0.012357371311308374,0.01688923910329526,0.012498280425327302,0.015575484443364939,0.018576510944721902,0.5995009064800848
407,rollout_adapted,0.010109745597031289,0.0152050603221634,0.022911482709838005,0.013147586448288277,0.014521557777444072,0.6026686297512301
408,raw,0.015019586765136289,0.022277431939108444,0.009415674974390553,0.020820417434859663,0.022556647760429066,0.6134645663197213
408,tangent,0.0029311379115052605,0.00676836518471885,0.02477188378510964,0.0026293230477598918,0.003020116491601582,0.5753457981777863
408,frozen_neural,0.01763462825596912,0.02373553911346918,0.01244634823644386,0.020951419137447542,0.02950551833728246,0.6108192792378505
408,scalar_adapted,0.015732100753464956,0.022206440736143945,0.009653228297430427,0.019326107203444028,0.024858706402901803,0.6133592313085641
408,stopped_state_adapted,0.015288855730853257,0.021096548414344496,0.01953532495828192,0.019884646071637428,0.02447547306499087,0.6083855001367378
408,rollout_adapted,0.012407877513320315,0.017715094757800948,0.014814883290994674,0.017297181767702667,0.017794393481810278,0.6107474341890495
409,raw,0.014626551456644737,0.016655273139902227,0.004456372831963762,0.02459499132115584,0.029468461210995195,0.5962168651166835
409,tangent,0.007115906751954781,0.01839085230764817,0.05735385166248563,0.0010885385590245335,0.008125317501440271,0.555725189920568
409,frozen_neural,0.008426582634440127,0.0095099979364493,0.0054962791726391735,0.01842385229455978,0.017515790218035954,0.5960913897917148
409,scalar_adapted,0.007776490691210336,0.009032052243019506,0.005989691812246178,0.017878607972029878,0.01599118625328866,0.595532827202354
409,stopped_state_adapted,0.008285883691334012,0.0094897852362609,0.005639439346642572,0.01849547202673374,0.016903701744414273,0.5959351434156378
409,rollout_adapted,0.0076846491035265085,0.008989400121179103,0.006320014896018744,0.01781197766559916,0.015781905348365405,0.59444627604895
410,raw,0.01981708837937965,0.028805481381194098,0.007179037121337606,0.0243291118659387,0.025440999427135624,0.6327103172603883
410,tangent,0.011607006296333489,0.02167696679570541,0.02492452615595897,0.003703788800693472,0.0049752368431841,0.6054803753251458
410,frozen_neural,0.02013874281991898,0.029366492067668976,0.009381825720104153,0.020481416294491676,0.023089624449674745,0.640352379240366
410,scalar_adapted,0.02034300771390915,0.02972346192744857,0.010064375750209242,0.02028982100570999,0.023070556690840432,0.6407801482647086
410,stopped_state_adapted,0.02046834554871904,0.02983201295933513,0.009534400932852405,0.02060962269114218,0.02281537661241881,0.6401777699919293
410,rollout_adapted,0.019319140145225594,0.02850032528443261,0.010624757411605179,0.0202659352121725,0.02192413088124992,0.6423163386537204
411,raw,0.011295083945271872,0.015130793977140372,0.010210063495435184,0.020925146793933362,0.02465569987905128,0.5927541196280928
411,tangent,0.012801517964360076,0.029914699583655835,0.06384019247876593,0.002612396421796563,0.00838836495738357,0.5648153801476401
411,frozen_neural,0.010704292483433686,0.016633353497308323,0.016083435405255475,0.01528954472143043,0.01821459841776396,0.590636488596587
411,scalar_adapted,0.011423797227677418,0.01939157845460729,0.02236329415531868,0.01276963929314373,0.01590535333619386,0.5884829749241396
411,stopped_state_adapted,0.010704292483433686,0.016633353497308323,0.016083435405255475,0.01528954472143043,0.01821459841776396,0.590636488596587
411,rollout_adapted,0.01015848463222832,0.016924798591631984,0.01972466581504584,0.01358047704395155,0.015078234601685475,0.5903445869036985
412,raw,0.01823330282157168,0.02283071873427253,0.0028892454650502053,0.03366814156566043,0.030212106002958344,0.606726001121777
412,tangent,0.012688896981078057,0.035685073642744286,0.12882550473130094,0.0007308622949589526,0.011700299505461476,0.5488166702408243
412,frozen_neural,0.01369389654808817,0.01684542845710918,0.005776157085106259,0.026707340813239524,0.021100020918673162,0.6006764375652556
412,scalar_adapted,0.013117799563840848,0.01642822764733659,0.007518437944365797,0.025135555012923475,0.019703516458910275,0.5988328596678951
412,stopped_state_adapted,0.01298331606083325,0.01653244986745836,0.009396375102087573,0.024949365924653546,0.019305507217712264,0.5965662567185435
412,rollout_adapted,0.01298889265363537,0.0166047832198557,0.009906603720265972,0.024983576605759818,0.019276956777446508,0.5961907647093264
413,raw,0.006680067192145617,0.010186069103410106,0.007381363423742959,0.0150774545166184,0.013195185203752458,0.6121367975191381
413,tangent,0.0026066736639190347,0.007639354794462455,0.031942394899648674,0.002741000352901257,0.0044613459302838,0.586870788479263
413,frozen_neural,0.009183082293427902,0.013756104917184347,0.01414425888044124,0.01555934201510162,0.01748059961297782,0.6179123196500983
413,scalar_adapted,0.00745045693883456,0.011228857590583868,0.00901551414462376,0.015225250651292823,0.014500613438892335,0.6146372062308261
413,stopped_state_adapted,0.00636600199638207,0.012703278200517865,0.037780036672051986,0.012908115417257228,0.011864041142259446,0.6152076371366587
413,rollout_adapted,0.005691254882777441,0.009722559043536222,0.019008519173037808,0.010006175473360454,0.010645055178141904,0.6127704912019312
414,raw,0.015326454838985315,0.018736533108793446,0.0020613547392871467,0.02239878906678354,0.017211222341894955,0.6012377355881021
414,tangent,0.01025414776319275,0.020155740489201823,0.041342327408760315,0.0014781527843582788,0.006528561091015017,0.5708639664275739
414,frozen_neural,0.008082103317847228,0.01525613021965494,0.039469610121774856,0.015551711955844164,0.006316061375110593,0.6088966151525892
414,scalar_adapted,0.008031075546321875,0.015377165821782113,0.04068564662806229,0.015817638915369706,0.006256477326025328,0.60898576529569
414,stopped_state_adapted,0.008082103317847228,0.01525613021965494,0.039469610121774856,0.015551711955844164,0.006316061375110593,0.6088966151525892
414,rollout_adapted,0.007962566708625773,0.017197700902196966,0.056560648076706244,0.01893005150261656,0.005166747062333749,0.6146238623980974
415,raw,0.025867008188952573,0.030425125028818223,0.010344677650343526,0.031631306120831114,0.03197115769106998,0.6396086830118325
415,tangent,0.02024629796840527,0.03934505465239027,0.0891070831978269,0.0025860950982035686,0.01884590489752902,0.5900046540148556
415,frozen_neural,0.021946787107503862,0.025662136946792508,0.011692926511785995,0.023334450354646517,0.020333018523880225,0.6356723112815694
415,scalar_adapted,0.021625926005465257,0.025628959918999716,0.013019633629008709,0.021014237490582836,0.018428795606118153,0.6338222727250878
415,stopped_state_adapted,0.021775008902212817,0.02600157991542168,0.014723885609773113,0.021160794100536305,0.018496163759824852,0.6317076266134987
415,rollout_adapted,0.02131026394066951,0.025145614380841147,0.012607858772653247,0.02162796326305954,0.018073912662751074,0.6347251203986632
