design,theta1_deg,theta2_deg,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,23.3849164307422,67.95178714113145,0.0687360118546043,0.06618573672099662,2.6834018374035637,298.4982416694438,0.06581583881174527,314.05785338780737,1.0
law,23.3849164307422,67.95178714113145,0.0687360118546043,0.06618573672099662,2.6834018374035637,298.4982416694438,0.06581583881174527,314.05785338780737,1.0
tangent,25.165658284936548,64.14644523213042,0.06900219255134002,0.06637372448652676,2.2599436973356557,353.06660996451825,0.06604506802155918,368.0085064330482,1.0
full,21.218481533544225,68.84605997349458,0.06883140339741334,0.06639764175908028,2.97090586894467,245.9433896664436,0.0659917196660122,255.79390475539304,1.0
