theta1_deg,theta2_deg,proxy_action,prescreen_action,full_action,action_valid,screened_candidate_count,exact_law_audited_count,exact_law_valid_count,exact_finalist_count
19.95786890461027,65.96574304984362,529.1323785229308,256.578233270038,252.66363975223044,True,49,30,30,12
21.218481533544225,68.84605997349458,563.1540341577926,267.392218037618,245.9433896664436,True,49,30,30,12
19.953234793565958,63.90692473159945,557.6017763509733,270.6348976630582,274.165376010287,True,49,30,30,12
20.525199549441464,65.40680433383395,564.8941923936541,271.9448926844606,266.5368476105199,True,49,30,30,12
20.427204644193047,64.05191347216996,576.0185941430901,278.2577015914871,278.5018720511375,True,49,30,30,12
21.491560990216318,67.74941510807058,594.1192463613974,281.0221312164458,261.0562249792434,True,49,30,30,12
22.132749185957454,68.46044632899353,630.6668124122419,294.9240143987662,267.8170205341059,True,49,30,30,12
22.26475233587806,68.32747305798223,641.156887399746,299.31198830440644,271.64249952803823,True,49,30,30,12
22.31928120619355,67.75296215589047,649.282457421257,303.3456191475281,277.2907694840417,True,49,30,30,12
21.738610758804615,62.1604011408426,646.2331635668447,311.18237856291495,311.52082059295884,True,49,30,30,12
25.165658284936548,64.14644523213042,829.5916468370419,384.0223272152682,353.06660996451825,True,49,30,30,12
23.3849164307422,67.95178714113145,724.7756360247237,333.60578213755434,298.4982416694438,True,49,30,30,12
