candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,proxy_A_full_h,proxy_passes,proxy_source,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,validation_A_full_h,validation_passes,validation_source
"[0.3752243558861714,1.2632941927599515]","[0.3752243558861714,1.2632941927599515]","[21.49877196279241,72.3814255285315]","[""mandatory_previous_corrected_incumbent"",""carried_previous_exact_finalist""]",True,True,0.06921748161761804,0.06667457253623507,50.88265356573908,4.0,0.0692360118546043,0.06883316618983648,True,True,False,False,True,18.397046999181846,True,new_corrected_nested_sweep_evaluation,True,18.701886704656633,True,new_corrected_nested_sweep_evaluation,True,19.671402294066905,True,new_corrected_nested_sweep_evaluation,True,19.24308221222028,True,new_corrected_nested_sweep_evaluation
"[0.40294027427553375,1.2053392262704312]","[0.40294027427553375,1.2053392262704312]","[23.0867771118319,69.06085054685987]","[""carried_previous_exact_finalist""]",True,True,0.0687593710939516,0.06621188562919098,45.97407343502797,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,25.14441105268914,True,new_corrected_nested_sweep_evaluation,True,27.573950551159513,True,accepted_isolated_corrected_0p5_rerun,False,,,
"[0.3690536851387292,1.2324408390227404]","[0.3690536851387292,1.2324408390227404]","[21.145218572199134,70.61365857556511]","[""carried_previous_exact_finalist""]",True,True,0.06898644182783659,0.0665210537883375,49.46844000336598,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,17.248402543036633,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.3628830143912871,1.250952851265067]","[0.3628830143912871,1.250952851265067]","[20.791665181605865,71.67431874734494]","[""carried_previous_exact_finalist"",""initial_ring_center_0_r1_5"",""initial_ring_center_4_r1_5""]",True,True,0.06917461987788673,0.06669860868878917,50.882653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.40819992823364,True,new_corrected_nested_sweep_evaluation,True,21.040259435874198,True,new_corrected_nested_sweep_evaluation,True,20.310305049837915,True,new_corrected_nested_sweep_evaluation
"[0.34798569738387325,1.2447821805176247]","[0.34798569738387325,1.2447821805176247]","[19.938111791012588,71.32076535675166]","[""carried_previous_exact_finalist""]",True,True,0.06923291143894587,0.0668213524251819,51.382653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.584572035185932,True,new_corrected_nested_sweep_evaluation,True,21.732436779171344,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.359797679017566,1.247867515891346]","[0.359797679017566,1.247867515891346]","[20.614888486309226,71.4975420520483]","[""carried_previous_exact_finalist""]",True,True,0.06916787124971956,0.06670850652634244,50.882653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.62095505264924,True,new_corrected_nested_sweep_evaluation,True,21.424792110552797,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.35671234364384485,1.249145503647611]","[0.35671234364384485,1.249145503647611]","[20.438111791012588,71.57076535675168]","[""carried_previous_exact_finalist""]",True,True,0.06920278085331508,0.06675174447032817,51.13265356573909,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.383908634584245,True,new_corrected_nested_sweep_evaluation,True,21.20180854730707,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.3536270082701238,1.247867515891346]","[0.3536270082701238,1.247867515891346]","[20.26133509571595,71.4975420520483]","[""carried_previous_exact_finalist""]",True,True,0.06921489539915371,0.06677722328763397,51.23620695633235,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.41947991786375,True,new_corrected_nested_sweep_evaluation,True,21.343812943538715,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.352349020513859,1.2447821805176247]","[0.352349020513859,1.2447821805176247]","[20.188111791012588,71.32076535675166]","[""carried_previous_exact_finalist""]",True,True,0.06919660031923865,0.06676934640799982,51.132653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.714419725294693,True,new_corrected_nested_sweep_evaluation,True,21.77836427650941,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.36905368513872927,1.2571235220125092]","[0.36905368513872927,1.2571235220125092]","[21.145218572199138,72.02787213793822]","[""carried_previous_exact_finalist"",""prescreen_refinement_r0.5_5""]",True,True,0.069192897784744,0.06668349557260596,50.882653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.026555926630483,True,new_corrected_nested_sweep_evaluation,True,20.32243166724836,True,new_corrected_nested_sweep_evaluation,True,19.746995928782667,True,new_corrected_nested_sweep_evaluation
"[0.367246337521273,1.250952851265067]","[0.367246337521273,1.250952851265067]","[21.041665181605868,71.67431874734494]","[""carried_previous_exact_finalist""]",True,True,0.06914521630025255,0.0666542828812712,50.632653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.564908929102806,True,new_corrected_nested_sweep_evaluation,True,21.10982594519329,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.3659683497650082,1.2540381866387884]","[0.3659683497650082,1.2540381866387884]","[20.968441876902503,71.8510954426416]","[""carried_previous_exact_finalist""]",True,True,0.06918296605986886,0.0666902733754067,50.88265356573909,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.210143178721303,True,new_corrected_nested_sweep_evaluation,True,20.673065339861942,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.3628830143912871,1.2553161743950527]","[0.3628830143912871,1.2553161743950527]","[20.791665181605865,71.92431874734494]","[""carried_previous_exact_finalist""]",True,True,0.06921710804180899,0.06673231051926024,51.132653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,18.967407907996225,True,new_corrected_nested_sweep_evaluation,True,20.446693317066213,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.359797679017566,1.2540381866387884]","[0.359797679017566,1.2540381866387884]","[20.614888486309226,71.8510954426416]","[""carried_previous_exact_finalist""]",True,True,0.06922697073358841,0.06675539778540633,51.23620695633237,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,18.983309072185666,True,new_corrected_nested_sweep_evaluation,True,20.56685162956364,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.3585196912613013,1.250952851265067]","[0.3585196912613013,1.250952851265067]","[20.541665181605865,71.67431874734494]","[""carried_previous_exact_finalist""]",True,True,0.06920630050684265,0.06674539151085324,51.132653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.25580478908586,True,new_corrected_nested_sweep_evaluation,True,20.973420514155407,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.37778033139870093,1.2571235220125092]","[0.37778033139870093,1.2571235220125092]","[21.645218572199138,72.02787213793822]","[""carried_previous_exact_finalist""]",True,True,0.06914013928584792,0.0666018669799251,50.382653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.379516518420015,True,new_corrected_nested_sweep_evaluation,True,20.49926032534254,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.3734170082687151,1.2571235220125092]","[0.3734170082687151,1.2571235220125092]","[21.395218572199138,72.02787213793822]","[""carried_previous_exact_finalist""]",True,True,0.06916545483577916,0.06664153357404741,50.632653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.20092353041077,True,new_corrected_nested_sweep_evaluation,True,20.409491352165357,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.37213902051245035,1.2602088573862302]","[0.37213902051245035,1.2602088573862302]","[21.321995267495776,72.20464883323486]","[""carried_previous_exact_finalist""]",True,True,0.0692044074598482,0.06667826581629788,50.882653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,18.857212583946172,True,new_corrected_nested_sweep_evaluation,True,19.988948945868366,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.36469036200874344,1.2571235220125092]","[0.36469036200874344,1.2571235220125092]","[20.895218572199138,72.02787213793822]","[""carried_previous_exact_finalist""]",True,True,0.06922253128512434,0.0667278198108875,51.132653565739076,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,18.85648305716161,True,new_corrected_nested_sweep_evaluation,True,20.23856035708056,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.36596834976500814,1.2540381866387884]","[0.36596834976500814,1.2540381866387884]","[20.9684418769025,71.8510954426416]","[""carried_previous_exact_finalist""]",True,True,0.06918296605986886,0.0666902733754067,50.88265356573909,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,False,,,,True,19.210143178721303,True,new_corrected_nested_sweep_evaluation,True,20.673065339861942,True,new_corrected_nested_sweep_evaluation,False,,,
"[0.4392235955039321,1.1195666727508942]","[0.4392235955039321,1.1195666727508942]","[25.165658284936548,64.14644523213042]","[""full_search_audit_10+saved_final_tangent+tangent_search_audit_0"",""mandatory_saved_tangent_seed""]",True,True,0.06900219255134,0.06637372448652676,38.98078694719387,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,21.841391921227174,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.39026746451612937,1.151562647044907]","[0.39026746451612937,1.151562647044907]","[22.360678598045826,65.97967952058643]","[""tangent_search_audit_1""]",True,True,0.06878452987871773,0.06630482942138824,43.61900092254061,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,17.91726820094749,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.4134082597236212,1.1588868139902107]","[0.4134082597236212,1.1588868139902107]","[23.68654849801167,66.39932337500156]","[""tangent_search_audit_2""]",True,True,0.068775022616286,0.06621907668664251,42.71277487698988,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,20.680519391019224,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.4266481101513467,1.1618345546071978]","[0.4266481101513467,1.1618345546071978]","[24.445136048904818,66.5682164714542]","[""tangent_search_audit_3""]",True,True,0.06878799343321765,0.06619010208750231,42.12308042254939,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,22.340531821590062,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.4006481240183468,1.1574142793954025]","[0.4006481240183468,1.1574142793954025]","[22.95544657608526,66.31495335753205]","[""tangent_search_audit_4""]",True,True,0.06876950578416413,0.06625470757321258,43.35950678144678,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,19.20368801684669,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.4258579831998469,1.1631439942644295]","[0.4258579831998469,1.1631439942644295]","[24.399865109304343,66.64324183734064]","[""tangent_search_audit_5""]",True,True,0.06878310047429251,0.06618721560775759,42.243376728036296,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,22.300332883340822,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.3851380009454405,1.1547775042593145]","[0.3851380009454405,1.1547775042593145]","[22.06678198427925,66.16387727070916]","[""tangent_search_audit_6""]",True,True,0.0687805829937952,0.0663176006756563,44.09709528642992,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,17.475573531900334,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
"[0.42655167198968663,1.174272828594405]","[0.42655167198968663,1.174272828594405]","[24.439610549257697,67.28087707534854]","[""tangent_search_audit_7""]",True,True,0.06876124417721063,0.06615899327394038,42.84126652609085,4.0,0.0692360118546043,0.06883316618983648,True,False,False,False,True,22.838648123031504,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,False,,,
