id,feed,kill,component_count_mean,component_count_std,background_component_count_mean,background_component_count_std,minority_component_count_mean,minority_component_count_std,phase_component_max_mean,phase_component_max_std,euler_characteristic_mean,euler_characteristic_std,absolute_euler_characteristic_mean,absolute_euler_characteristic_std,interface_length_mean,interface_length_std,area_fraction_mean,area_fraction_std,minkowski_area_mean,minkowski_area_std,minkowski_perimeter_mean,minkowski_perimeter_std,minkowski_euler_mean,minkowski_euler_std,anisotropy_mean,anisotropy_std,heldout_spectrum_1_mean,heldout_spectrum_1_std,heldout_spectrum_2_mean,heldout_spectrum_2_std,phi_mean_mean,phi_second_moment_mean,phi_shell_1_mean,phi_shell_2_mean,field_min,field_max,within_regime_diversity,pattern_presence_fraction,mean_timestep_relative_rmse,worst_timestep_relative_rmse,design_regime_gate_pass,design_regime_failure_reason,morphology_score,empirical_class
gs_01,0.018,0.051,0.453125,1.082760837741203,1.0625,0.3933978962347216,0.5,1.168366109179552,1.3125,0.8521681032463466,0.34375,1.1981301569595322,0.46875,1.1542708823500962,0.025604248046875,0.055040796941821436,0.045654296875,0.10626590442319138,0.045654296875,0.10626590442319138,0.025604248046875,0.055040796941821436,0.34375,1.1981301569595322,0.03926728580331738,0.10470459242694208,1.964921551399639e-06,5.5295753932435105e-06,4.4338818736887535e-08,1.2345074584582573e-07,0.01759955659508705,0.0028733438812196255,0.0016392834950238466,0.0005806614644825459,9.80908925027372e-45,0.37876731157302856,0.0497334860265255,0.203125,0.25,1.0,False,pattern_presence;mean_timestep_convergence;worst_timestep_convergence,nan,rejected_unstable
gs_02,0.022,0.051,1.265625,0.8016290457463021,2.0625,1.0370134162086937,2.078125,1.2124314740904243,2.328125,1.0397601600735578,-0.609375,1.9729696214042747,1.546875,1.3561112411644918,0.159698486328125,0.04028461228144966,0.479705810546875,0.1708497989840575,0.479705810546875,0.1708497989840575,0.159698486328125,0.04028461228144966,-0.609375,1.9729696214042747,0.3029946454965827,0.17551553771006606,2.9349309993624892e-05,3.96946366198263e-05,1.6492605596849388e-06,2.680717771572626e-06,0.14403510093688965,0.03023434616625309,0.015319100581109524,0.004777184687554836,8.407790785948902e-45,0.4412085711956024,0.09692167490720749,0.96875,0.6147538423538208,1.054762840270996,False,mean_timestep_convergence;worst_timestep_convergence,nan,rejected_unstable
gs_03,0.026,0.055,1.484375,0.5342904358504557,1.796875,0.44292274219727706,1.78125,0.48693241276708477,1.859375,0.3930825471690252,-0.421875,0.751816583086044,0.546875,0.6649904522527385,0.214752197265625,0.0314305102622774,0.523406982421875,0.06789252271899765,0.523406982421875,0.06789252271899765,0.214752197265625,0.0314305102622774,-0.421875,0.751816583086044,0.28713396037273486,0.1969495954205024,2.0451371000036446e-05,5.482327477699973e-06,3.071858183422014e-07,1.0478018824968719e-07,0.15887516736984253,0.033573199063539505,0.016750197857618332,0.006462206598371267,8.407790785948902e-45,0.3419870138168335,0.09056654572486877,0.984375,0.01925988309085369,0.025385556742548943,True,,-2.6415690375526077,labyrinth_like
gs_04,0.03,0.055,1.0,0.0,4.296875,0.6589960497990817,4.296875,0.6589960497990817,4.296875,0.6589960497990817,-4.296875,0.6589960497990817,4.296875,0.6589960497990817,0.15411376953125,0.015075591419046786,0.760162353515625,0.02044957803082176,0.760162353515625,0.02044957803082176,0.15411376953125,0.015075591419046786,-4.296875,0.6589960497990817,0.30037777778848906,0.20127215591791345,9.413485618340051e-06,3.1021513217071896e-06,9.375888964136311e-08,4.1480013823643005e-08,0.19959254562854767,0.04438205063343048,0.019220972433686256,0.004704819060862064,0.02251093089580536,0.30257856845855713,0.06685808300971985,1.0,0.014664369635283947,0.04625776782631874,True,,1.3066102976079506,ambiguous
gs_05,0.034,0.058,1.109375,0.3145764348029479,2.359375,0.7425222459389925,2.359375,0.7425222459389925,2.359375,0.7425222459389925,-1.765625,1.0800086345921733,1.765625,1.0800086345921733,0.21331787109375,0.016748965385275805,0.609039306640625,0.020157689160159677,0.609039306640625,0.020157689160159677,0.21331787109375,0.016748965385275805,-1.765625,1.0800086345921733,0.3315857178944826,0.2648708379461872,2.8942846657555447e-05,5.117516697630343e-06,5.42193179650782e-07,1.863248268784571e-07,0.18550798296928406,0.04346228390932083,0.02081168256700039,0.007919532246887684,0.0030579494778066874,0.35774946212768555,0.09431065618991852,1.0,0.010073462501168251,0.018995394930243492,True,,-1.8244027577544852,ambiguous
gs_06,0.038,0.061,1.609375,0.6812031256627485,1.296875,0.4937606739854878,1.65625,0.6718548123582124,1.78125,0.6538955307075933,0.890625,1.0407138499416242,1.078125,0.841478055245838,0.2305908203125,0.013980081691929887,0.497650146484375,0.011254494860703236,0.497650146484375,0.011254494860703236,0.2305908203125,0.013980081691929887,0.890625,1.0407138499416242,0.3273539077773316,0.1834404472614516,5.5668090571401395e-05,8.60080233357079e-06,2.793410598677971e-06,5.17513506210058e-07,0.16617563366889954,0.040337640792131424,0.02107318490743637,0.01042862981557846,0.0009450977668166161,0.385031521320343,0.11202706396579742,1.0,0.01112707331776619,0.03448840230703354,True,,-2.772467393378521,labyrinth_like
gs_07,0.042,0.059,1.0,0.0,4.625,0.8067178260046389,4.625,0.8067178260046389,4.625,0.8067178260046389,-4.59375,0.867742006863901,4.59375,0.867742006863901,0.1513671875,0.017249532942046578,0.7891845703125,0.025318681940183656,0.7891845703125,0.025318681940183656,0.1513671875,0.017249532942046578,-4.59375,0.867742006863901,0.2396678191258606,0.15960155367549517,2.273827380687647e-05,5.948114072716673e-06,3.896452837312014e-07,2.1976752899188301e-07,0.22545963525772095,0.057182297110557556,0.024781418964266777,0.006633329205214977,0.018435264006257057,0.34147101640701294,0.07880724966526031,1.0,0.001052945968694985,0.0015474010724574327,True,,1.7335617215086045,spot_like
gs_08,0.046,0.063,1.96875,0.8158888424133542,1.171875,0.41992771486803027,1.96875,0.8158888424133542,2.109375,0.7153018565834609,1.6875,1.0522085616183026,1.6875,1.0522085616183026,0.216400146484375,0.03284499850577743,0.458648681640625,0.05921417834733641,0.458648681640625,0.05921417834733641,0.216400146484375,0.03284499850577743,1.6875,1.0522085616183026,0.31597978163419227,0.1549904654482524,9.071236485173054e-05,1.8228527791586947e-05,7.116443415177698e-06,1.4832496999228513e-06,0.1607845574617386,0.041998207569122314,0.02301347628235817,0.012245021760463715,5.605193857299268e-45,0.4147779643535614,0.1257311999797821,0.984375,0.002686518244445324,0.004187969025224447,True,,-2.0973921303448977,labyrinth_like
gs_09,0.054,0.062,1.109375,0.5379911930594439,2.046875,0.8438326679079042,1.953125,0.9988833050676426,2.0625,0.8333333333333334,-0.578125,0.8508574106942557,0.671875,0.7777600621565203,0.192626953125,0.06470628043242443,0.535125732421875,0.17447604059321298,0.535125732421875,0.17447604059321298,0.192626953125,0.06470628043242443,-0.578125,0.8508574106942557,0.27609146646840305,0.19407210092504038,9.615343748729254e-05,3.6857248129576994e-05,5.372573256349073e-06,2.3071965495138866e-06,0.18386739492416382,0.05169001221656799,0.025999048724770546,0.011888743378221989,5.605193857299268e-45,0.4260767996311188,0.13306841254234314,0.90625,0.00276983343064785,0.007563118822872639,True,,-2.1323803837825714,labyrinth_like
gs_10,0.062,0.061,0.734375,0.4451569190068627,2.234375,1.0800086345921733,1.96875,1.425045251300452,2.234375,1.0800086345921733,-1.671875,1.4148272371958037,1.671875,1.4148272371958037,0.109161376953125,0.07000103003637177,0.5571746826171875,0.3401348003549634,0.5571746826171875,0.3401348003549634,0.109161376953125,0.07000103003637177,-1.671875,1.4148272371958037,0.2486305762750844,0.23449022428433747,6.213105599671661e-05,4.401358965309599e-05,2.964490543756291e-06,2.2170687213926877e-06,0.18302924931049347,0.05466770753264427,0.024981388822197914,0.007848266512155533,5.605193857299268e-45,0.4300645589828491,0.14500615000724792,0.734375,0.0018986966460943222,0.006370137445628643,False,pattern_presence,nan,rejected_unstable
