step,gradient_norm,loss,loss_std,mean_velocity_norm,predicted_velocity_rms,target_velocity_rms,update_norm,velocity_rmse
0,0.02100566841003625,0.06985189831864844,0.006034128390709255,1.378992615527856e-19,0.003011667810456124,0.26390059727555626,0.11842556457643531,0.26404427472894254
1,0.010179374061619333,0.06203721415868941,0.008027687379030113,1.2144206572306982e-19,0.003745341628001457,0.24811616764937552,0.07816951210228058,0.24852531287663582
2,0.011062693744113268,0.05934492250615188,0.007271719728682048,1.9928729925081494e-19,0.004177070972869217,0.2427913719273973,0.06644947958779666,0.24315154169885989
3,0.010052600582858466,0.06368573317848458,0.005683547027097794,1.279879887273264e-19,0.00307697595394312,0.2520551727766103,0.06104398242161037,0.2521000557521544
4,0.006799957211721419,0.06418667028394186,0.008875959759975446,1.7130076666723157e-19,0.0036823907170495575,0.2527536750943289,0.058776297274872845,0.2527835923860746
5,0.021139515525528226,0.06079854274769189,0.008382295973006526,2.3910342409339905e-19,0.005523429824346605,0.24557110939255156,0.052423623445011225,0.24594323114342265
6,0.006498051928407708,0.06105588237652766,0.004773653084169218,2.481788083630106e-19,0.0055967450386549145,0.24730782079906197,0.048368111147006,0.2469064833501951
7,0.00997242982882069,0.06329588620053442,0.007800251055039579,2.2845802695795977e-19,0.004978951893395981,0.25120669479966395,0.04911008173274812,0.25110393815873844
8,0.005173410232553678,0.0625415197642622,0.009082162915946887,1.5379964523381327e-19,0.002931334680810043,0.24959820347152756,0.04670758889108595,0.2494175171092406
9,0.02451760725155657,0.06071012500988244,0.010720245032132241,2.9697011635662385e-19,0.006040915790197084,0.24520342570781462,0.04416557800857853,0.24545911239857382
10,0.028503886307933175,0.05600745558554675,0.0058124583613128325,2.7709349755095123e-19,0.004816937114616261,0.23606277644165002,0.04940305691005059,0.23633121483366354
11,0.01451815472316792,0.06318839387729247,0.005738400924978706,1.4393581009582687e-19,0.003744523284601308,0.2517179585416617,0.04976541864757258,0.2511162498715803
12,0.007195675644644271,0.055719613474723026,0.007628339805721552,1.8584406479820952e-19,0.0036485808400934083,0.2357497211607732,0.049312026137625586,0.2354859936899963
13,0.010288645351833011,0.06108406828901934,0.008810614636213888,2.4571482718571224e-19,0.005445840299933171,0.2468032367789571,0.04899043373852835,0.24649194080521203
