step,loss,velocity_rmse,target_velocity_rms,predicted_velocity_rms,mean_velocity_norm,loss_std,gradient_norm,update_norm
0,0.08057630643259792,0.28382553422242296,0.28346043886788685,0.006335524311083342,2.492961757291513e-19,0.0024902670725850235,0.00909255454700094,0.1159297022642811
1,0.06978394720715533,0.26393415470916526,0.2636389348066078,0.006743050835004086,2.6723872050671454e-19,0.0057529545279067056,0.013845382244360561,0.0902122264371517
2,0.07234285202180113,0.2684305794796379,0.268460606866683,0.003457120003940891,1.2416420085978613e-19,0.009373209179167475,0.0039940544728488325,0.06867069965762544
3,0.07862414921905185,0.2803423681483519,0.28012669332818263,0.00333882782059715,1.1550723549687566e-19,0.0032164335271383042,0.005509617392022426,0.05827001037581755
4,0.06857645449858615,0.2617790978956036,0.26177847206736715,0.00475122315655179,1.9998259222379818e-19,0.0036749402645809524,0.007710827537904372,0.056480364528027634
5,0.07351548314326059,0.27095507570495103,0.27101746363026474,0.0042017569630039345,1.7611305035084824e-19,0.005341430940503013,0.003493990213978389,0.05077310694466011
6,0.07356214056292684,0.2710917382800881,0.27156474193767743,0.0057791527512303965,2.1738327469493674e-19,0.004611547297042428,0.017830478877663113,0.05192401041571056
7,0.08033443998116113,0.28337112385948415,0.283649156913376,0.006192103768137767,2.9866050715163003e-19,0.003361481792491478,0.009341805560998959,0.05012316478261654
8,0.0707598094503474,0.2656516272307591,0.26680990598497467,0.009322286406747309,3.820755887882931e-19,0.007357083346943087,0.013719780940169813,0.05280895908755866
9,0.06873982953656682,0.26214415157098464,0.262526005383647,0.006239988754124456,2.5747773317437685e-19,0.002359964906946178,0.006623993836338749,0.04736889388773047
10,0.07502644622854392,0.27383507857990913,0.2743977630844195,0.007101787894056435,2.6617286720893475e-19,0.0034613075005597515,0.008364934909630271,0.04712225812923171
11,0.07691551747398356,0.27686383114409874,0.27552835500321204,0.01568833478412708,7.493197788802425e-19,0.008964459295033884,0.027508541601033033,0.04301785224206635
12,0.0699820967687132,0.26439506885257263,0.2650518053583556,0.017084601303566198,5.677438955123742e-19,0.004655684533135426,0.0024144652434314176,0.03976869753354004
13,0.07504462727491432,0.2739064182699329,0.27381449441487327,0.009904139148557017,4.317217417139325e-19,0.0024457353046701087,0.010677460243619635,0.03397612409493011
14,0.07218709354549904,0.26833780559893977,0.2689960921105454,0.013924947435673707,6.0559817468780545e-19,0.007290897964268071,0.005767304380008188,0.034297432501974805
15,0.0680856078246259,0.2607886838410314,0.260679344252222,0.009541478525739243,3.9850042053121613e-19,0.004477303170697412,0.006036077768678964,0.03354844118377726
16,0.07164623168381555,0.2675286526265602,0.2699467042408466,0.017119854027097432,6.433621762031618e-19,0.004563294036033232,0.019254085004128653,0.03573002553264691
17,0.0701022951222426,0.26432930517184644,0.2660655390458052,0.02123920592381337,8.875342872560115e-19,0.007949302124799525,0.010852798818426723,0.03390469325600023
18,0.07659601717025802,0.27672288282567625,0.27712031220192906,0.014484482403369884,4.753127997650914e-19,0.0024901881103589992,0.003378956486349147,0.03260854969206691
19,0.07735039632558788,0.27759417753917837,0.2777061815998077,0.015538743395744502,6.333243490404095e-19,0.009505070243038273,0.005516096201196987,0.033800207997116756
20,0.06727645240578299,0.25901987497761125,0.25998399188995924,0.024890152005476656,8.288746734970786e-19,0.007102477005591631,0.004807103801081369,0.033868480024786166
21,0.07002463927619373,0.2643008979869713,0.2667592153080062,0.027311629551629336,1.1985930641628475e-18,0.006855061572782847,0.007611370887718792,0.033145953216295425
22,0.07086479696957569,0.26614951796495545,0.2669861555654937,0.015237231124608982,7.6929263253638445e-19,0.002872140182373464,0.0034196389924925357,0.030907840370527004
23,0.07518192732828269,0.27415896924129324,0.2739750516878536,0.01300041708374867,5.466654243560639e-19,0.0023841230102883706,0.007282004987165734,0.02968659711589631
24,0.07065592212468447,0.26575768904910074,0.26648012690930645,0.020521061462874978,7.606167191965379e-19,0.002860673297966687,0.006429051588171664,0.026731809803905025
