objective,rotation_index,angle,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
info,0,0.39269908169872414,20260810,20300810,0.0886521391685935,0.12226928838125493,0.10086729638820018,0.6250648235486456,0.27021772756957596,0.01005991469772418,0.046024176255589334
info,0,0.39269908169872414,20260810,20300811,0.08785624427607384,0.09018455348942067,0.07328575860865962,0.6157967607954282,0.2551311936452224,0.010059953407322816,0.0626238179456496
info,0,0.39269908169872414,20260810,20300812,0.09194370840333545,0.0853693504410787,0.07937254495279165,0.6226407626118868,0.29759034514432453,0.010060015721049123,0.06846433245638846
info,0,0.39269908169872414,20260810,20300813,0.08298407974995908,0.13119970402686007,0.11155044952160394,0.624961054849369,0.26933578011226034,0.010059943982874266,0.05366826417905198
info,0,0.39269908169872414,20260810,20300814,0.08410561048108046,0.07886951405267222,0.08508892298008564,0.6250727780055082,0.28988974990779126,0.010059984506098678,0.047110792631055075
info,0,0.39269908169872414,20260810,20300815,0.0831420081991969,0.07455037271164743,0.07280302444360781,0.6188531461317719,0.2962421145750326,0.010059925444149315,0.058346592398761755
info,0,0.39269908169872414,20260810,20300816,0.08056026912017827,0.09967792665877657,0.07303895507644738,0.6201983243524537,0.2680934331025731,0.010060029130116466,0.059427500785940314
info,0,0.39269908169872414,20260810,20300817,0.08350276436012331,0.10802901522090132,0.08065161957199217,0.6214080362911553,0.2874874461121822,0.010059926759529578,0.05846115790404471
info,0,0.39269908169872414,20260810,20300818,0.09701944646272113,0.12850421186070649,0.09631894752368657,0.6239519069455103,0.31911901602806014,0.010060015838989373,0.05657331008931212
info,0,0.39269908169872414,20260810,20300819,0.06987001724061039,0.10052087290903165,0.07756585329622326,0.6221308843421375,0.2859567790108016,0.010060021954379715,0.0378559056262713
info,1,0.7853981633974483,20260810,20300810,0.08485481919909793,0.11476802566465254,0.09617667810640847,0.535979589287321,0.2706101175237283,0.006717033107384262,0.04817802301429814
info,1,0.7853981633974483,20260810,20300811,0.0867555631214717,0.0938540152213243,0.07550008714871649,0.5303999316183904,0.24954386987993604,0.006717140017203071,0.05860619996052648
info,1,0.7853981633974483,20260810,20300812,0.0906030544752197,0.08575089620932454,0.07607188451912882,0.5325335234681199,0.2976428609764559,0.00671704926440306,0.06807487524271098
info,1,0.7853981633974483,20260810,20300813,0.08943390906958955,0.1450722522179725,0.1265689123097096,0.5337499499470286,0.2653956185574802,0.006717067239348105,0.049337383133170744
info,1,0.7853981633974483,20260810,20300814,0.0828076238821137,0.07584171966492048,0.07722308699937402,0.5364405951116372,0.28747286997683047,0.006717168479279271,0.044842967300186304
info,1,0.7853981633974483,20260810,20300815,0.08192836857453129,0.07968840104680718,0.06942688805796808,0.5323466521154974,0.2995887191226114,0.006717054814475513,0.05974409455021298
info,1,0.7853981633974483,20260810,20300816,0.07781117258076525,0.09384388542276849,0.07269693620186253,0.5314056118070372,0.26669190566858253,0.006717078704337707,0.056270237706395665
info,1,0.7853981633974483,20260810,20300817,0.08512249944847014,0.10316330216736623,0.08241409930818065,0.5332148217917497,0.28327194536771233,0.006717034988933727,0.05260787518217357
info,1,0.7853981633974483,20260810,20300818,0.09961912400024386,0.12286039159233293,0.10127111725847872,0.5351344163279256,0.31734147183759376,0.006717103507081406,0.060186757827238535
info,1,0.7853981633974483,20260810,20300819,0.07041724984541156,0.0946996857257867,0.07436696656339749,0.5330746554666206,0.29027595112073984,0.006717060973023176,0.042767558977371944
