objective,model_seed,mean_reference_violation,max_reference_violation,integrated_reference_violation,mean_capture_fraction,integrated_capture_fraction,mean_reference_null_fraction,integrated_reference_null_fraction,mean_ess,min_ess,mean_projection_distortion,mean_lambda_norm,mean_max_weight,mean_weight_entropy,mean_covariance_condition,mean_trace_cov_phi_reference,mean_trace_cov_phi_projected,mean_reference_constrained_norm,mean_reference_null_norm,mean_projected_constrained_norm,mean_projected_null_norm,mean_projected_null_fraction,mean_tangent_constrained_norm,mean_tangent_null_norm,mean_tangent_null_fraction,mean_mfsi_safe_constrained_norm,mean_mfsi_safe_null_norm,mean_mfsi_safe_null_fraction,tangent_local_mmd,velocity_gap,tangent_rollout_mmd,mfsi_rollout_mmd,angular_error,max_moment_error
cv,20260810,0.4765824369306938,0.954638338333635,0.5896310401179204,0.8426655313690248,0.9011111079739436,0.15733446862634654,0.09888889202315701,0.6320209080671567,0.2509886731289415,0.25650558418505837,0.5997148085126914,0.003930606796918123,8.061260582534286,1.1350985117101537,2.147152621096068,3.0225881201997202,0.47658243693069396,0.024316047820586648,3.6229541599608536e-17,0.04118825238654331,0.9999999998526811,0.002048105722900105,0.006953593370547899,0.7445040830152689,0.0020471564130881063,0.06901413843960548,0.8496876661901446,0.08491763372018062,0.25112019557908366,0.08558063825335514,0.08421058255691904,0.05157931762070811,0.0015340202402031326
cv,20260811,0.4770717862291765,0.9545281057817723,0.5898582719825434,0.8518156059862033,0.9066166693246733,0.14818439400916789,0.09338333067242688,0.6319027778222442,0.24988173378310707,0.2563509773097211,0.5996457865963242,0.0039830555461102465,8.061415189409622,1.0969838873985507,2.231599152390159,3.0190222677002287,0.47707178622917645,0.027541146090881544,3.2193428080820207e-17,0.044972976021834817,0.9999999999592059,0.0016251060259942478,0.013959820906524359,0.8810347021488721,0.0016233048157462673,0.06415169016144635,0.9051542551411603,0.08460432948637761,0.31150249755288184,0.08521540516980172,0.08526427674860856,0.05239352043023019,0.0015099812144076098
cv,20260812,0.4760552525979273,0.9548794589761705,0.5894445959543143,0.8110630135960147,0.8817355279666556,0.18893698639935647,0.11826447203044502,0.6325376451697282,0.25090277136087963,0.25723487881499596,0.6009782160474519,0.0038205610238849297,8.060531287904347,1.5864685646914394,2.0275327657216535,3.0332616137484205,0.4760552525979273,0.017793300818066026,3.559474761258661e-17,0.03225580272275044,0.9999999999721134,0.001815294190183357,0.0044906638831722695,0.7229123651854598,0.0018118318244423606,0.030710120664720352,0.8798501961421141,0.08441553094371995,0.30059285099153654,0.08355038791357437,0.08312500687784016,0.0846235279735015,0.00162270952379166
cv,20260813,0.47340021573426255,0.9500859159720209,0.5860579747279496,0.8001787118479694,0.8705210367423233,0.19982128814740163,0.12947896325477712,0.6323782783414852,0.24798430370625585,0.25283057480964144,0.5920791149691617,0.004112831229034817,8.064935591909702,1.350467955514362,2.1545522435480766,3.0590848604022756,0.47340021573426255,0.06010871226400984,2.941539848225128e-17,0.07851415093077803,0.9999999999853801,0.00174432422902165,0.022370501048122354,0.8818524426592274,0.001738819841209459,0.06286071330782045,0.8895262293437339,0.0840952972568402,0.6366267739703595,0.08705974245442462,0.08313178221253939,0.0843214623368657,0.0014408120229556724
cv,20260814,0.47528654355843697,0.9525596892551703,0.5881281760017294,0.8332875962196766,0.8934822498792394,0.16671240377569468,0.10651775011786091,0.6327902995110279,0.25375448333404543,0.255184984488576,0.5976449813118514,0.003944240829059268,8.062581182230769,1.360031728205109,2.1583901931127145,3.05482272700574,0.4752865435584371,0.04425656268876287,3.488249424431579e-17,0.05709307818579299,0.9999999999617945,0.0023495869770461973,0.011521216784137072,0.7545728270118179,0.002349070570611245,0.08185059384029815,0.8024328561055408,0.08456855342034962,0.2584295962306816,0.08677127099446177,0.08239321641094709,0.05456258303819589,0.0018805319693409074
cv,20260815,0.4760034873319304,0.9540448585637548,0.5891773668033293,0.8244412242568818,0.8895087594649148,0.1755587757384892,0.11049124053218526,0.6324461362649744,0.24942323542060052,0.256376225820711,0.599396604841626,0.0038952430045615088,8.061389940898632,1.244724371417143,2.161174091734333,3.048589330745244,0.4760034873319302,0.028845747028072695,3.423253071994195e-17,0.04582636715126817,0.9999999999762446,0.0020580291320520605,0.006013823291401927,0.7469540001769224,0.0020580291918181983,0.012781169033022463,0.8334145679710199,0.08445171575286485,0.5386838324655082,0.0865673268778677,0.08628720842398521,0.0783772250002194,0.0018464424137787604
cv,20260816,0.46558815729723674,0.9315716567986714,0.5757126085728987,0.8222491101333432,0.8705482405075969,0.17775088986202792,0.12945175948950366,0.6401959701275328,0.2531776044666188,0.24389031713727236,0.5829992737068875,0.0038637282837511726,8.073875849582071,1.332945518001062,2.1606972576555528,3.0592380832052934,0.4655881572972369,0.11093145946995053,3.493829177948992e-17,0.12425860130803823,0.999999999962775,0.002220533662618492,0.031998962185424876,0.7975967243197011,0.0022136312800080725,0.08165225774814189,0.8229242382113103,0.08101170522853077,0.29883150557358973,0.09916728432402473,0.09999048801145202,0.11464060556058595,0.002188708694613819
cv,20260817,0.47602430392452355,0.9546811993341248,0.5894155642127753,0.8097459638801681,0.88087996467121,0.1902540361152029,0.11912003532589022,0.6323881833722332,0.2514028191411318,0.2570681265175307,0.6003033894068622,0.003849505955289169,8.060698040201812,1.3898789947581622,2.161064208786266,3.036482087401098,0.4760243039245235,0.01839849785721159,3.065556093237526e-17,0.03427330757575373,0.9999999999761207,0.0017845114013194567,0.006437832986816094,0.7827801112238042,0.0017782654294243153,0.036592226568370204,0.8830583960446368,0.08500589680827436,0.42324535582586015,0.08520459253196176,0.08147158961630531,0.05868248126294888,0.0013816991748714564
cv,20260818,0.4759653561881727,0.954747587751722,0.5893305451501168,0.8071187524581458,0.8791241953128963,0.19288124753722524,0.12087580468420409,0.6325593612364577,0.25056706685770685,0.2571453810372758,0.6009061152362697,0.0038310943791368453,8.060620785682067,1.6500988561509635,2.029290356091239,3.0311809968986125,0.4759653561881727,0.021517362047612117,3.2311050016167406e-17,0.03340534463426839,0.999999999969028,0.0016845451126681966,0.0048970613265327465,0.7826050212436414,0.0016819904839289615,0.07998476465175446,0.8978176821536055,0.08434182032656745,0.8950848195689705,0.08393762636332104,0.0870358891501653,0.08858650170356899,0.0013361698545594296
cv,20260819,0.47624959124495525,0.9547777207647523,0.5895544022208169,0.8169962917465472,0.8854083468627356,0.18300370824882403,0.1145916531343649,0.6322969839216609,0.2525243391086464,0.2568787038188664,0.5999221997165837,0.00385646802141549,8.060887462900476,1.364735246144558,2.158988486821086,3.0378168216803982,0.47624959124495525,0.018567230369800916,3.041117253176599e-17,0.03772782131332381,0.9999999997996946,0.0022994316561385404,0.005708040670337885,0.6528936202496725,0.002298687359534141,0.03302933675040065,0.8028181397582601,0.08419613938323509,0.6351413038237637,0.08437960916510372,0.08101454093332627,0.06933001277669469,0.0021717167264997234
fiber,20260810,0.12042603930273835,0.24209318618616985,0.1440687691586351,0.28978147926055964,0.20187381215633504,0.7102185207348114,0.7981261878407654,0.9594040165403324,0.8805669870643572,0.020126110685926724,0.21891978725819614,0.0005754653714598719,8.297640056033417,1.4751271403905297,2.151372425237896,2.257921112616016,0.12042603930273835,0.46092278292377264,2.909865896293748e-17,0.446525419007701,0.9999999998775302,0.0018575950228267414,0.37425015003370943,0.8640163771160015,0.001857701509548843,0.4199844383717306,0.8767654430856631,0.05437808492585379,0.15879893417356788,0.07028375802173846,0.06410876214897847,0.03665457798147617,0.0014713930448958595
fiber,20260811,0.12049793054124981,0.22854115368571884,0.14442224543826396,0.26731128961973677,0.18815234123263375,0.7326887103756343,0.8118476587644666,0.9572371593558233,0.8761629610702043,0.02180853605321309,0.23756069690653503,0.0005442614946653425,8.29595763066613,1.309113705725383,2.119954243901297,2.182606926854732,0.12049793054124981,0.46128878745728485,2.7184574254119254e-17,0.44140375003107396,0.9999999999721484,0.0016898330572687943,0.3861536347657246,0.8969997529020673,0.0016895356457491525,0.42726417001963346,0.8958873670972871,0.0546014968614412,0.07504928821697239,0.06831024585596118,0.057311192683923505,0.038625349430046904,0.0012710744048918467
fiber,20260812,0.1383256712649869,0.26653892464485385,0.1665320013067265,0.3011759679689358,0.21648427179317817,0.6988240320264354,0.7835157282039223,0.9423204478662357,0.8455964331564924,0.027041819307525392,0.24730696197586619,0.0007571315314244408,8.290724347411818,1.5456416702846227,2.074320320284023,2.2592905033130246,0.13832567126498685,0.4561826323690979,3.398744263347358e-17,0.4363010675663259,0.9999999999627659,0.0021664894682622373,0.3744463591346385,0.8306738051007774,0.0021655070826390134,0.4035601084743073,0.8323704968398,0.05564813257141872,0.18244370776290414,0.06937212728119982,0.06874918690255188,0.055537735342116104,0.001513557574591279
fiber,20260813,0.15569287211928723,0.31449079335413865,0.18802811559231788,0.3232761082276367,0.23845267329564876,0.6767238917677344,0.7615473267014516,0.9341525761178204,0.8008072111242648,0.034322221833764016,0.28682081335667886,0.0007056947210734342,8.28344394488558,1.275841859207532,2.1291307543717566,2.28662779234515,0.15569287211928723,0.45097903895556557,3.135261820247123e-17,0.4253257691881144,0.9999999999361867,0.0018833615196495292,0.32320408205248946,0.8727855195435165,0.0018833614145753938,0.32348462738081174,0.8729568106112275,0.05558343879869657,0.23104774503303158,0.0875914652150627,0.08770347878787346,0.03670274102618187,0.0016416051191646883
fiber,20260814,0.06038997995936904,0.11082282972452989,0.06916091978666676,0.26314771371949575,0.1688898378319938,0.7368522862758753,0.8311101621651066,0.991157895069723,0.9726818107986769,0.004514815075823927,0.1138049358536958,0.000340257673334698,8.31325135164352,1.58113516743083,2.061986332658315,2.0755643111651962,0.06038997995936904,0.47171580141429653,3.4452771995894133e-17,0.46789853148256294,0.9999999999664096,0.0019524320631042675,0.4421630016100893,0.828243637294599,0.0019523826954505614,0.45380459615598395,0.8528580072586077,0.05450187751107707,0.015640521654213403,0.06008758758434005,0.05692001335111929,0.0373081159171309,0.001401472035450993
