objective,model_seed,evaluation_seed,t,reference_violation,capture_fraction,reference_mz,reference_delta_b,projection_distortion,lambda_norm,ess_fraction,max_weight,weight_entropy,calibration_residual,covariance_condition,trace_cov_phi_reference,trace_cov_phi_projected,phi_variance_reference,phi_variance_projected,trace_cov_z_reference,trace_cov_z_projected,mu_z_reference,mu_z_projected,mu_z_tangent,mu_z_mfsi_safe,reference_constrained_norm,reference_null_norm,reference_null_fraction,projected_constrained_norm,projected_null_norm,projected_null_fraction,tangent_constrained_norm,tangent_null_norm,tangent_null_fraction,mfsi_safe_constrained_norm,mfsi_safe_null_norm,mfsi_safe_null_fraction
info,20260810,20300810,0.0,0.034927005156679056,0.9272545300214107,"[0.0032452952399624896, 0.031581401973054514, -0.0050317266081719575, 0.009192381410147613, -0.014066433805912486]","[0.003223274745507783, 0.031620256359660294, -0.0014430154634180736, 0.006295517325521407, -0.013059774449373007]",0.0006261606361817541,0.03577678335287694,0.9987279780927389,0.00030088669418178567,8.317140006083163,8.673617379884035e-19,1.1202051892881015,3.2602178704632125,3.3323296211437583,"[0.9326770007184351, 0.9730133307953561, 1.3545275389494216]","[0.9757140852062953, 0.976770793202894, 1.3798447427345693]",5.095832286803715,5.160514349969132,"[0.0032452952399624896, 0.031581401973054514, -0.0050317266081719575, 0.009192381410147613, -0.014066433805912486]","[0.0066904079776305145, 0.0030742484011428307, -0.001430226551792171, 0.00018826111843179508, 0.0034940580527883626]","[-0.0013748774869234142, 0.0007419199937623184, -0.00043190260147230736, 0.0014380355660265098, -0.0009522743683042465]","[-0.0013748774869234142, 0.0007419199937623184, -0.00043190260147230736, 0.0014380355660265098, -0.0009522743683042465]",0.034927005156679056,0.009782837585722261,0.07274546997098831,2.799605732080844e-18,0.008276593142923663,0.9999999998540188,0.0019867517555384774,0.0012864149648938636,0.295403404209389,0.0019867517555384774,0.0012864149648938636,0.295403404209389
info,20260810,20300810,0.25,0.6769837869383802,0.9570015389334809,"[-0.006292412451663244, 0.0040032224420253025, -0.4853701894529738, -0.002047381788418937, -0.49320881329315236]","[-0.006320828045358401, 0.004862061815080657, -0.36487390984459855, -0.0007818107856571938, -0.37487875069106114]",0.32054821901786024,0.870485600646382,0.4797958186256003,0.003616616578012706,7.997217947701481,5.2958809290937725e-17,1.1935750753965122,1.7673370417676297,3.308180439504193,"[0.57685829996954, 0.577010167388127, 0.6134685744099628]","[1.0137905514976209, 0.955500437092327, 1.338889450914245]",2.790274897986171,5.027640304024555,"[-0.006292412451663244, 0.0040032224420253025, -0.4853701894529738, -0.002047381788418937, -0.49320881329315236]","[-0.1502944996501206, -0.03147295657371876, -0.0229153738373871, -0.00812754417636728, -0.021402744094518214]","[-0.019422815487624763, -0.0041116622042429475, -0.0016105107035147778, 0.0005734539219596982, -0.005153834244315817]","[-0.18312985141726495, -0.04599009014144785, -0.015444164452592613, -0.007491357941153229, -0.040003151139746666]",0.6769837869383802,0.14349884514794856,0.042998461066498364,4.1897365358336535e-17,0.1569338472344087,0.999999999999594,0.0019867155390210964,0.020486314711527728,0.9906829508348411,0.001986011700537463,0.19375908079211152,0.9998949505335503
info,20260810,20300810,0.5,0.91935021398445,0.9560070501233526,"[-0.008721943362235394, -0.004242170331576393, -0.6578700361844023, -0.0014713094582423899, -0.6717214590667615]","[-0.008756523459318707, -0.0030770560495377345, -0.49369600137244385, -0.00017578124431829418, -0.5113876683261998]",0.5721369981699587,1.119840055254432,0.2587249391956847,0.010479719694445494,7.745629168549384,5.204170427930421e-17,1.2572994889203866,1.4072151671312454,3.0953782574364244,"[0.4881831270642985, 0.5225643601931882, 0.3964676798737587]","[0.9135639896948193, 1.1965401540861211, 0.9852741136554835]",2.218732202672805,4.884104574148789,"[-0.008721943362235394, -0.004242170331576393, -0.6578700361844023, -0.0014713094582423899, -0.6717214590667615]","[-0.233015317233169, -0.10051582562477364, 0.040213096830014006, -0.007236656521779333, -0.11173628979187375]","[-0.027110010301348235, -0.0051456594492228945, -0.0036256390317696585, 9.803656402224367e-05, -0.005373945370832304]","[-0.20044355736779812, -0.047548802891035614, -0.0211096241310404, -0.008641699046438205, -0.03932866448175798]",0.9193502139844502,0.19721592274319502,0.04399294987663622,5.499545385658448e-17,0.28027491874413624,0.9999999999998727,0.0019866638196374907,0.028275745701565408,0.9950877325471282,0.0019857976428518708,0.21095403290203218,0.9999113954884364
info,20260810,20300810,0.75,0.686018835957494,0.9573322614520788,"[-0.006847316823634212, 0.012258162643511792, -0.5013896037486474, -0.0025889312834203853, -0.48989978339280355]","[-0.0068817455235104874, 0.013123409716356864, -0.3820783365947452, -0.0011389785642960497, -0.36729737671662277]",0.3369504725848919,0.8965070487676594,0.44989910849159326,0.006366958687917909,7.980815694134451,6.083910429870922e-17,1.3640386045918593,1.5033599934307094,2.7552979543544187,"[0.5666055731884995, 0.5925325686662174, 0.3442218515759924]","[1.0677795169251996, 1.0259051866324282, 0.661613250796791]",2.638307063229016,4.717315385357497,"[-0.006847316823634212, 0.012258162643511792, -0.5013896037486474, -0.0025889312834203853, -0.48989978339280355]","[-0.1517375394401343, -0.010319007821240397, -0.054556383991570055, -0.01043091775953527, 0.010979617957714937]","[-0.02095986777715993, -0.0018307276314461333, -0.00565620601542354, 0.00022037769850749624, -0.0014192680121801423]","[-0.15420681571022993, -0.04859360734194092, 0.0016504598798946731, -0.005028740093416064, -0.04903608887932807]",0.686018835957494,0.14482865770052128,0.042667738547901124,7.102519391435818e-17,0.16228529781776396,0.9999999999996203,0.0019865701401273004,0.02174342922549782,0.9917216927240791,0.001985360159385651,0.1690257059986815,0.9998620527093566
info,20260810,20300810,1.0,0.020803478186112133,0.5260174506306833,"[0.02391783148851111, -0.014928947705712224, -0.0050468956604215335, -0.00010314333715831688, 0.0015295020829577764]","[0.023926705680600804, -0.014946817217476451, -0.0055374279730870946, -9.827396408595285e-05, 0.0029056539565195383]",0.00020975206480177542,0.020201573662249353,0.9995810547734381,0.00026281460710310595,8.317556414654543,8.673617379884035e-19,1.0983666186022374,2.670526135416504,2.664202042350272,"[1.0861315901693946, 0.9785928351382469, 0.6058017101088623]","[1.0649419792572248, 0.9896707039572367, 0.6095893591358104]",4.816763602615401,4.8413466322624785,"[0.02391783148851111, -0.014928947705712224, -0.0050468956604215335, -0.00010314333715831688, 0.0015295020829577764]","[0.01909210233613451, 0.0015546164854382117, 0.006489204616750729, 0.0012858746985103028, -0.0009923009375052156]","[0.0006677948148159819, 0.0022632855722563155, -0.001721481425034553, 0.0014350661346128942, 0.0010000602580077255]","[-0.012927565778486099, -0.03614649469594142, 0.048292145837211975, 0.004389400770006813, -0.054944721717877856]",0.020803478186112133,0.019747724148610507,0.47398254935716255,9.416432016504765e-18,0.020289729310149277,0.999999999975709,0.0019865083667274666,0.0027650008376669164,0.6595579364202571,0.0019847194646978854,0.08270473116904849,0.9994244440901042
info,20260810,20300811,0.0,0.03493708639028058,0.9399563657118739,"[-0.00033785884752840153, -0.027749879026403954, -0.004811532005435364, 0.022226664462649526, 0.003350452965918136]","[-0.00034260378051151775, -0.027747935722959735, -0.005785505670891644, 0.015123409293950724, 0.004701451851726102]",0.0005579150320914642,0.0325828720987253,0.9988865804265171,0.00027601545966569874,8.317208251687253,6.490740907898788e-18,1.1231444190978683,3.4169975033269,3.4037150718564115,"[0.9852478178751992, 1.0026769355846203, 1.4290727498670805]","[0.9577610201765561, 1.0096294008597797, 1.436324650820076]",5.239023695216357,5.242644523418356,"[-0.00033785884752840153, -0.027749879026403954, -0.004811532005435364, 0.022226664462649526, 0.003350452965918136]","[-0.003912587966515705, -0.00248640072156572, 0.0018447564072042975, -3.8681360404697884e-05, -0.003089143355235697]","[-0.0013748774869234309, 0.0007419199937622536, -0.00043190260147248137, 0.0014380355660267984, -0.0009522743683053128]","[-0.0013748774869234309, 0.0007419199937622536, -0.00043190260147248137, 0.0014380355660267984, -0.0009522743683053128]",0.03493708639028057,0.008830114245599822,0.060043634280425584,1.5906025560380598e-17,0.005868386683125691,0.9999999997096227,0.001986751755539106,0.0012864149648940443,0.2954034042093158,0.001986751755539106,0.0012864149648940443,0.2954034042093158
info,20260810,20300811,0.25,0.6992135048954421,0.9604927200593308,"[0.0019084114775686795, -0.003844703435677696, -0.5096609423536805, -0.005311834278953365, -0.4992075465351251]","[0.0018844341461888873, -0.0029768275104797687, -0.3880486749261537, -0.0030014077592004263, -0.3745838369100415]",0.34837691956753836,0.9026906848990442,0.42660923549941926,0.006247695758891143,7.969389247151804,3.8925122972649624e-17,1.480863113967954,1.7149387416068786,3.3680462067254275,"[0.5789556180870166, 0.5543674837473763, 0.5816156397724859]","[1.006068131432875, 1.016540139024673, 1.3454379362678799]",2.6937269535539525,4.966188220156945,"[0.0019084114775686795, -0.003844703435677696, -0.5096609423536805, -0.005311834278953365, -0.4992075465351251]","[-0.20628819584296676, -0.04320014354310861, -0.0314503394421258, -0.01115537206728692, -0.029379018325894936]","[-0.023228826712663787, -0.004038305643375817, -0.0034654024772204296, 0.00027736240924352597, -0.004373901378048894]","[-0.18735469483083445, -0.0443692095001862, -0.01975760951741591, -0.007979703038029879, -0.036799201508754396]",0.6992135048954422,0.14180819656344082,0.039507279940649745,5.206259356624074e-17,0.21540140445472775,0.9999999999997845,0.00198671309036004,0.024148627942658787,0.9932771129382905,0.001985987322556943,0.19716664095957231,0.9998985523457925
info,20260810,20300811,0.5,0.9026870703914722,0.956749557963185,"[-0.0036095356563101474, -0.021001097638499434, -0.6568617151514546, 0.0007740405241955049, -0.6478869294546677]","[-0.0036387929814783062, -0.019875239636960938, -0.49893805031092964, 0.001319924493298064, -0.48734036077439]",0.5400666296294059,1.0667071580957763,0.2566131684115948,0.013890619263416865,7.777699537089939,4.252726876253798e-17,1.2547991409834403,1.4603967542400746,3.3221153686065805,"[0.544997402262584, 0.5059280657366318, 0.4094712862408588]","[1.117398757496107, 1.1148813613471096, 1.089835249763364]",2.2810914203258292,5.093688417497962,"[-0.0036095356563101474, -0.021001097638499434, -0.6568617151514546, 0.0007740405241955049, -0.6478869294546677]","[-0.1992096597302804, -0.04255972717192283, -0.029138188364233715, -0.010685265666266396, -0.029649670040005474]","[-0.03554181784258248, -0.0049352589598883265, -0.00780507914486769, -0.0005628885406206453, -0.003573354861663806]","[-0.20656940505456062, -0.04632356652427603, -0.025716480093750372, -0.009233096154074978, -0.03639170835498634]",0.9026870703914723,0.19192580109609766,0.04325044203680348,4.9722225600323196e-17,0.2081781226829372,0.9999999999997693,0.0019866579032793525,0.036846109100772045,0.9971013071592826,0.001985769977441903,0.21652665537461638,0.9999158994916573
info,20260810,20300811,0.75,0.6864778271861149,0.9471520122744682,"[-0.02640678344860747, 0.01836142251541783, -0.48496750143619966, 0.003064535102785618, -0.5111837140416018]","[-0.02644677179386959, 0.019262879634354968, -0.3597412518726686, 0.0027399974336394166, -0.39332649608206105]",0.32701814744515023,0.8821532088144882,0.48712708621787465,0.0028264902571146365,7.990748019274193,5.1379744971171866e-17,1.3519757952973173,1.5114349659799253,2.6596033213109442,"[0.5503986545126927, 0.6006020808246642, 0.3604342306425684]","[0.9669180736673816, 1.0230935224750954, 0.6695917251684671]",2.6673831679333166,4.720639991319477,"[-0.02640678344860747, 0.01836142251541783, -0.48496750143619966, 0.003064535102785618, -0.5111837140416018]","[-0.1537199850660765, -0.049034639409576516, 0.0012297122268738366, -0.006565761656712353, -0.04747398284026567]","[-0.025331093872254247, 0.0002475943431455666, -0.01070673371204059, -0.0003265024706926219, 0.002505124151412528]","[-0.15561941118798425, -0.04499086442450331, -0.004274040308544486, -0.005509477279717581, -0.043315980704381925]",0.6864778271861149,0.16215520699858704,0.05284798772551191,4.656569444667205e-17,0.16832299348500637,0.9999999999996471,0.001986561374475832,0.027546244594990808,0.9948260014335449,0.0019853135250192,0.16781696426524795,0.9998600652084607
info,20260810,20300811,1.0,0.026622405355988588,0.5139955023416373,"[0.015555230858834805, -0.01138807126953468, -0.02316536156852267, -0.00042277259213256116, 0.021689671006205908]","[0.015557987881203512, -0.011418332931092508, -0.029318417535120433, -0.0003128932239901026, 0.028221800474571568]",0.0003412643488352719,0.025715907075546513,0.9993216184122372,0.0002645850909061979,8.317424902370508,1.951563910473908e-18,1.0943583069664344,2.7027899725253417,2.6847701752501347,"[1.0360291704389766, 1.0137728196903342, 0.6529879823960312]","[1.0059440955114065, 1.0234225497576637, 0.6554035299810643]",4.851667967029981,4.866841790371118,"[0.015555230858834805, -0.01138807126953468, -0.02316536156852267, -0.00042277259213256116, 0.021689671006205908]","[0.010190050809051988, 0.011436078322868455, -0.01206873054618209, -0.00041373146139235106, 0.01557941336550385]","[-0.0006271867249320351, 0.005701421507192371, -0.0073509519953880095, 0.000980320879589582, 0.006449425114065644]","[-0.009133630635349615, -0.03180522158708262, 0.04367675317205129, 0.004226715986870059, -0.049017375717359514]",0.026622405355988595,0.025887360796256784,0.4860044976511103,8.267174867673047e-18,0.02496326449865036,0.9999999999839528,0.001986498925641901,0.011204731187156126,0.9695257426122127,0.0019846431639398993,0.07361578321393443,0.9992737143627219
