objective,R,coefficients_path,endpoint_expectation_gap,endpoint_classifier_auroc,endpoint_phi_mmd,hidden_endpoint_angular_gap,min_ess,mean_ess,max_covariance_condition,mean_projection_distortion,reduced_flow_closure_R2,local_tangent_law_closure_mmd,tangent_mfsi_velocity_gap,tangent_interior_rollout_mmd,mfsi_safe_interior_rollout_mmd,max_moment_error,hidden_angular_reconstruction_error,robustness_degradation
info,3,/home/zanot/projects/tesseract2026/results/observable_design_toy/confirmatory/R3/checkpoints/observable_info_modelseed_20260810.npz,0.036440208256209854,0.6976092755794525,0.12511299255029487,0.4706431590833761,0.2290869783215568,0.6312144730570987,1.3167664945291333,0.23846213722579818,0.9732438342770904,0.08904277561700363,0.9069224587304172,0.12493108127117981,0.1037616440194512,0.0015291021406119557,0.0488313481795228,-0.002894347631251029
cv,3,/home/zanot/projects/tesseract2026/results/observable_design_toy/confirmatory/R3/checkpoints/observable_cv_modelseed_20260810.npz,0.03512990700126684,0.6973199397325516,0.11977850764524228,0.4706431590833761,0.14753562508946497,0.6096344236795832,1.632400953862944,0.24531279651706836,0.9759283217646587,0.08507046363301034,0.2540185176798825,0.10267855574087727,0.09494037223284374,0.001534064952506872,0.04665180525188595,-0.0029743520514622923
fiber,3,/home/zanot/projects/tesseract2026/results/observable_design_toy/confirmatory/R3/checkpoints/observable_fiber_modelseed_20260810.npz,0.03337932185962111,0.6970995515584946,0.12715435782085246,0.4706431590833761,0.8996794633377694,0.9575146858025777,1.7770640764235268,0.021122281106273656,0.9689868350867964,0.057062855501721514,0.16086511046619406,0.05114769089693851,0.05688004772697416,0.0014713925510486813,0.017539783321048785,-0.002882053482836537
random,3,/home/zanot/projects/tesseract2026/results/observable_design_toy/confirmatory/R3/checkpoints/observable_random_modelseed_20260810.npz,0.03518642830881456,0.6965939849615097,0.08525410838662807,0.4706431590833761,0.25858596400237605,0.6499912578432606,1.6438191932198514,0.20480946621517507,0.9718333200415361,0.07914260935263745,0.5191487454263409,0.1137678450921125,0.1147804143214472,0.0018971617274016368,0.04869596227527353,-0.7408796114313625
full_phi5,5,/home/zanot/projects/tesseract2026/results/observable_design_toy/confirmatory/R3/checkpoints/observable_full_phi5_modelseed_20260810.npz,0.03974567076439918,0.6969180852174759,0.11064079837340847,0.4706431590833761,0.18739671781178116,0.6180661028950868,1.4676019813698695,0.2466227770165826,0.9782973205452803,0.08280386819761112,0.2305512468364438,0.09720819813349724,0.08601344372990638,0.0014382790907579717,0.03938150751600252,-0.8119016561802606
