objective,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
info,20260810,20300810,0.08904277561700363,0.12493108127117981,0.1037616440194512,0.9069224587304172,0.2290869783215568,0.0015291021406119557,0.0488313481795228
info,20260810,20300811,0.09097452960394273,0.08903853143359457,0.07178458785298823,0.8942486585943752,0.2290869783215568,0.0015291021406123328,0.06658884947336076
info,20260810,20300812,0.09271368807286091,0.08479190736744348,0.08056668966890351,0.900476467140928,0.2290869783215568,0.0015291021406121836,0.06925738818528056
info,20260810,20300813,0.08056076722002804,0.12152076623964164,0.10427944233279322,0.9079960444874138,0.2290869783215568,0.001529102140612024,0.0521882719109882
info,20260810,20300814,0.08091154051652127,0.08256917249856169,0.08824795898761402,0.9001566078941589,0.2290869783215568,0.0015291021406121212,0.04741740601154048
info,20260810,20300815,0.08155935340838585,0.0732693406395886,0.0744488245170488,0.8944722289221634,0.2290869783215568,0.0015291021406116355,0.057332506460532055
info,20260810,20300816,0.08163184235859443,0.1038562937158367,0.07665214667060917,0.900676445142391,0.2290869783215568,0.0015291021406123814,0.054390143975231724
info,20260810,20300817,0.08273776582066344,0.10971428453013299,0.07966035827694043,0.9010261091719065,0.2290869783215568,0.0015291021406118551,0.057704660577465094
info,20260810,20300818,0.09055620827842173,0.12892486786914073,0.08998221813093904,0.9044532832419956,0.2290869783215568,0.0015291021406121836,0.0586806716698302
info,20260810,20300819,0.06670113139877111,0.10228663515945575,0.08055612990752338,0.9024596181238822,0.2290869783215568,0.0015291021406122992,0.03977317605678727
cv,20260810,20300810,0.08507046363301034,0.10267855574087727,0.09494037223284374,0.2540185176798825,0.14753562508946497,0.001534064952506872,0.04665180525188595
cv,20260810,20300811,0.09719245499945631,0.07885949700754818,0.07675345146560657,0.2493471701269729,0.14753562508946497,0.0015340346418883533,0.06566428920666845
cv,20260810,20300812,0.09173147044591926,0.08328687851843988,0.0869982646552001,0.25254332059422574,0.14753562508946497,0.0015339508320632322,0.06294007508079165
cv,20260810,20300813,0.07880413037076568,0.09960873115296903,0.10237274217480069,0.25157303829848593,0.14753562508946497,0.0015340049393958595,0.05522392240429571
cv,20260810,20300814,0.08329360258839297,0.08822763768708664,0.09637497915785175,0.24972246456505612,0.14753562508946497,0.0015340413089290996,0.035198022255598836
cv,20260810,20300815,0.07967656327392024,0.07033320317119734,0.0797634569736781,0.25204956225818964,0.14753562508946497,0.0015340996780741547,0.05168956820493039
cv,20260810,20300816,0.08304778191694104,0.08339130008431812,0.07595739282638915,0.24368986074833965,0.14753562508946497,0.0015339728763185977,0.047564791348033104
cv,20260810,20300817,0.08651487480042215,0.0786902345906386,0.07324546112874204,0.254557327824854,0.14753562508946497,0.0015340142889542143,0.05045955541385352
cv,20260810,20300818,0.0928115017298759,0.09145007297853565,0.0809246988586819,0.2500160425677233,0.14753562508946497,0.001534005130314942,0.06341557709673126
cv,20260810,20300819,0.07103349344310228,0.07928027160194073,0.07477500609539629,0.2536846511271065,0.14753562508946497,0.001534013753586002,0.0369855699442922
fiber,20260810,20300810,0.057062855501721514,0.05114769089693851,0.05688004772697416,0.16086511046619406,0.8996794633377694,0.0014713925510486813,0.017539783321048785
fiber,20260810,20300811,0.05521058520444311,0.06253521645266202,0.0544657583955343,0.15609142293358394,0.8996794633377694,0.0014714303586544398,0.05401164548721135
fiber,20260810,20300812,0.060547985703821,0.064163314208365,0.06524746772595667,0.15856576301392966,0.8996794633377694,0.0014713494247843757,0.046382529884632574
fiber,20260810,20300813,0.05142486784551675,0.08089857309014326,0.07662524460711513,0.15870788733775282,0.8996794633377694,0.001471384274321471,0.025822264222999502
fiber,20260810,20300814,0.04873299476538462,0.06870648327565046,0.06358648435761703,0.15926499357478544,0.8996794633377694,0.001471407985160151,0.034065095801393525
fiber,20260810,20300815,0.05156147090941453,0.057809365798119274,0.05412253603497563,0.15957446674355813,0.8996794633377694,0.001471392193843531,0.038584525253205666
fiber,20260810,20300816,0.05603503018310092,0.06820221126868325,0.05689746727454747,0.15806173979967947,0.8996794633377694,0.0014713896190360822,0.03538016535693234
fiber,20260810,20300817,0.05462595743706057,0.07644098191883204,0.06389977330099629,0.15929262977132302,0.8996794633377694,0.001471395944844446,0.05388551163958707
fiber,20260810,20300818,0.06137944660106716,0.0983509701556805,0.08691287389005092,0.1585107483320469,0.8996794633377694,0.0014714067755319618,0.023900291895910173
fiber,20260810,20300819,0.04719965510700773,0.07458277315231031,0.06244996817601706,0.15905457976282522,0.8996794633377694,0.0014713813217334542,0.03697396695184073
random,20260810,20300810,0.07914260935263745,0.1137678450921125,0.1147804143214472,0.5191487454263409,0.25858596400237605,0.0018971617274016368,0.04869596227527353
random,20260810,20300811,0.09378248605350155,0.1090485134454135,0.11034359544894416,0.518714357129425,0.25858596400237605,0.0018971617274019033,0.05190750250915444
random,20260810,20300812,0.08648500158202228,0.1133626138373814,0.1146198822553734,0.5218227109736072,0.25858596400237605,0.0018971617274018853,0.08562014238957112
random,20260810,20300813,0.0626933932524666,0.08881010498483188,0.0889944724228197,0.5197192648180808,0.25858596400237605,0.0018971617274017524,0.054557308316149244
random,20260810,20300814,0.07026357376097689,0.13591871489115256,0.13762899014769467,0.5202241962615742,0.25858596400237605,0.0018971617274016611,0.05314675760214371
random,20260810,20300815,0.05829124009591027,0.09847056560595042,0.09957673621817453,0.5168474312329105,0.25858596400237605,0.0018971617274014228,0.05794004161325059
random,20260810,20300816,0.07430662496182605,0.09905911436507137,0.10065536406944076,0.5214694339039536,0.25858596400237605,0.0018971617274018617,0.06214391334026215
random,20260810,20300817,0.09033700701189741,0.1130971218217035,0.1149335169737961,0.5190272707283468,0.25858596400237605,0.0018971617274016472,0.053467270218462315
random,20260810,20300818,0.08068710337170452,0.08101648633456197,0.0817307775832765,0.5193396636744806,0.25858596400237605,0.0018971617274016403,0.05912746908689365
random,20260810,20300819,0.07824384809866253,0.09853473488571333,0.10018138442452888,0.5223235239209859,0.25858596400237605,0.0018971617274017583,0.06285286106249822
full_phi5,20260810,20300810,0.08280386819761112,0.09720819813349724,0.08601344372990638,0.2305512468364438,0.18739671781178116,0.0014382790907579717,0.03938150751600252
full_phi5,20260810,20300811,0.09977796234582004,0.0808524559893779,0.07425939183778506,0.22453278222602477,0.18739671781178116,0.001438289186884705,0.06082215539041935
full_phi5,20260810,20300812,0.09002308616591859,0.081065847332734,0.07376129197958206,0.22721030411692877,0.18739671781178116,0.001438263779679196,0.05954159443912469
full_phi5,20260810,20300813,0.0836763915271524,0.10562085219130714,0.11210909012501329,0.22340247098694804,0.18739671781178116,0.001438262722159571,0.0462321827918267
full_phi5,20260810,20300814,0.0767398405947468,0.08176461879706898,0.08229865856870182,0.22872916002732532,0.18739671781178116,0.0014382881231144264,0.029631467796511306
full_phi5,20260810,20300815,0.07211709818981162,0.07159507894254281,0.07012405307356546,0.22723967602487746,0.18739671781178116,0.0014382918141410729,0.05966083201009139
full_phi5,20260810,20300816,0.08025431219383461,0.07881531863266157,0.07754623985172315,0.22319847990834396,0.18739671781178116,0.0014382793613412583,0.05988000095242325
full_phi5,20260810,20300817,0.08323014200815608,0.07494884098345822,0.07978436930081609,0.22627912260577954,0.18739671781178116,0.0014382732079856876,0.04047517093006927
full_phi5,20260810,20300818,0.09536489552814813,0.09315548861231045,0.09740516862624483,0.22823531743807546,0.18739671781178116,0.001438288529878845,0.061145841861982735
full_phi5,20260810,20300819,0.07074254096060348,0.07572929184912919,0.07277746868422551,0.2270397040459411,0.18739671781178116,0.0014382870883235196,0.048585396576094876
info,20260811,20300810,0.08758291121621484,0.1013056859558049,0.08341822944707372,0.3064944672677734,0.2370521122707436,0.0012451627451813881,0.04516603335828282
info,20260811,20300811,0.0927794156342364,0.07796024975425843,0.07826729230172634,0.30737032523491503,0.2370521122707436,0.001245162745181794,0.057051122168106046
info,20260811,20300812,0.09212880212044183,0.09083778918047748,0.08650580055502294,0.3094372970881465,0.2370521122707436,0.001245162745182019,0.08532179912429914
info,20260811,20300813,0.07796254723157069,0.09074360929007981,0.11116399431708186,0.3216582205587119,0.2370521122707436,0.0012451627451814783,0.05029182341448286
info,20260811,20300814,0.0745489766706818,0.09233604180691561,0.07085646220189794,0.3047089655930527,0.2370521122707436,0.0012451627451810776,0.04140764821935289
info,20260811,20300815,0.07239257935638274,0.07791181987614741,0.07138518160640157,0.30794857091574324,0.2370521122707436,0.001245162745180601,0.06901255407746042
info,20260811,20300816,0.08098620232025133,0.08869269551028795,0.07144165310923802,0.3040711001327665,0.2370521122707436,0.001245162745181215,0.05320668454195709
info,20260811,20300817,0.08970994286455641,0.07948742244909161,0.07712305796339404,0.312803550909106,0.2370521122707436,0.0012451627451812498,0.05122915922129336
info,20260811,20300818,0.09618757445003068,0.09520112417607147,0.09877459533978845,0.31002642010530296,0.2370521122707436,0.0012451627451808903,0.05922948879634404
info,20260811,20300819,0.07491404846909519,0.08114264372968195,0.07221566407502208,0.3168307882430381,0.2370521122707436,0.0012451627451815668,0.07031238621390817
cv,20260811,20300810,0.08608164564971577,0.09851792027388928,0.08671093107854046,0.30347288140754125,0.21671851113691334,0.0015099812144076241,0.04337122412231902
cv,20260811,20300811,0.09988099496559823,0.08403959418159407,0.08446594066592376,0.31367552388736797,0.21671851113691334,0.0015099812144083202,0.058888955495355964
cv,20260811,20300812,0.09489480662010288,0.08335858610646037,0.09363454284912921,0.3111819962606466,0.21671851113691334,0.001509981214408141,0.0671456938725463
cv,20260811,20300813,0.08093488347368774,0.10354144918535357,0.09289972739660574,0.32234256549367724,0.21671851113691334,0.001509981214406788,0.04569638888779789
cv,20260811,20300814,0.07894252897580317,0.08476334634266447,0.08624961949659182,0.3040393434683773,0.21671851113691334,0.0015099812144078323,0.03760012760584346
cv,20260811,20300815,0.06842474425194056,0.07075834043168787,0.06648262685257268,0.30996332103954694,0.21671851113691334,0.0015099812144059193,0.05897100301880398
cv,20260811,20300816,0.0774145256013236,0.07851525657822585,0.08115435677960987,0.3063255119488107,0.21671851113691334,0.001509981214407601,0.06070360617574271
cv,20260811,20300817,0.08883264639788424,0.07522226212191237,0.07898193825711032,0.31224463804208097,0.21671851113691334,0.001509981214406226,0.046592977904949796
cv,20260811,20300818,0.09804537761283129,0.09565026544398343,0.0960066311225854,0.31364635020747894,0.21671851113691334,0.001509981214407876,0.056300027096000245
cv,20260811,20300819,0.07259114131488865,0.07778703103224595,0.08605645298741631,0.31813284377329115,0.21671851113691334,0.0015099812144097693,0.04866520012294249
fiber,20260811,20300810,0.056510952403919665,0.07896692748717445,0.06651920117713651,0.07461135856078599,0.8896094344048067,0.0012710744048916045,0.03208254418397908
fiber,20260811,20300811,0.05920396215745422,0.06059660417463727,0.05012962259681444,0.07653877782016931,0.8896094344048067,0.0012710744048913425,0.05465679351225916
