design,theta1_deg,theta2_deg,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,23.384916042773806,67.95178709555886,0.06873601185460489,0.06618573674323247,2.68340186362836,298.4982334108306,0.06581583882871417,314.05784380468424,1.0
law,23.384916042773806,67.95178709555886,0.06873601185460489,0.06618573674323247,2.68340186362836,298.4982334108306,0.06581583882871417,314.05784380468424,1.0
tangent,24.4396101612893,67.28087702977595,0.06876124416741282,0.06615899328533345,2.5437031803085777,325.93544390653835,0.06580547335360848,343.9159401951256,1.0
full,23.264056256221867,71.72393810240926,0.06898030681792516,0.06636255461131954,3.1203683771727713,268.929383213481,0.06598731599364055,288.76910936924463,1.0
