theta1_deg,theta2_deg,proxy_action,prescreen_action,full_action,action_valid,screened_candidate_count,exact_law_audited_count,exact_law_valid_count,exact_finalist_count
22.27317526409132,68.1751498621391,642.9692487899126,300.23229081134235,273.02670417987935,True,49,30,27,11
23.264056256221867,71.72393810240926,692.4951912974167,315.8943106089759,268.929383213481,True,49,30,27,11
22.807935484971793,67.84972735900847,682.9806308307179,316.8508923173175,286.7011268408228,True,49,30,27,11
22.69355550570375,66.62061445169097,680.4091951411813,317.6848845047415,293.17232328329146,True,49,30,27,11
23.38302357457862,71.70758496725932,703.4527510150328,320.24314753490484,272.1684228600179,True,49,30,27,11
23.0867767238635,69.06085050128728,697.4723976262856,321.0308993166257,284.1815565469425,True,49,30,27,11
23.315787710453964,68.01511431064587,719.4463457885456,331.35502235426355,296.5538644482905,True,49,30,27,11
23.474710334910835,69.2655849245144,727.3991323690213,332.75283928338257,291.8649255745262,True,49,30,27,11
23.384916042773806,67.95178709555886,724.7756028148262,333.60577056668035,298.4982334108306,True,49,30,27,11
23.408353542773806,67.95178709555886,726.5262055355892,334.31373019248963,299.017447968597,True,49,30,27,11
24.4396101612893,67.28087702977595,803.782826877364,366.7390054697426,325.93544390653835,True,49,30,27,11
