seed,method,interior_mmd2,integrated_mmd2,endpoint_mmd2,maximum_moment_error,interior_phi_mmd2,q4_change
401,raw,0.01914356828515293,0.025884907025643583,0.00894473361269088,0.033885017483084534,0.035800368403749824,0.6237934644171639
401,tangent,0.012607730742452528,0.031659375655562316,0.10654908727997725,0.0021493784338155932,0.010818920641774837,0.575392737712614
401,frozen_neural,0.02804496292774808,0.038962900369120784,0.02454498898709101,0.039574947092425664,0.04787192688790452,0.6275540503866701
401,rollout_adapted,0.020449405523620068,0.027585902583699307,0.011406237341100134,0.03400131607426923,0.034918844722602094,0.622231623419029
402,raw,0.014794825948405338,0.01978060459437425,0.005155467895504584,0.017789074879824805,0.02810509615493967,0.5974633126770086
402,tangent,0.0035713769258695904,0.006858091107169922,0.01633076249318499,0.0011271982365446984,0.004686669355072115,0.5719317288005521
402,frozen_neural,0.02079689848804167,0.03137802754550148,0.04095336871438793,0.020920179634528684,0.03896801929052687,0.5945894291065601
402,rollout_adapted,0.014841255091129851,0.01975416691310583,0.007194345869844021,0.016131877324946243,0.02695074278418963,0.5947115168306949
403,raw,0.015920049274040254,0.024466197453387073,0.035812277562601746,0.023236883073850335,0.01972584404656344,0.6047827151987986
403,tangent,0.01434898339961116,0.040159293715412575,0.14422587227272854,0.0016681500100331533,0.006010812885004019,0.5703821382217568
403,frozen_neural,0.01774452611759139,0.028284444729629737,0.04707134288788972,0.018131153004278665,0.016765657505042997,0.6044622424510954
403,rollout_adapted,0.01716977375874007,0.027399764718526953,0.0455639981212701,0.017342504074087554,0.015874522783965034,0.6023601904023215
404,raw,0.030514408104490354,0.03755451452461889,0.00520830872171496,0.03550922316953352,0.059278995431667314,0.6142750456251901
404,tangent,0.010662733093749849,0.02920500180576613,0.09687826749895923,0.0021922183226962553,0.016066230979503632,0.5546527033948598
404,frozen_neural,0.024637150567404537,0.030116321636354665,0.006401259650874014,0.028479708334836294,0.04343195024593888,0.6196023672388533
404,rollout_adapted,0.022362171111037055,0.027532813979700588,0.008375231471177358,0.026728287070987875,0.03829161556277627,0.6220874486496004
405,raw,0.015372404550625746,0.021559496091519498,0.01917871700974416,0.02373468298763995,0.024631121690087243,0.5737325516209894
405,tangent,0.007827990192439016,0.02400357307418227,0.090964085389178,0.001232005537430905,0.01178744945903687,0.5393078099633969
405,frozen_neural,0.007179747644637635,0.015775772351016404,0.05175132030463825,0.017550138139230353,0.010745845142989707,0.5831788941362659
405,rollout_adapted,0.00531542669646215,0.015929746923757454,0.07189402601627659,0.022028033021589014,0.0078105070358810424,0.5869760155339324
