candidate_rank,pair_id,observation_dimension,coupling,schedule_amplitude,t,bank_count,bank_seed,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,projection_kl_distortion,lambda_norm,maximum_weight,covariance_rank,covariance_condition,hidden_shift_standardized_rms,hidden_shift_nontrivial,field_minimum,field_maximum,hard_range_violation_fraction,physical_range_gate_pass
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.1,4096,36000,True,2.220446049250313e-16,True,8.73707772797161e-11,0.007092949320360738,4.32363704835635,40.28578865381403,0.1057867157037789,2,1005.4942664821726,0.7063011415273829,True,-0.019421659409999847,0.4114809036254883,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.2,4096,36000,False,,False,,,,,,,,,False,-0.04190235212445259,0.4127206802368164,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.3,4096,36000,False,,False,,,,,,,,,False,-0.062348298728466034,0.41486573219299316,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.4,4096,36000,False,,False,,,,,,,,,False,-0.07540130615234375,0.42370423674583435,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.5,4096,36000,False,,False,,,,,,,,,False,-0.07941193133592606,0.432397723197937,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.6,4096,36000,False,,False,,,,,,,,,False,-0.07503264397382736,0.4413336515426636,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.7,4096,36000,True,6.661338147750939e-16,True,3.086420008457935e-14,0.007358919356721298,4.105882179973766,12.063276321586795,0.05428581465961215,2,889.901928145069,1.0938964918069296,True,-0.0642712265253067,0.4510083794593811,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.8,4096,36000,True,4.440892098500626e-16,True,6.439293542825908e-15,0.031287155335811126,1.8159608358239967,4.647520477454775,0.02226972883910971,2,91.14297769019068,0.7762793845010686,True,-0.0468929149210453,0.4568135738372803,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.9,4096,36000,True,2.220446049250313e-16,True,5.306866057708248e-14,0.1801187019247762,0.5597888449416679,2.3852738819370547,0.0071150809281553,2,79.13057540767309,0.4116684439086247,True,-0.024707162752747536,0.46041029691696167,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.03,0.1,4096,36000,True,4.440892098500626e-16,True,1.6444623440747819e-12,0.008865603657420324,3.844651823440976,32.38493552389195,0.10263247192973696,2,422.5936513402907,0.6347597795995554,True,-0.03215146064758301,0.42294567823410034,0.0,True
