time_parameterization,t,s,empirical_lhs_second_moment,analytic_rhs_second_moment,absolute_identity_error,second_moment_deficit,mean_squared_endpoint_displacement,candidate_rank,pair_id,coupling
identity,0.1,0.1,0.024045412190790115,0.02404541214912898,4.166113634629376e-11,0.0016305411973143657,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.2,0.2,0.02277721347330921,0.022777213440106695,3.3202513655128385e-11,0.0028987399063366503,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.3,0.3,0.02187135724412037,0.02187135721937649,2.4743880555622155e-11,0.0038045961270668526,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.4,0.4,0.021327843503223625,0.02132784348693837,1.628525439500983e-11,0.004348109859504974,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.5,0.5,0.021146672250618958,0.02114667224279233,7.826628234397504e-12,0.004529281103651015,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.6,0.6,0.02132784348630637,0.02132784348693837,6.320013956617743e-13,0.004348109859504974,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.7,0.7,0.021871357210285866,0.02187135721937649,9.090624086827148e-12,0.003804596127066853,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.8,0.8,0.022777213422557445,0.022777213440106695,1.7549250247439474e-11,0.0028987399063366494,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.9,0.9,0.0240454121231211,0.02404541214912898,2.6007879877498752e-11,0.0016305411973143653,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.1,0.028000000000000004,0.025182877736126826,0.02518287768837548,4.775134454515495e-11,0.0004930756580678642,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.2,0.10400000000000002,0.02398772726631567,0.02398772722499288,4.132279241009229e-11,0.001688226121450465,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.3,0.216,0.022607927061425764,0.022607927029576633,3.184913097142861e-11,0.00306802631686671,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.4,0.3520000000000001,0.02154350975631521,0.021543509735969815,2.0345395507215258e-11,0.004132443610473528,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.5,0.5,0.021146672250618958,0.02114667224279233,7.826628234397504e-12,0.004529281103651015,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.6,0.648,0.021543509731277673,0.021543509735969815,4.692142507867203e-12,0.004132443610473528,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.7,0.7839999999999999,0.02260792701338076,0.022607927029576633,1.619587103318665e-11,0.003068026316866711,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.8,0.8960000000000001,0.023987727199323343,0.023987727224992882,2.5669539410744235e-11,0.0016882261214504629,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.9,0.972,0.02518287765627739,0.02518287768837548,3.2098091545806895e-11,0.0004930756580678646,0.01811712441460406,1,v6_F0280_k06025__v6_F0280_k05800,maximal_same_ic
identity,0.1,0.1,0.02451289155354587,0.024512891511884738,4.166113287684681e-11,0.0011630618345586075,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.2,0.2,0.02360828789598611,0.023608287862783597,3.3202513655128385e-11,0.0020676654836597466,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.3,0.3,0.022962142423883804,0.022962142399139927,2.4743877086175203e-11,0.002713810947303417,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.4,0.4,0.022574455137238977,0.022574455120953726,1.6285250925562877e-11,0.0031014982254896194,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.5,0.5,0.02244522603605162,0.02244522602822499,7.826628234397504e-12,0.0032307273182183537,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.6,0.6,0.022574455120321725,0.022574455120953726,6.320013956617743e-13,0.0031014982254896194,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.7,0.7,0.022962142390049296,0.022962142399139927,9.090631025721052e-12,0.0027138109473034172,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.8,0.8,0.023608287845234343,0.023608287862783597,1.7549253716886426e-11,0.002067665483659746,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.9,0.9,0.024512891485876855,0.024512891511884738,2.6007883346945704e-11,0.001163061834558607,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.1,0.028000000000000004,0.025324243495424167,0.025324243447672822,4.775134454515495e-11,0.0003517098987705229,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.2,0.10400000000000002,0.0244717450100827,0.02447174496875991,4.132279241009229e-11,0.0012042083776834364,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.3,0.216,0.023487536230386998,0.02348753619853787,3.1849127501981656e-11,0.0021884171479054754,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.4,0.3520000000000001,0.022728289453283403,0.02272828943293801,2.0345392037768306e-11,0.002947663913505335,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.5,0.5,0.02244522603605162,0.02244522602822499,7.826628234397504e-12,0.0032307273182183537,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.6,0.648,0.022728289428245868,0.02272828943293801,4.692142507867203e-12,0.0029476639135053344,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.7,0.7839999999999999,0.023487536182341992,0.023487536198537867,1.61958745026336e-11,0.0021884171479054763,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.8,0.8960000000000001,0.02447174494309037,0.02447174496875991,2.5669539410744235e-11,0.0012042083776834349,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.9,0.972,0.025324243415574724,0.025324243447672822,3.20980984847008e-11,0.0003517098987705232,0.012922909272873415,1,v6_F0280_k06025__v6_F0280_k05800,geometric_l2_ot
identity,0.1,0.1,0.023572254179953785,0.02357225413829265,4.166113634629376e-11,0.002103699208150695,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.2,0.2,0.02193604367626684,0.02193604364306433,3.320251018568143e-11,0.0037399097033790135,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.3,0.3,0.020767321885502267,0.02076732186075839,2.4743877086175203e-11,0.004908631485684954,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.4,0.4,0.020066088807660077,0.020066088791374826,1.6285250925562877e-11,0.005609864555068519,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.5,0.5,0.019832344442740263,0.019832344434913635,7.826628234397504e-12,0.005843608911529708,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.6,0.6,0.020066088790742825,0.020066088791374826,6.320013956617743e-13,0.005609864555068519,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.7,0.7,0.020767321851667762,0.02076732186075839,9.0906275562741e-12,0.004908631485684955,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.8,0.8,0.02193604362551508,0.021936043643064333,1.7549253716886426e-11,0.003739909703379012,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.9,0.9,0.02357225411228477,0.02357225413829265,2.6007879877498752e-11,0.0021036992081506943,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.1,0.028000000000000004,0.025039794753649917,0.025039794705898573,4.775134454515495e-11,0.0006361586405447702,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.2,0.10400000000000002,0.023497829976518197,0.023497829935195405,4.132279241009229e-11,0.0021781234112479377,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.3,0.216,0.021717632948236126,0.021717632916386998,3.1849127501981656e-11,0.003958320430056347,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.4,0.3520000000000001,0.020344338093651618,0.020344338073306222,2.0345395507215258e-11,0.005331615273137121,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.5,0.5,0.019832344442740263,0.019832344434913635,7.826628234397504e-12,0.005843608911529708,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.6,0.648,0.020344338068614083,0.020344338073306222,4.692139038420251e-12,0.005331615273137121,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.7,0.7839999999999999,0.021717632900191124,0.021717632916386995,1.619587103318665e-11,0.003958320430056349,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.8,0.8960000000000001,0.02349782990952587,0.02349782993519541,2.5669539410744235e-11,0.0021781234112479347,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
smoothstep_reparameterization,0.9,0.972,0.025039794673800478,0.025039794705898573,3.209809501525385e-11,0.0006361586405447707,0.02337443564611883,1,v6_F0280_k06025__v6_F0280_k05800,independent
identity,0.1,0.1,0.02562675158961549,0.02562675154726281,4.235268039054496e-11,0.0018075524177959504,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.2,0.2,0.024220877464772028,0.024220877444532628,2.0239400433386123e-11,0.0032134265205261345,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.3,0.3,0.02321668165499432,0.023216681656868212,1.8738934015605224e-12,0.00421762230819055,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.4,0.4,0.02261416416028239,0.022614164184269564,2.398717335871936e-11,0.0048201397807892,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.5,0.5,0.022413324980636223,0.02241332502673668,4.610045678532515e-11,0.005020978938322084,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.6,0.6,0.022614164116055824,0.022614164184269564,6.821374021193094e-11,0.0048201397807892,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.7,0.7,0.023216681566541192,0.023216681656868212,9.032702016908978e-11,0.004217622308190551,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.8,0.8,0.024220877332092324,0.024220877444532628,1.1244030359569557e-10,0.003213426520526133,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.9,0.9,0.025626751412709224,0.02562675154726281,1.3455358702230136e-10,0.0018075524177959498,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
