candidate_rank,pair_id,observation_dimension,coupling,schedule_amplitude,mean_squared_endpoint_displacement,endpoint_displacement_rms,maximum_coupling_marginal_residual,all_time_target_hull_feasible,feasible_time_count,all_time_calibrations_converged,minimum_interior_ess_fraction,maximum_interior_standardized_residual,mean_projection_kl_distortion,maximum_lambda_norm,nontrivial_hidden_shift_time_count,all_time_physical_range_gate_pass,phase3a_gate_pass,rejection_reasons
7,v6_F0280_k05950__v6_F0280_k05800,2,maximal_same_ic,0.0,0.015185765600392212,0.12323053842450017,4.85722573273506e-17,False,8,False,0.004236862972753504,3.5808975784590302e-09,2.7877445247677413,19.026594600378374,8,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
7,v6_F0280_k05950__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.010638460747535078,0.10314291418965764,5.724587470723463e-17,True,9,False,0.008641050013570507,3.72000796833305e-09,2.009892688708814,15.6194346342514,9,True,False,calibration_not_converged_at_all_times;minimum_interior_ess
7,v6_F0280_k05950__v6_F0280_k05800,2,independent,0.0,0.022242375982140742,0.14913878094627414,4.163336342344337e-17,False,7,False,0.00036330723832391474,5.0855097910584846e-11,3.8436016782581737,25.520464602862067,7,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
8,v6_F0280_k05950__v6_F0280_k05825,3,maximal_same_ic,0.0,0.015566906166532078,0.12476740827047775,2.7755575615628914e-17,False,8,False,0.004345421834023833,7.74462716179869e-11,2.85967594774155,34.964354627484354,8,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
8,v6_F0280_k05950__v6_F0280_k05825,3,geometric_l2_ot,0.0,0.010379167427573784,0.10187819898081131,2.211772431870429e-17,True,9,False,0.008405560442451368,6.224549764510812e-10,1.967001236402207,17.317266363598335,9,True,False,calibration_not_converged_at_all_times;minimum_interior_ess
8,v6_F0280_k05950__v6_F0280_k05825,3,independent,0.0,0.021912858053131444,0.14802992283025565,1.3877787807814457e-17,False,5,False,0.0011182358584362153,4.192779456957396e-11,3.289719118531404,25.70322372064317,5,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
9,v6_F0300_k06025__v6_F0280_k05800,3,maximal_same_ic,0.0,0.016792847653526233,0.12958722025541805,2.7755575615628914e-17,False,5,False,0.007167038559851056,7.486566921954818e-12,2.3445842057824353,11.79891639966596,5,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
9,v6_F0300_k06025__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.011640545330988704,0.1078913589264159,3.7730235602495554e-17,False,6,False,0.004071298784054222,8.422408326325126e-10,1.9451837282397528,253.5190039714786,6,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
9,v6_F0300_k06025__v6_F0280_k05800,3,independent,0.0,0.02349808052773751,0.15329083641150085,2.0816681711721685e-17,False,5,False,0.0011704547948796378,1.9585004173983123e-08,3.1888059209601947,22.925497218136915,5,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
10,v6_F0300_k06050__v6_F0280_k05825,3,maximal_same_ic,0.0,0.018370783591133793,0.1355388637665736,2.7755575615628914e-17,False,3,False,0.009018192712935991,8.237854842718662e-13,2.20971098533392,22.221649331237707,3,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
10,v6_F0300_k06050__v6_F0280_k05825,3,geometric_l2_ot,0.0,0.012622955473767251,0.11235192688052685,4.5102810375396984e-17,False,3,False,0.018622107574680816,7.170930516053886e-13,1.4811129006515114,13.914093007273483,3,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
10,v6_F0300_k06050__v6_F0280_k05825,3,independent,0.0,0.023931342817723626,0.15469758504166645,1.3877787807814457e-17,False,3,False,0.0011273780206993214,4.884981308350689e-15,2.929524034024743,13.356575795524229,3,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
11,v6_F0280_k05950__v6_F0280_k05825,2,maximal_same_ic,0.0,0.014276731757344521,0.11948527841263341,1.0408340855860843e-17,False,8,False,0.004384354903680171,3.9404035589996056e-11,2.4101494930289222,18.810972652166292,8,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
11,v6_F0280_k05950__v6_F0280_k05825,2,geometric_l2_ot,0.0,0.010028187829594174,0.10014083996848726,4.9439619065339e-17,True,9,True,0.010581552433680735,4.4172998592273416e-11,1.7140096830517584,13.338653989665483,9,True,False,minimum_interior_ess
11,v6_F0280_k05950__v6_F0280_k05825,2,independent,0.0,0.022100334923056696,0.14866181393705882,2.7755575615628914e-17,False,4,False,0.0026879336183832704,1.0087486401744172e-12,2.7258629225618267,13.77292457580407,4,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
12,v6_F0300_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.016303038649740656,0.12768335306429204,2.7755575615628914e-17,False,6,False,0.0048552901772998406,1.4778178680785459e-12,2.844147316842512,36.030997835616695,6,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
12,v6_F0300_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.011304020120607244,0.10632036550260371,2.992397996059992e-17,False,7,False,0.0063082916961479905,2.6227686689139773e-11,2.2369144580720453,190.94990816113705,7,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
12,v6_F0300_k06025__v6_F0280_k05800,2,independent,0.0,0.02350542762617304,0.15331479911010887,1.734723475976807e-17,False,5,False,0.001484547171654467,7.947920099837802e-12,3.0401819363797555,12.401130157290355,5,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
13,v6_F0300_k06050__v6_F0280_k05825,2,maximal_same_ic,0.0,0.017753918536519975,0.13324383113870591,1.3877787807814457e-17,False,4,False,0.0065977941518172685,1.4702683515110948e-12,2.3342065138819628,9.316469952011321,4,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
13,v6_F0300_k06050__v6_F0280_k05825,2,geometric_l2_ot,0.0,0.01204422991843564,0.10974620685215339,5.724587470723463e-17,False,5,False,0.005427058029215225,9.288105062843499e-09,2.3724519270368556,22.232268560877802,5,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
13,v6_F0300_k06050__v6_F0280_k05825,2,independent,0.0,0.023952373825971478,0.15476554469897838,2.7755575615628914e-17,False,3,False,0.00038045671859020784,5.806466418789569e-14,3.491521941942364,22.232087432864915,3,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess
14,v6_F0300_k06025__v6_F0280_k05825,3,maximal_same_ic,0.0,0.016071432017150646,0.1267731517993879,2.0816681711721685e-17,True,9,True,0.00615023324326417,9.322209670870052e-12,3.2788790341830407,33.99864211692165,9,True,False,minimum_interior_ess
14,v6_F0300_k06025__v6_F0280_k05825,3,geometric_l2_ot,0.0,0.01126299496116176,0.10612725833244614,1.691355389077387e-17,True,9,False,0.006392873163950438,1.3034559986913052e-08,2.8817612327809576,35.66641139259158,9,True,False,calibration_not_converged_at_all_times;minimum_interior_ess
14,v6_F0300_k06025__v6_F0280_k05825,3,independent,0.0,0.02348617597436041,0.15325200153459795,2.7755575615628914e-17,False,2,False,0.023195380965030196,7.993605777301127e-15,1.7321741487001932,12.323212934532787,2,True,False,target_not_in_empirical_hull_at_all_times;calibration_not_converged_at_all_times;minimum_interior_ess;insufficient_nontrivial_hidden_projection_shift
