candidate_rank,pair_id,observation_dimension,coupling,schedule_amplitude,t,bank_count,bank_seed,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,projection_kl_distortion,lambda_norm,maximum_weight,covariance_rank,covariance_condition,hidden_shift_standardized_rms,hidden_shift_nontrivial,field_minimum,field_maximum,hard_range_violation_fraction,physical_range_gate_pass
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.1,4096,36000,True,2.220446049250313e-16,True,5.995204332975845e-15,0.006204582453291268,4.860227831937784,64.99423386563606,0.0497073023095149,2,9625.49127514909,0.766670551610666,True,0.0006885465700179338,0.3956223726272583,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.2,4096,36000,False,,False,,,,,,,,,False,0.0006120413891039789,0.3854324519634247,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.3,4096,36000,False,,False,,,,,,,,,False,0.0005355362081900239,0.3903270363807678,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.4,4096,36000,False,,False,,,,,,,,,False,0.0004590310563798994,0.39658626914024353,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.5,4096,36000,False,,False,,,,,,,,,False,0.0003825258754659444,0.4035383462905884,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.6,4096,36000,False,,False,,,,,,,,,False,0.00030602069455198944,0.4164257049560547,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.7,4096,36000,True,0.0,True,5.551115123125783e-15,0.0007528344136513346,6.271880319146978,110.12025724821372,0.5579356420874907,2,55317.965460640364,0.9724335421766315,True,0.0002295155281899497,0.429313063621521,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.8,4096,36000,True,0.0,True,3.774758283725532e-15,0.027337291441372022,1.9769325477549708,4.842888360736147,0.024249847979854487,2,94.49343969445286,0.7944727679323371,True,0.00015301034727599472,0.4422004222869873,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.0,0.9,4096,36000,True,6.661338147750939e-16,True,8.659739592076221e-15,0.17171551292493034,0.5819174423111205,2.417118091015657,0.007276971562370056,2,78.08704028180615,0.41724862694182224,True,7.65051954658702e-05,0.4550877809524536,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.1,4096,36010,True,4.440892098500626e-16,True,6.439293542825908e-15,0.05129400784469665,1.2122058496610024,7.4781787834693265,0.01565940053102823,2,29.49654341302004,0.33159513954984193,True,6.9949419412296265e-06,0.39609295129776,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.2,4096,36010,True,1.1102230246251565e-15,True,4.440892098500626e-15,0.01073904944320764,3.216717456137488,11.932118767826442,0.03702250198320287,2,127.81365176175503,0.6371363792145991,True,6.217726422619307e-06,0.4003205895423889,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.3,4096,36010,False,,False,,,,,,,,,False,5.440510449261637e-06,0.40454819798469543,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.4,4096,36010,False,,False,,,,,,,,,False,4.663294930651318e-06,0.40877586603164673,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.5,4096,36010,True,0.0,True,1.5543122344752192e-15,0.004874222752577417,5.154174566016517,23.251699192019288,0.05533079903003083,2,7065.050065803222,0.7592482639630157,True,3.886078957293648e-06,0.41300347447395325,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.6,4096,36010,True,2.220446049250313e-16,True,6.439293542825908e-15,0.012817146383675333,3.2529571195437934,7.815059892162604,0.0325068437944945,2,147.28855782399518,0.7588266827222745,True,3.1088629839359783e-06,0.41789674758911133,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.7,4096,36010,True,2.220446049250313e-16,True,1.7763568394002505e-15,0.028536710290023377,1.9835653991512836,5.054491842185983,0.02076719469525434,2,82.77413254994066,0.7010334895154123,True,2.331647465325659e-06,0.43025505542755127,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.8,4096,36010,True,1.3322676295501878e-15,True,6.106670724648211e-12,0.0816597136326505,0.9976765378829688,3.230003627374916,0.010891446379482302,2,69.78186028428108,0.5398312775470943,True,1.5544314919679891e-06,0.4426133930683136,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.0,0.9,4096,36010,True,2.220446049250313e-16,True,4.909406214892442e-13,0.34097404217317057,0.31479322148150934,1.8574157211356177,0.004076193343052875,2,88.82625906978394,0.29190488763715206,True,7.7721597335767e-07,0.45497167110443115,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,independent,0.0,0.1,4096,36020,True,2.220446049250313e-16,True,3.983569030197032e-11,0.004043779038190292,2.9348160046210165,9.18566596431638,0.21558066249000946,2,21.3689825283481,0.6804539887592328,True,0.00023731323017273098,0.40107041597366333,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,independent,0.0,0.2,4096,36020,True,0.0,True,3.9968028886505635e-15,0.0006881883966070001,5.946469146566243,12.03952092392745,0.5735525870354504,2,108.3246622783654,1.17296185092436,True,0.00035856381873600185,0.4047450125217438,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,independent,0.0,0.3,4096,36020,False,,False,,,,,,,,,False,0.0004568902077153325,0.40841957926750183,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,independent,0.0,0.4,4096,36020,False,,False,,,,,,,,,False,0.0004590310563798994,0.4120941758155823,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,independent,0.0,0.5,4096,36020,False,,False,,,,,,,,,False,0.0003825258754659444,0.41576874256134033,0.0,True
