allowance_percent,geometry_deg,population_loss_L,finite_law_risk_R,risk_increase_percent,L_max,R_max,passes_L,passes_R,selection_A_full_h,validation_A_full_h_mean,validation_A_full_h_se,Full_vs_Law_validation_reduction,selection_A_tan_h,selection_A_hid_h,selection_Gamma_h,tangent_geometry_selection_A_full_h,Full_beats_Tangent_geometry,selection_passes,validation_passes,selection_flag_positive_q,selection_flag_mass,selection_flag_source,selection_flag_component_compatibility,selection_flag_solver_convergence,selection_flag_trial_validity,selection_flag_poisson,selection_flag_full_moment,selection_flag_tangent_moment,selection_flag_hidden_nullspace,selection_flag_orthogonality,selection_flag_pythagorean,selection_flag_hierarchy,selection_flag_all,validation_flag_positive_q,validation_flag_mass,validation_flag_source,validation_flag_component_compatibility,validation_flag_solver_convergence,validation_flag_trial_validity,validation_flag_poisson,validation_flag_full_moment,validation_flag_tangent_moment,validation_flag_hidden_nullspace,validation_flag_orthogonality,validation_flag_pythagorean,validation_flag_hierarchy,validation_flag_all,selection_max_poisson_residual,selection_max_full_moment_residual,selection_max_tangent_moment_residual,selection_max_hidden_nullspace_residual,selection_max_abs_orthogonality_residual,selection_max_abs_pythagorean_residual,selection_max_raw_hierarchy_violation,geometry_changed_from_historical,historical_geometry_deg,published_or_frozen_input
0.5,"[23.0867771118319,69.06085054685987]",0.0687593710939516,0.06621188562919098,0.039508373691732324,0.0692360118546043,0.0665166654046016,True,True,27.573950551159513,26.618645891833523,0.8560269738226035,0.08255791887759535,0.7194469992757277,26.85450355188378,0.9739084539975184,31.428738418564773,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7.646473547030954e-12,3.330743087921409e-14,4.577566798522237e-16,3.3084646133829665e-14,5.215351639536243e-14,4.547473508864641e-13,-0.2877139629062747,True,"[21.218481533544225,68.84605997349458]",True
1.0,"[20.791665181605865,71.67431874734494]",0.06917461987788673,0.06669860868878917,0.7748980266768735,0.0692360118546043,0.06684759408820659,True,True,21.040259435874198,20.310305049837915,0.6338133489109813,0.299982102437793,0.8789559045973179,20.16130353127688,0.9582250443595446,38.32483626673649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7.388270583549006e-12,4.085997827016998e-14,6.280369834735101e-16,4.0635527706662686e-14,1.1902870372070682e-13,4.547473508864641e-13,-0.16499721404885734,True,"[21.145218572199134,70.61365857556511]",True
2.0,"[21.145218572199138,72.02787213793822]",0.069192897784744,0.06668349557260596,0.7520636261973301,0.0692360118546043,0.06750945145541655,True,True,20.32243166724836,19.746995928782667,0.5423273114842293,0.3193971956937092,0.8766570835225795,19.44577458372578,0.9568625891883105,38.32483626673649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6.505378512270325e-12,5.0521125390730084e-14,4.965068306494546e-16,5.0522955179012766e-14,1.141214800773795e-13,4.547473508864641e-13,-0.18702422591276008,True,"[21.218481533544225,68.84605997349458]",False
3.0,"[21.49877196279241,72.3814255285315]",0.06921748161761804,0.06667457253623507,0.7385818145367429,0.0692360118546043,0.06817130882262652,True,True,19.671402294066905,19.24308221222028,0.46112872997576115,0.3367651583882713,0.8743787121618924,18.79702358190501,0.9555507686187874,38.32483626673649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7.0606931075290816e-12,5.143029522673714e-14,4.965068306494546e-16,5.144215718962517e-14,1.3329388873037924e-13,3.410605131648481e-13,-0.20579710155859587,True,"[21.218481533544225,68.84605997349458]",False
4.0,"[21.67554865808905,72.55820222382813]",0.06923211092821376,0.06667240605105532,0.7353084730479464,0.0692360118546043,0.06883316618983648,True,True,19.370318986899875,19.013148590318956,0.42527760780344037,0.3446900837001889,0.8732471810839454,18.497071805815924,0.9549182859779167,38.32483626673649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6.3875373740110145e-12,4.643334428599967e-14,7.021666937153402e-16,4.621942590879402e-14,1.362610472123911e-13,4.547473508864641e-13,-0.21667349298395377,True,"[21.218481533544225,68.84605997349458]",False
5.0,"[21.67554865808905,72.55820222382813]",0.06923211092821376,0.06667240605105532,0.7353084730479464,0.0692360118546043,0.06949502355704645,True,True,19.370318986899875,19.013148590318956,0.42527760780344037,0.3446900837001889,0.8732471810839454,18.497071805815924,0.9549182859779167,38.32483626673649,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6.3875373740110145e-12,4.643334428599967e-14,7.021666937153402e-16,4.621942590879402e-14,1.362610472123911e-13,4.547473508864641e-13,-0.21667349298395377,True,"[21.218481533544225,68.84605997349458]",False
