risk_allowance_percent,method,R_star,R_max,selection_R,selection_R_increase_percent,selection_budget_used_percent,selection_L,selection_tangent_action,selection_full_action,certified,sensor_coordinates,result
0.5,law,0.06618573672099662,0.0665166654046016,0.06618573672099662,0.0,0.0,0.0687360118546043,0.6812904616289339,30.201589389286397,True,"[23.3849164307422, 67.95178714113145]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_0p5pct/result.json
0.5,tangent,0.06618573672099662,0.0665166654046016,0.06615899327394038,-0.04040666219214413,-8.081332438428825,0.06876124417721063,0.6365139177159893,31.42873841856627,True,"[24.439610549257697, 67.28087707534854]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_0p5pct/result.json
0.5,full,0.06618573672099662,0.0665166654046016,0.06621188562919098,0.039508373691731144,7.901674738346229,0.0687593710939516,0.7194469992757277,27.573950551159513,True,"[23.0867771118319, 69.06085054685987]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_0p5pct/result.json
1.0,law,0.06618573672099662,0.06684759408820659,0.06618573672099663,2.0967943389851092e-14,2.096794338985109e-12,0.0687360118546043,0.6812904616289339,30.201589389286397,True,"[23.3849164307422, 67.95178714113145]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_1pct/result.json
1.0,tangent,0.06618573672099662,0.06684759408820659,0.06637372448652676,0.2840306308330372,28.40306308330372,0.06900219255134,0.5549870957547843,38.32483626673544,True,"[25.165658284936548, 64.14644523213042]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_1pct/result.json
1.0,full,0.06618573672099662,0.06684759408820659,0.06669860868878917,0.7748980266768718,77.48980266768719,0.06917461987788673,0.8789559045973179,21.040259435874198,True,"[20.791665181605865, 71.67431874734494]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_1pct/result.json
2.0,law,0.06618573672099662,0.06750945145541655,0.06618573672099663,2.0967943389851092e-14,1.0483971694925546e-12,0.0687360118546043,0.6812904616289339,30.201589389286397,True,"[23.3849164307422, 67.95178714113145]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_2pct/result.json
2.0,tangent,0.06618573672099662,0.06750945145541655,0.06637372448652676,0.2840306308330372,14.20153154165186,0.06900219255134,0.5549870957547843,38.32483626673544,True,"[25.165658284936548, 64.14644523213042]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_2pct/result.json
2.0,full,0.06618573672099662,0.06750945145541655,0.06668349557260596,0.7520636261973217,37.60318130986609,0.069192897784744,0.8766570835225795,20.32243166724836,True,"[21.145218572199138, 72.02787213793822]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_2pct/result.json
3.0,law,0.06618573672099662,0.06817130882262652,0.06618573672099662,0.0,0.0,0.0687360118546043,0.6812904616289339,30.201589389286397,True,"[23.3849164307422, 67.95178714113145]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_3pct/result.json
3.0,tangent,0.06618573672099662,0.06817130882262652,0.06637372448652676,0.2840306308330372,9.467687694434574,0.06900219255134002,0.5549870957547843,38.32483626673544,True,"[25.165658284936548, 64.14644523213042]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_3pct/result.json
3.0,full,0.06618573672099662,0.06817130882262652,0.06667457253623507,0.7385818145367503,24.619393817891677,0.06921748161761804,0.8743787121618924,19.671402294066905,True,"[21.49877196279241, 72.3814255285315]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_3pct/result.json
4.0,law,0.06618573672099662,0.06883316618983648,0.06618573672099663,2.0967943389851092e-14,5.241985847462773e-13,0.0687360118546043,0.6812904616289339,30.201589389286397,True,"[23.3849164307422, 67.95178714113145]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_4pct/result.json
4.0,tangent,0.06618573672099662,0.06883316618983648,0.06637372448652676,0.2840306308330372,7.10076577082593,0.06900219255134002,0.5549870957547843,38.32483626673544,True,"[25.165658284936548, 64.14644523213042]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_4pct/result.json
4.0,full,0.06618573672099662,0.06883316618983648,0.06667240605105532,0.7353084730479518,18.382711826198793,0.06923211092821376,0.8732471810839454,19.370318986899875,True,"[21.67554865808905, 72.55820222382813]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_4pct/result.json
5.0,law,0.06618573672099662,0.06949502355704645,0.06618573672099663,2.0967943389851092e-14,4.1935886779702184e-13,0.0687360118546043,0.6812904616289339,30.201589389286397,True,"[23.3849164307422, 67.95178714113145]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_5pct/result.json
5.0,tangent,0.06618573672099662,0.06949502355704645,0.06637372448652676,0.2840306308330372,5.680612616660745,0.06900219255134002,0.5549870957547843,38.32483626673544,True,"[25.165658284936548, 64.14644523213042]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_5pct/result.json
5.0,full,0.06618573672099662,0.06949502355704645,0.06667240605105532,0.7353084730479518,14.706169460959035,0.06923211092821376,0.8732471810839454,19.370318986899875,True,"[21.67554865808905, 72.55820222382813]",/home/zanot/projects/tesseract2026/experiments/toy_example_percentage/outputs/pareto/risk_5pct/result.json
