d8_acquisition_mean_rmse,d8_alpha,d8_exact_action,d8_exact_heldout_mmd2,d8_feasibility_projection_active,d8_feasibility_projection_norm,d8_finite_action,d8_finite_heldout_mmd2,d8_finite_max_abs_lambda_coordinate,d8_finite_max_calibration_resid,d8_finite_max_clip_fraction,d8_finite_min_chi2_ess,d8_finite_min_ess,d8_finite_retry_case_count,d8_measurement_action_inflation,d8_measurement_delta_mmd2,d8_quadratic_moment_max_error,d8_quadratic_moment_rmse,full_acquisition_mean_rmse,full_alpha,full_exact_action,full_exact_heldout_mmd2,full_feasibility_projection_active,full_feasibility_projection_norm,full_finite_action,full_finite_heldout_mmd2,full_finite_max_abs_lambda_coordinate,full_finite_max_calibration_resid,full_finite_max_clip_fraction,full_finite_min_chi2_ess,full_finite_min_ess,full_finite_retry_case_count,full_measurement_action_inflation,full_measurement_delta_mmd2,full_quadratic_moment_max_error,full_quadratic_moment_rmse,paired_action_reduction_d8_vs_full,paired_finite_law_d8_minus_full,trial_1based
0.03159927553484332,0.7980094784553626,2505.1004164119922,0.06483460664412996,0.0,0.0,2910.520253639569,0.06504344602651772,26.76295665353913,2.8832079087408754e-10,0.02676295665353913,0.006428596838647674,0.7520992488991525,0,0.16183775890638818,0.00020883938238776267,0.012927911473486866,0.009686448504150433,0.029416954427462273,0.7980094784553626,583.1614977985041,0.08816447807272319,0.0,0.0,948.484218009351,0.09626656471649851,335.03356019662687,3.1063853635811245e-10,0.3350335601966269,0.0002064913712850507,0.4111099714116671,0,0.6264520576032171,0.00810208664377532,0.008330371300977486,0.0062416665733194725,-2.068601668194414,-0.03122311868998079,1
0.029214244583404974,1.0176496280054121,1258.0409915314908,0.06972300571454776,0.0,0.0,1041.7441494558313,0.0695838365184043,21.074254331148904,5.552748633238188e-10,0.021074254331148904,0.0032444470255483843,0.9423219382812478,0,-0.17193147403913123,-0.00013916919614345713,0.02729201522187144,0.020448987508839687,0.018946061892247627,1.0176496280054121,327.0485005308097,0.09376966386110759,0.0,0.0,733.1556718957645,0.10515294877593839,316.8086787867662,2.3660164120070653e-10,0.3168086787867662,0.0004845921171205313,0.5225545470993628,0,1.2417337817046414,0.011383284914830802,0.014494839987789951,0.010860495269773344,-0.42090444006541095,-0.03556911225753409,2
0.021661129653248123,0.922208723683836,1505.0108926145708,0.06624767573837828,0.0,0.0,1780.0677789431556,0.06697716183616698,24.410342510006885,5.169568145117957e-11,0.024410342510006885,0.0027002285422426816,0.8504068563781866,0,0.18276072796439635,0.0007294860977886952,0.010467578027587635,0.007843003526647237,0.019592793615110897,0.922208723683836,370.0812002659766,0.0884576926572645,1.0,0.0011195151374072166,2590.5506692784315,0.1021325703487797,4000.0,2.094553644724993e-05,1.0,0.0007351399459948102,0.517050633836033,1,5.999952084614426,0.013674877691515208,0.013939990490521704,0.010444765204365427,0.312861238325451,-0.03515540851261273,3
0.02372389450596673,0.7535633592010386,3126.2894344346914,0.06526962794395046,0.0,0.0,4446.471232517944,0.06664604698083512,28.08188386409335,3.9836091378237577e-10,0.02808188386409335,0.003152216530543504,0.650953202783788,0,0.42228393300442235,0.0013764190368846657,0.022008149988163663,0.016489965272392135,0.023380943986563468,0.7535633592010386,746.4732271625344,0.09090532231019562,0.0,0.0,1114.1067409130412,0.1022118718793425,345.4218987568759,8.25321109402703e-10,0.3454218987568759,0.0001258016019877687,0.337324612899261,0,0.4924939038308733,0.011306549569146881,0.009779570146955279,0.007327502432383886,-2.991063934209696,-0.035565824898507375,4
0.023396216061198384,0.9591224644358101,1374.8065014024446,0.06736123428897775,0.0,0.0,1686.9248979046477,0.06848459672153151,23.832721219278266,9.032534604152891e-10,0.023832721219278267,0.002133263301170224,0.862745178554894,0,0.22702714613569985,0.0011233624325537594,0.013442667817768818,0.010072138067636405,0.02091984749199953,0.9591224644358101,348.06405345493147,0.09012433904668106,0.0,0.0,633.8457617674056,0.09336109085418386,297.6179535858337,2.4331211473827677e-10,0.29761795358583365,0.0011422457626766107,0.5961894756052855,0,0.8210606797104321,0.003236751807502797,0.013941403287864949,0.010445823788334306,-1.6614122861701444,-0.024876494132652346,5
0.020455065959048863,0.7340584629238357,3444.7597391251725,0.06562733367298577,0.0,0.0,3912.711595722702,0.06625578278738245,27.69579007772128,3.7477574968434024e-10,0.027695790077721282,0.0038873625829552276,0.6824696957197054,0,0.13584455579952004,0.0006284491143966758,0.010912650319417967,0.008176481198072192,0.015770600940824605,0.7340584629238357,846.9480001349547,0.0927600536663715,0.0,0.0,1391.2341896596317,0.10393648082252355,348.63694665506466,7.269393755166284e-10,0.3486369466550647,0.00010963518957526844,0.3195066344260721,0,0.6426441640312619,0.011176427156152052,0.009380458861710211,0.007028461799299915,-1.812403278185648,-0.0376806980351411,6
0.02202571755540582,0.961205175127763,1368.8694807513834,0.06743295972109499,0.0,0.0,1228.2977511576596,0.06715628408216372,22.294652554850636,4.277880088626738e-10,0.022294652554850636,0.003011482191729871,0.9182195042895506,0,-0.10269184284579336,-0.000276675638931273,0.01095723572260866,0.008209887578645278,0.022164575501289564,0.961205175127763,347.16552035169406,0.09023444059907929,0.0,0.0,315.05127891189437,0.08554609904564907,219.32831426075336,6.363663025611962e-10,0.21932831426075336,0.008409873629938716,0.7007718017693463,0,-0.09250412139796182,-0.004688341553430217,0.007906274224658805,0.005923904875671323,-2.898723266256472,-0.01838981496348535,7
0.021871108240829162,0.898162513637232,1626.6872345124875,0.06568698456538012,0.0,0.0,2456.5859950317226,0.06780955838689601,25.887915790837237,5.054522498092825e-10,0.025887915790837237,0.0030004746938620762,0.7806979019044589,0,0.5101772134874796,0.0021225738215158857,0.023801008058611125,0.01783329342171789,0.018684810715364243,0.898162513637232,392.3745005062234,0.08769554315613959,0.0,0.0,990.198379081611,0.10764166946450975,340.25688220800606,9.955251086545772e-10,0.34025688220800604,0.0001605206825076613,0.3726870079083311,0,1.5236053255349238,0.019946126308370157,0.018358784594716033,0.013755618773449822,-1.4809028644443516,-0.03983211107761374,8
0.02333142286823752,0.9789746006540154,1325.14048714009,0.06808260324662194,0.0,0.0,1440.1769180136876,0.06841524586847043,23.039184657627203,5.508302155059864e-10,0.023039184657627203,0.002430530538161851,0.8926516611384535,0,0.08681074345699624,0.00033264262184849736,0.00689976292871583,0.005169759913861646,0.022606774350919567,0.9789746006540154,340.1276190339878,0.09123690453781816,0.0,0.0,513.9220892222731,0.09646595895198186,304.4148301108302,2.791931323657227e-10,0.3044148301108302,0.0008394378080799822,0.5705297604086087,0,0.5109684143907134,0.0052290544141637,0.007645258348049118,0.005728334524305753,-1.8023253878678989,-0.028050713083511425,9
0.022195927235957452,0.9376421802361274,1443.3537307980525,0.06667657472238725,0.0,0.0,1289.1824962127473,0.06642008239606922,22.40374902155279,5.075292926675442e-10,0.02240374902155279,0.002651072921243969,0.9118443039065905,0,-0.10681458834076774,-0.0002564923263180252,0.007204283400525709,0.0053979268135694826,0.022684703833080706,0.9376421802361274,359.34963686120625,0.08908620946756185,0.0,0.0,400.3843850964195,0.08745880074074625,275.30745096817105,7.904713930201558e-10,0.27530745096817105,0.002755715510726448,0.6452664922596544,0,0.11419170642173859,-0.0016274087268156046,0.007663719437187163,0.005742166772678663,-2.2198620730483527,-0.02103871834467702,10
