advection_term_power,calibration_residual,design,ess_fraction,full_poisson_action,grid_forcing_power,hidden_action,lambda_dot_norm,lambda_norm,particle_forcing_power,poisson_amplification,projected_cov_condition,projected_cov_min_eig,projected_law_mmd2,t,tangent_action,time_advection_cross,time_term_power
1.0032945028408997e-15,1.0352282947455863e-14,d8,1.000000002288984,10561.246955324252,1162.2860277762297,10516.487690022126,2700.9931610717467,1.0395633364909506e-07,1183.3502512799328,8.567657440270967,623.4831537705902,0.00013703423500550647,0.00011334674882379492,0.0,44.75926530212461,6.987330354708561e-07,1183.3502505811998
3.6517156866445353,2.19751202821368e-10,d8,1.1015891697062474,26.27091239621417,11.13742895297986,24.289162322883406,17.09300777359461,10.140326348905976,11.180837703808143,4.32037231694391,11.313027698588101,0.010160233751180248,0.005705208428224533,0.05,1.9817500733307687,4.052128814764529,3.4769932023990786
15.772983334521633,5.934724547268089e-12,d8,1.1481206006697509,146.19701109196188,6.394919317029631,145.616551906438,13.268466597902144,10.081734129573658,6.4522538071190985,36.29608405756901,5.596347218580609,0.01983510757446649,0.024229550240304598,0.1,0.5804591855239039,-13.288997391458452,3.968267864055914
25.528047088884446,1.1721280494300353e-11,d8,1.1791681292319107,360.9504571081612,7.110260580442301,360.7088755795364,22.088923420878203,9.177546293802546,7.22561664604393,70.39999896158147,4.009839965068519,0.027168004247017784,0.0321979672743382,0.15000000000000002,0.24158152862477927,-31.458457570654843,13.156027127814328
29.117457720009963,1.84325421386719e-10,d8,1.1908558301988574,560.3253186990287,8.145451805501871,560.0860194606016,25.37316606111487,7.995504054881673,8.294562786318792,86.01619749561632,3.329951347007291,0.031873845035510724,0.05962943543166266,0.2,0.23929923842707498,-41.04688488877285,20.223989955081684
27.99760036337281,2.5180445790815367e-10,d8,1.1771378384014017,204.15599227698033,9.263410054480973,203.79563297036114,26.671320568619578,6.706913049164708,9.396275428366188,25.214744697466344,3.040768686050456,0.03298680254567199,0.08279799304221526,0.25,0.36035930661921345,-43.02875134444262,24.427426409435995
23.471989893188464,1.3740414338743698e-10,d8,1.1372941076495853,148.23588669090773,10.587144130609385,147.72763817627322,26.789442745271597,5.389385579539708,10.741300199870135,14.766426717822572,2.9468301748787664,0.03170475648727253,0.08673573060338774,0.30000000000000004,0.5082485146345305,-38.68289598678909,25.952206293470763
17.051863404103198,4.030516075855845e-11,d8,1.078518563102858,136.91907141301695,12.307082153305817,136.27949423330386,25.921439095009017,4.115822377295633,12.463745567105011,11.554248535407494,2.9258422035559843,0.029740592979636358,0.10862053410605896,0.35000000000000003,0.6395771797131072,-29.772993781044907,25.18487594404672
10.654946178793976,7.2034173783695995e-12,d8,1.0110823021182418,55.69306900500676,14.184613674482254,54.956119868184416,24.468098373489553,3.0279009940022767,14.342526278427279,3.976311128064155,2.9293648648724897,0.027966102661260327,0.10421175971378438,0.4,0.7369491368223418,-19.465340460712127,23.15292056034543
6.204649359469853,9.225466205309697e-13,d8,0.9429742113930478,13.899793638858533,15.719807865824825,13.1010814042135,23.32475129223831,2.356390771395674,15.903294895323713,0.89268418182908,2.954108007787461,0.026678195766864907,0.11997752345550505,0.45,0.7987122346450302,-11.83080107759994,21.529446613453803
5.213923817413574,1.9380365291257244e-13,d8,0.8789734705643223,7.787434763673939,16.562401021153086,6.964512924720053,23.595747825304713,2.200998309101512,16.75564655882295,0.451472960571585,3.0110058844862326,0.025858390214581507,0.12619432700098662,0.5,0.8229218389538866,-10.534307190637875,22.07602993204725
8.820143795560886,7.439992699484538e-12,d8,0.82311482928179,95.89472141094883,16.618929404040127,95.0907354678298,25.98830901631274,2.6024365779266767,16.802677647125726,5.718265174178871,3.106742454299173,0.025296051065955207,0.11794377260256445,0.55,0.803985943119017,-18.277417350472316,26.259951202037158
18.032839312200952,2.864674099308388e-10,d8,0.7805366009578105,321.14852268516665,15.888740103369539,320.4075393134163,30.589174217860375,3.6230087351115787,16.20066651247425,20.60837760430625,3.2439809021630532,0.024691773287568563,0.11715031845162521,0.6000000000000001,0.7409833717503966,-37.01958853978147,35.187415740054774
33.671552163851416,2.0106243924200122e-10,d8,0.75620458214544,600.4406315035876,14.961701743336583,599.7928164423932,37.305017393658446,5.2030897469451105,15.132843803875643,43.138752398920104,3.4450533232687492,0.023748417317754594,0.10094163993552162,0.65,0.6478150611943456,-67.9975052385931,49.45879687861733
55.7734045879025,1.8542750166579655e-12,d8,0.7518324916602297,1004.0370185380799,13.4726210359727,1003.488880369069,46.23314007138738,7.246621806271552,13.64964611156164,86.40905294877638,3.783926984036502,0.022177370118275475,0.08856644754830856,0.7000000000000001,0.5481381690108356,-110.83688901749065,68.71313054114982
82.9306044658844,5.657849226972557e-11,d8,0.7647137095744897,1107.4140461865886,11.503697216736537,1106.9607540171753,57.70318795649136,9.809271384443338,11.681933711513816,120.51773620993696,4.409755210567573,0.019665162987125905,0.07756747939773832,0.75,0.45329216941324846,-162.3014417908224,91.05277103645183
111.51505477524985,7.35185602541337e-12,d8,0.7908795194668325,1243.9736021728233,9.027315059079072,1243.6140511014778,72.03922843322701,13.017040102263303,9.152692332469885,189.55009335114192,5.594128762411193,0.016062607299131657,0.05903289990772291,0.8,0.35955107134532677,-214.29227694281747,111.92991450003746
132.93543569177697,2.6666055370736393e-11,d8,0.8309681248642813,751.5445423972358,6.154597894162205,751.2576384875542,88.33029451268672,17.00126783438565,6.281154184191746,167.27932096547568,7.942692556470354,0.01169210530430945,0.04557313414982197,0.8500000000000001,0.2869039096815322,-247.52724495358092,120.87296344599567
127.00473318981214,1.0779045781966654e-10,d8,0.8940915503843786,440.3449487978873,4.851217491802887,440.00366332784876,98.49009344072512,21.716304871520574,4.903688049923942,141.38728590152226,13.367666726601673,0.007211581705042313,0.02660543236995609,0.9,0.34128547003853693,-217.87771464582838,95.77666950594018
67.68720607411996,1.1140720934451663e-11,d8,0.988937529649811,106.14187082214471,17.589178275826754,105.06446294708414,55.76864706707666,26.019468307128356,17.650504722777566,11.436386825360472,32.07411716919629,0.003178813670272016,0.013431676750246428,0.9500000000000001,1.0774078750605691,-72.78893942918471,22.75223807784231
0.09384544150214963,1.6913444691631427e-10,d8,1.00743057913745,110814.63896608565,1877.1943764352998,110759.7121385261,4707.831926777439,8.704007659622086,1903.634566457921,54.938393049729804,1097.7705951217167,6.943908526105649e-05,0.0009273663078779462,1.0,54.92682755955182,20.25737064544326,1883.2833503709758
2.2891905749206e-14,2.16653558947472e-14,full,1.0000000230388095,1382.288929292429,28.079118424888094,1380.5658436578651,29.336852695942103,2.1593622069075713e-07,28.402562924723686,48.59509006145417,6.034904435960641,0.03236851711943747,0.00011334680045449465,0.0,1.723085634564024,-1.7236026766417148e-07,28.40256309708393
0.7528239416795817,1.0593168624294889e-10,full,1.109978943569677,273.50421842021524,14.864117502928613,272.67365041054353,20.959047729140266,1.283614743426355,15.009252949722114,17.751880869478008,5.545512161350347,0.031067369216138986,0.0068673101651898095,0.05,0.8305680096716747,0.3082585205316154,13.948170487510922
