theta1_deg,theta2_deg,population_law,finite_risk,finite_risk_se,pre_action,refined_action,is_law_best,is_full_best
14.999999999999998,62.0,0.07088243909421663,0.0696562903965566,0.0005209663072786909,nan,nan,0,0
14.999999999999998,63.0,0.07086185068732312,0.06964226012643429,0.0005149427955260144,nan,nan,0,0
14.999999999999998,64.0,0.07087333087376671,0.06966671027473711,0.0005128396220022644,nan,nan,0,0
14.999999999999998,65.0,0.0709201434913188,0.06973307430352511,0.0005149394448987716,nan,nan,0,0
14.999999999999998,66.0,0.07100567292427283,0.06984482400591624,0.0005216151686115937,nan,nan,0,0
14.999999999999998,67.0,0.0711332988171386,0.07000535049861265,0.0005333831849892097,nan,nan,0,0
14.999999999999998,68.0,0.07130623698914473,0.07021781368642444,0.0005509247297766565,nan,nan,0,0
14.999999999999998,69.0,0.07152734689382496,0.07048495808766933,0.0005750559330817018,nan,nan,0,0
14.999999999999998,70.0,0.07179890754744374,0.07080889426581735,0.0006066398781401638,nan,nan,0,0
14.999999999999998,71.0,0.07212236650991363,0.07119084764051804,0.0006464532502763511,nan,nan,0,0
14.999999999999998,72.0,0.07249807084693494,0.0716308811258613,0.0006950377567269423,nan,nan,0,0
14.999999999999998,73.0,0.07292499434025052,0.07212760380473533,0.0007525720641345953,nan,nan,0,0
14.999999999999998,74.0,0.0734004803682483,nan,nan,nan,nan,0,0
16.0,62.0,0.07058260453157726,0.06930233846313393,0.0005001802691083724,nan,nan,0,0
16.0,63.0,0.07054142224070534,0.06926808182092861,0.0004930365569097164,nan,nan,0,0
16.0,64.0,0.0705306235263074,0.06927004708619539,0.0004895178270389822,nan,nan,0,0
16.0,65.0,0.07055355020677499,0.0693117668248216,0.0004899645703448547,nan,nan,0,0
16.0,66.0,0.07061369202266332,0.06939684713787574,0.000494792569767989,nan,nan,0,0
16.0,67.0,0.07071457355440011,0.06952885933016267,0.0005045355508403244,nan,nan,0,0
16.0,68.0,0.07085960896257355,0.06971120190268341,0.0005198633977352649,nan,nan,0,0
16.0,69.0,0.07105192368879883,0.06994693015853151,0.0005415581065729638,nan,nan,0,0
16.0,70.0,0.07129414389143424,0.0702385515164286,0.0005704397151822695,nan,nan,0,0
16.0,71.0,0.0715881566337631,0.0705877869138902,0.0006072511572602291,nan,nan,0,0
16.0,72.0,0.07193484804266054,0.07099530266668344,0.0006525269498383951,nan,nan,0,0
16.0,73.0,0.0723338319458357,0.07146042286906164,0.0007064766996879613,nan,nan,0,0
