abs_external_sensor_corr,alpha_sensitivity_det,alpha_sensitivity_min_eig,alpha_sensitivity_trace,design,external_sensor_cov_det_mean,external_sensor_cov_min_eig_mean,external_sensor_cov_trace,raw_moment_gap_rms,raw_moment_gap_sq,raw_moment_mahal,ref_sensor_corr,ref_sensor_cov_det,ref_sensor_cov_min_eig,ref_sensor_cov_trace,t,target_speed_sq,zero_tilt_dynamic_mismatch_rms,zero_tilt_dynamic_mismatch_sq,zero_tilt_tangent_proxy
0.36108865267466134,0.0,0.0,0.0,d8,1.1708004426083266e-05,0.00013703423245338972,0.08557557186257132,4.164862579146053e-09,1.7346080303171108e-17,2.041792002129436e-16,0.36108865163749926,1.1708004735481064e-05,0.00013703423500451773,0.08557557253235111,0.0,0.19894555494847405,0.5139610695019388,0.2641559809635767,44.7605133632498
0.06365552733006041,2.7127734853083956e-11,2.5392379474315784e-07,0.00010708808197406388,d8,0.0008757666458364076,0.010626107543328506,0.09446537383611252,0.023809866718507405,0.0005669097531530865,2.1645744682990453,0.362803716688648,1.5339133828430857e-05,0.0001740840163819369,0.08828747976190005,0.05,0.17948402550562384,0.4369714190299907,0.19094402104908373,30.222863316519216
0.06383885967430479,3.496303544098664e-10,9.115934561954595e-07,0.00038444918034174423,d8,0.001572552629891092,0.019774129431227253,0.10191760638711467,0.0434531833497777,0.0018881791432293978,4.90668683112173,0.36064189990105866,2.5449979510312117e-05,0.00028169193106162156,0.09062854501413695,0.1,0.1618652797672889,0.36140410734971196,0.1306129288092421,16.099319035957453
0.06171334126912763,1.4082502306150904e-09,1.8295174210272605e-06,0.0007715681459957662,d8,0.002126062980364778,0.02763843107716466,0.10806441011067291,0.05914199538543518,0.0034977756181708364,5.355770362433746,0.36168883059850165,4.806728223110697e-05,0.0005245838229155209,0.09215394815207008,0.15000000000000002,0.14608931771024264,0.3103700098897372,0.09632954303895555,7.23938724463302
0.0574222942503416,3.492360133416593e-09,2.8810854868429616e-06,0.0012150492593800345,d8,0.002556773655064381,0.034021992503118874,0.11302410472390206,0.0715517461758842,0.005119652380818158,4.369639690425361,0.36725891361588586,9.183779688996739e-05,0.0010110434734591693,0.09184571013299941,0.2,0.13215613931379291,0.28887993102143267,0.0834516145469477,2.9804923045298186
0.052991897613400125,6.586340499590863e-09,3.956568811979127e-06,0.001668616230397971,d8,0.0028820114535034187,0.03853578586548836,0.11690118906613409,0.08134460344180369,0.006616944509104302,3.0685379596534648,0.37461559550403734,0.00016773896086872065,0.001927761771345556,0.08894004895434156,0.25,0.12006574455978215,0.2902428699812177,0.08424092357493404,1.2020540414775451
0.04637712079023306,1.0363734277267132e-08,4.963119915327098e-06,0.0020931121983330733,d8,0.0031162854746543556,0.041013280851012475,0.11978634109908706,0.08905299134404124,0.007930435267321885,1.9591563023654894,0.38116958635597836,0.00028405254053822906,0.003562660066652226,0.0832931241648307,0.30000000000000004,0.1098181334325869,0.30223745711756234,0.09134748048489033,0.5506278280233246
0.0380952850276088,1.4274624540010921e-08,5.824772676185923e-06,0.002456499731781697,d8,0.0032715781247808044,0.042383042375910646,0.12175641790701479,0.09502447029990188,0.009029649955776934,1.170224090067388,0.3867062121284644,0.00043348543188534617,0.006280529210245213,0.07530105556624339,0.35000000000000003,0.10141330591911815,0.3172481004159533,0.10064635721753079,0.35644085003319514
0.028530942558426607,1.7680073112328825e-08,6.482442334137563e-06,0.002733860828598054,d8,0.003357595675350605,0.04337385649627425,0.12287445569682934,0.09941195886562972,0.009882737565501655,0.6766739211702422,0.3920203853539467,0.0005836248026833325,0.010350955761104275,0.06673461888875629,0.4,0.0948512620088213,0.3253439355139687,0.10584867637571742,0.3102676168713731
0.022483986514907392,1.9995851496048323e-08,6.893925488954573e-06,0.0029073969158514385,d8,0.0033819783710310547,0.044138882200690746,0.12318966979820067,0.10209386436321505,0.010423157140614552,0.4203008940401857,0.3977986006053546,0.0006852354266022126,0.015230154787510233,0.060222174643024276,0.45,0.09013200169367616,0.3262304482649904,0.10642630537517658,0.30040211390949323
