design,eta,centers,population_loss_selection,finite_risk_selection,tangent_action_selection,full_action_selection,validation_law_mean,validation_full_action_mean,validation_valid_fraction
population,"[1.067773587629548, 0.3888497650780996, 0.4466396850259601, 0.76, 1.76, 0.24, 0.2544163592282808, 0.5769221025462452]","[[1.067773587629548, 0.3888497650780996], [0.4466396850259601, 0.76], [1.76, 0.24], [0.2544163592282808, 0.5769221025462452]]",0.03773928370170818,0.038402391624562604,0.4551760458616818,3.960007345894374,0.03842558332601437,3.8171099836093805,1.0
law,"[1.0774891212832711, 0.3889629313939575, 0.4797984550873975, 0.76, 1.76, 0.24, 0.25733609301333177, 0.6029558273745433]","[[1.0774891212832711, 0.3889629313939575], [0.4797984550873975, 0.76], [1.76, 0.24], [0.25733609301333177, 0.6029558273745433]]",0.03795784907614665,0.03838744201119589,0.44776052467258703,3.4586342593452666,0.038378376916791544,3.3629175360008876,1.0
tangent,"[1.0639963636720802, 0.4544463454793415, 0.49940028902602923, 0.7422976031494436, 1.76, 0.24, 0.25007503795034325, 0.647094284650219]","[[1.0639963636720802, 0.4544463454793415], [0.49940028902602923, 0.7422976031494436], [1.76, 0.24], [0.25007503795034325, 0.647094284650219]]",0.0394984921538656,0.039746023169000076,0.41996441091881537,2.6847323978542867,0.03968039256106889,2.599489942703255,1.0
full,"[1.0703925060089838, 0.4266160461667172, 0.4901763127553475, 0.7000516441555005, 1.76, 0.24, 0.26351027100214314, 0.6292980166002612]","[[1.0703925060089838, 0.4266160461667172], [0.4901763127553475, 0.7000516441555005], [1.76, 0.24], [0.26351027100214314, 0.6292980166002612]]",0.03949670223817997,0.03978916800601714,0.38837885411031864,2.471982635242052,0.03975118425525224,2.465025717098007,1.0
