risk_allowance_percent,method,design_index,design_id,R_star,R_max,selection_R,selection_R_increase_percent,selection_budget_used_percent,selection_tangent_action,selection_full_action,full_action_reduction_vs_law_percent,certified,development_bootstrap_R_mean,development_bootstrap_R_se,repeated_cv_R_values,repeated_cv_R_mean,sensor_centers_km,independent_action_validation_available,final_test_accessed
5.0,law,216,design_000216,0.006490757661634413,0.006815295544716134,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
5.0,tangent,216,design_000216,0.006490757661634413,0.006815295544716134,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
5.0,full,216,design_000216,0.006490757661634413,0.006815295544716134,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
10.0,law,216,design_000216,0.006490757661634413,0.007139833427797854,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
10.0,tangent,216,design_000216,0.006490757661634413,0.007139833427797854,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
10.0,full,216,design_000216,0.006490757661634413,0.007139833427797854,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
15.0,law,216,design_000216,0.006490757661634413,0.007464371310879574,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
15.0,tangent,240,design_000240,0.006490757661634413,0.007464371310879574,0.007386796377257886,13.80484008700218,92.0322672466813,137366.1968153244,439416.2552151201,8.684912779221454,True,0.013923478258289605,0.006826120219396818,"[0.04212015122175217, 0.0339011549949646]",0.03801065310835838,"[[-19.32096848585911, -325.17864662931544], [180.74865552459462, 3.163708789660994], [550.2046604349783, 100.1543748390802], [1176.6283291398372, 164.720998575862]]",False,False
15.0,full,240,design_000240,0.006490757661634413,0.007464371310879574,0.007386796377257886,13.80484008700218,92.0322672466813,137366.1968153244,439416.2552151201,8.684912779221454,True,0.013923478258289605,0.006826120219396818,"[0.04212015122175217, 0.0339011549949646]",0.03801065310835838,"[[-19.32096848585911, -325.17864662931544], [180.74865552459462, 3.163708789660994], [550.2046604349783, 100.1543748390802], [1176.6283291398372, 164.720998575862]]",False,False
20.0,law,216,design_000216,0.006490757661634413,0.007788909193961295,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
20.0,tangent,235,design_000235,0.006490757661634413,0.007788909193961295,0.007617707327653049,17.36237469902495,86.81187349512476,123125.1179464915,430647.80650025955,10.507084011363123,True,0.014163873101701516,0.006532889892523917,"[0.06489300727844238, 0.02902376651763916]",0.04695838689804077,"[[-59.80704604716964, -274.7122330221834], [265.20704658176015, -12.045450523247567], [568.9753780539237, 127.73240211955158], [1133.7678351962504, 92.43659885522315]]",False,False
20.0,full,235,design_000235,0.006490757661634413,0.007788909193961295,0.007617707327653049,17.36237469902495,86.81187349512476,123125.1179464915,430647.80650025955,10.507084011363123,True,0.014163873101701516,0.006532889892523917,"[0.06489300727844238, 0.02902376651763916]",0.04695838689804077,"[[-59.80704604716964, -274.7122330221834], [265.20704658176015, -12.045450523247567], [568.9753780539237, 127.73240211955158], [1133.7678351962504, 92.43659885522315]]",False,False
25.0,law,216,design_000216,0.006490757661634413,0.008113447077043015,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
25.0,tangent,235,design_000235,0.006490757661634413,0.008113447077043015,0.007617707327653049,17.36237469902495,69.44949879609982,123125.1179464915,430647.80650025955,10.507084011363123,True,0.014163873101701516,0.006532889892523917,"[0.06489300727844238, 0.02902376651763916]",0.04695838689804077,"[[-59.80704604716964, -274.7122330221834], [265.20704658176015, -12.045450523247567], [568.9753780539237, 127.73240211955158], [1133.7678351962504, 92.43659885522315]]",False,False
25.0,full,138,design_000138,0.006490757661634413,0.008113447077043015,0.007948301564554556,22.455682046726167,89.82272818690474,126399.9529392414,394831.68473287014,17.950031886602883,True,0.014575440031101682,0.007174127681533945,"[0.043088145554065704, 0.030345972627401352]",0.03671705909073353,"[[297.48528639667154, 10.12260677979178], [-51.18487653817453, -209.12153076670103], [503.9014956011337, -384.90398931163287], [773.8076548372371, 184.13757568537602]]",False,False
35.0,law,216,design_000216,0.006490757661634413,0.008762522843206458,0.006490757661634413,0.0,0.0,153061.76319751356,481208.82166242064,0.0,True,0.013035778754018928,0.005314586774119621,"[0.05225337669253349, 0.06363993883132935]",0.05794665776193142,"[[520.0520758159645, 179.78145994183757], [1276.6655593952084, 193.87601217529402], [135.26474410132448, 91.66361422942292], [26.937949164558333, -171.6351398605406]]",False,False
35.0,tangent,193,design_000193,0.006490757661634413,0.008762522843206458,0.008365562228852541,28.884217605284014,82.52633601509717,85863.61796367915,410073.33186194557,14.782665362352459,True,0.014986199467919493,0.008946009555659499,"[0.03587478771805763, 0.03067760355770588]",0.033276195637881756,"[[1250.1368287167886, 36.985389723567536], [484.37031341792175, 378.7258957544207], [782.9244851659654, 36.700155384406386], [595.9700176411934, -240.0458557400935]]",False,False
35.0,full,138,design_000138,0.006490757661634413,0.008762522843206458,0.007948301564554556,22.455682046726167,64.15909156207478,126399.9529392414,394831.68473287014,17.950031886602883,True,0.014575440031101682,0.007174127681533945,"[0.043088145554065704, 0.030345972627401352]",0.03671705909073353,"[[297.48528639667154, 10.12260677979178], [-51.18487653817453, -209.12153076670103], [503.9014956011337, -384.90398931163287], [773.8076548372371, 184.13757568537602]]",False,False
