risk_allowance_percent,risk_allowance_fraction,R_star,R_max,eligible_layout_count,certified_eligible_layout_count,law_design_id,tangent_design_id,full_design_id,full_R_selection,full_R_excess_selection,full_A_selection,law_A_selection,tangent_A_selection,selection_action_reduction,full_certified,final_test_accessed
5.0,0.05,0.006490757661634413,0.006815295544716134,1,1,design_000216,design_000216,design_000216,0.006490757661634413,0.0,481208.82166242064,481208.82166242064,481208.82166242064,0.0,True,False
10.0,0.1,0.006490757661634413,0.007139833427797854,2,1,design_000216,design_000216,design_000216,0.006490757661634413,0.0,481208.82166242064,481208.82166242064,481208.82166242064,0.0,True,False
15.0,0.15,0.006490757661634413,0.007464371310879574,4,2,design_000216,design_000240,design_000240,0.007386796377257886,0.0008960387156234728,439416.2552151201,481208.82166242064,439416.2552151201,0.08684912779221454,True,False
20.0,0.2,0.006490757661634413,0.007788909193961295,8,6,design_000216,design_000235,design_000235,0.007617707327653049,0.0011269496660186364,430647.80650025955,481208.82166242064,430647.80650025955,0.10507084011363123,True,False
25.0,0.25,0.006490757661634413,0.008113447077043015,12,7,design_000216,design_000235,design_000138,0.007948301564554556,0.0014575439029201427,394831.68473287014,481208.82166242064,430647.80650025955,0.17950031886602882,True,False
35.0,0.35,0.006490757661634413,0.008762522843206458,18,9,design_000216,design_000193,design_000138,0.007948301564554556,0.0014575439029201427,394831.68473287014,481208.82166242064,410073.33186194557,0.17950031886602882,True,False
