candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,proxy_A_full_h,proxy_passes,proxy_source,validation_A_full_h,validation_passes,validation_source
"[0.40294027427553375,1.2053392262704312]","[0.40294027427553375,1.2053392262704312]","[23.0867771118319,69.06085054685987]","[""mandatory_previous_corrected_incumbent"",""carried_previous_exact_finalist""]",True,True,0.0687593710939516,0.06621188562919098,45.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,True,False,False,False,True,25.14441105268914,True,new_corrected_nested_sweep_evaluation,True,27.573950551159513,True,accepted_isolated_corrected_0p5_rerun,False,,,,,,
"[0.3690536851387292,1.2324408390227404]","[0.3690536851387292,1.2324408390227404]","[21.145218572199134,70.61365857556511]","[""carried_previous_exact_finalist"",""full_search_audit_0+saved_final_full"",""mandatory_historical_full""]",True,True,0.06898644182783659,0.0665210537883375,49.46844000336598,1.0,0.0692360118546043,0.06684759408820659,True,False,True,False,True,False,,,,False,,,,False,17.248402543036633,True,new_corrected_nested_sweep_evaluation,,,
"[0.4392235955039321,1.1195666727508942]","[0.4392235955039321,1.1195666727508942]","[25.165658284936548,64.14644523213042]","[""full_search_audit_10+saved_final_tangent+tangent_search_audit_0"",""mandatory_saved_tangent_seed""]",True,True,0.06900219255134,0.06637372448652676,38.98078694719387,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,21.841391921227174,True,new_corrected_nested_sweep_evaluation,,,
"[0.39026746451612937,1.151562647044907]","[0.39026746451612937,1.151562647044907]","[22.360678598045826,65.97967952058643]","[""tangent_search_audit_1""]",True,True,0.06878452987871773,0.06630482942138824,43.61900092254061,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,17.91726820094749,True,new_corrected_nested_sweep_evaluation,,,
"[0.4175505986623536,1.1681318208528602]","[0.4175505986623536,1.1681318208528602]","[23.92388703651374,66.92902324980085]","[""tangent_search_audit_2""]",True,True,0.06875924401480306,0.06618741363135917,43.00513621328711,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,21.50572243209567,True,new_corrected_nested_sweep_evaluation,,,
"[0.37852572125118655,1.1631381036689263]","[0.37852572125118655,1.1631381036689263]","[21.687926264838445,66.64290433107949]","[""tangent_search_audit_3""]",True,True,0.06877593245943713,0.06633387595178702,44.95497806624105,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,17.00483665095694,True,new_corrected_nested_sweep_evaluation,,,
"[0.4238801041896342,1.1735112478825183]","[0.4238801041896342,1.1735112478825183]","[24.286540989631643,67.23724171479886]","[""tangent_search_audit_4""]",True,True,0.06875830168080838,0.06616462645590435,42.95070072516721,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,22.478035192623633,True,new_corrected_nested_sweep_evaluation,,,
"[0.42655167198968663,1.174272828594405]","[0.42655167198968663,1.174272828594405]","[24.439610549257697,67.28087707534854]","[""tangent_search_audit_5""]",True,True,0.06876124417721063,0.06615899327394038,42.84126652609085,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,22.838648123031504,True,new_corrected_nested_sweep_evaluation,,,
"[0.3886554016497776,1.1701714802834318]","[0.3886554016497776,1.1701714802834318]","[22.268314199494107,67.04588712681667]","[""tangent_search_audit_6""]",True,True,0.06875375526782969,0.06627503822268914,44.77757292732256,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.264393192267924,True,new_corrected_nested_sweep_evaluation,,,
"[0.3964082063076943,1.176848466552438]","[0.3964082063076943,1.176848466552438]","[22.7125171857821,67.42845025989752]","[""tangent_search_audit_7""]",True,True,0.06874220002032852,0.06623491800523576,44.71593307411541,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,19.32031088575032,True,new_corrected_nested_sweep_evaluation,,,
"[0.40814378702017196,1.1859824182270888]","[0.40814378702017196,1.1859824182270888]","[23.3849164307422,67.95178714113146]","[""full_search_audit_11+saved_final_law+tangent_search_audit_8"",""mandatory_law_seed""]",True,True,0.0687360118546043,0.06618573672099662,44.56687071038926,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,20.990203480733527,True,new_corrected_nested_sweep_evaluation,,,
"[0.3483305240668433,1.151319409744337]","[0.3483305240668433,1.151319409744337]","[19.95786890461027,65.96574304984362]","[""full_search_audit_1""]",True,True,0.06888600050680758,0.06655389113037918,46.00787414523336,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,True,31.833708006316545,True,new_corrected_nested_sweep_evaluation,False,,,,False,13.86405284416457,True,new_corrected_nested_sweep_evaluation,,,
"[0.37033236503396244,1.2015904235629604]","[0.37033236503396244,1.2015904235629604]","[21.218481533544228,68.84605997349458]","[""full_search_audit_2""]",True,True,0.06883140339741334,0.0663976417590803,47.62757843995035,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,16.922060029041873,True,new_corrected_nested_sweep_evaluation,,,
"[0.36121629815152395,1.1519101882630933]","[0.36121629815152395,1.1519101882630933]","[20.696169375421523,65.99959216559535]","[""full_search_audit_3""]",True,True,0.06883476939248602,0.06645543833535188,45.303422790173826,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,True,31.42891157128784,True,new_corrected_nested_sweep_evaluation,False,,,,False,15.049977247664923,True,new_corrected_nested_sweep_evaluation,,,
"[0.37509850066868566,1.182450360225755]","[0.37509850066868566,1.182450360225755]","[21.491560990000774,67.74941512465962]","[""full_search_audit_4""]",True,True,0.06877946450985908,0.06634202958247715,46.25785413465884,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,17.078357237950456,True,new_corrected_nested_sweep_evaluation,,,
"[0.3862893458130523,1.1948601958258025]","[0.3862893458130523,1.1948601958258025]","[22.132749185957454,68.46044632899354]","[""full_search_audit_5""]",True,True,0.06876626426728603,0.06628246452912356,46.32769714303609,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.614705993466245,True,new_corrected_nested_sweep_evaluation,,,
"[0.3871822613617416,1.1942925419327661]","[0.3871822613617416,1.1942925419327661]","[22.18390947835896,68.42792215669839]","[""full_search_audit_6""]",True,True,0.06876345204839422,0.06627702943095934,46.24401267833943,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.70599678411987,True,new_corrected_nested_sweep_evaluation,,,
"[0.3885932354041058,1.1925393744281718]","[0.3885932354041058,1.1925393744281718]","[22.26475233598894,68.32747305790565]","[""full_search_audit_7""]",True,True,0.06875814459569496,0.06626816878675007,46.062720721916705,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.829402572308418,True,new_corrected_nested_sweep_evaluation,,,
"[0.3895449437407471,1.1825122675893849]","[0.3895449437407471,1.1825122675893849]","[22.319281207005904,67.7529621553164]","[""full_search_audit_8""]",True,True,0.06874870444199066,0.06626158114649136,45.433680948310496,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,18.688396002412674,True,new_corrected_nested_sweep_evaluation,,,
"[0.3980735765665334,1.1842011397905663]","[0.3980735765665334,1.1842011397905663]","[22.80793587294019,67.84972740458106]","[""full_search_audit_9""]",True,True,0.06873965620509603,0.06622318509670452,45.04179153164087,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,19.725010286056953,True,new_corrected_nested_sweep_evaluation,,,
"[0.450933059236574,1.2614094134417415]","[0.450933059236574,1.2614094134417415]","[25.836561137178435,72.27343562828452]","[""normal_multistart_0""]",True,True,0.0690060063602412,0.06624078061907006,46.43687449110608,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,29.847973887989056,True,new_corrected_nested_sweep_evaluation,,,
"[4.527702373733796,5.7383029891863755]","[4.527702373733796,5.7383029891863755]","[259.418236906311,328.78054284768376]","[""normal_multistart_1""]",True,True,0.07755994413513186,0.0738370144919074,69.36230594137277,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.5010483280976686,2.3650031965318026]","[0.5010483280976686,2.3650031965318026]","[28.707954532082553,135.50470169622105]","[""normal_multistart_2""]",True,True,0.08304875610717563,0.07966587480675967,73.2032528358615,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[3.061144726328508,5.134986566939288]","[3.061144726328508,5.134986566939288]","[175.39067329735292,294.213058141993]","[""normal_multistart_3""]",True,True,0.10274341628537297,0.10055440023384597,61.177615155359945,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[1.273437191318765,2.444662196079211]","[1.273437191318765,2.444662196079211]","[72.96257653755879,140.0688261705221]","[""normal_multistart_4""]",True,True,0.08219763091637369,0.07760630834612284,67.10624963296331,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
