rank_among_eligible,design_index,design_id,style,sigma_km,fully_grid_usable,validation_mmd_risk,bootstrap_risk_se,minimum_log10_intrinsic_ess,median_log10_intrinsic_ess,worst_covariance_condition_regularized,mean_projection_kl,maximum_projection_kl,maximum_moment_residual,maximum_native_iterations,projection_failure_count,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
11,138,design_000138,support_random,200.0,True,0.007147550567071803,0.009962687890921815,-541.8670774951445,-0.13913802500953937,1179575709.0797012,2.146798918420945,19.90507343415604,7.250783144370039e-09,21,0,297.48528639667154,10.12260677979178,-51.18487653817453,-209.12153076670103,503.9014956011337,-384.90398931163287,773.8076548372371,184.13757568537602
12,14,design_000014,support_random,200.0,True,0.007230267598814878,0.007191855095478463,-1950.8985761088963,-0.12243820175849807,8617239062113.737,1.7572034993524597,14.330659568595033,8.939526309199481e-09,27,0,644.263836956921,361.3499911641745,1161.7222778423975,49.865369125579974,293.99691684209057,-64.20897225389822,-241.10481350036173,-109.67460254291822
13,325,design_000325,longitudinal_stratified,200.0,True,0.0074504406041884415,0.007906617253045829,-336.51863312195354,-0.1520460259774617,15093203050022.955,2.7466331419301575,31.382990315746024,9.906245699009392e-09,41,0,-162.7857492779902,8.381547174060387,284.10378939805236,499.0160048840279,714.3443889520439,48.37272753877144,1245.0691457864314,94.21329021213951
14,347,design_000347,longitudinal_stratified,200.0,True,0.007467322813028859,0.007929728825011457,-9868.615657211021,-0.17934191571126756,636096.2563960955,2.0534785608094355,20.287462574305053,5.202098795578212e-09,42,0,-253.68689882435967,44.69806312137647,13.525896404408101,-114.03940407610824,451.3293733260867,-76.00742358389351,867.0774886716968,284.24790868508893
15,281,design_000281,longitudinal_stratified,200.0,True,0.0074817893949998245,0.008194511619242187,-13093.447725247435,-0.13362388299008077,17859424.35267343,1.8516773944209757,16.244384899386358,7.990686556458633e-09,31,0,9.23049461034558,-73.3225522013582,2.4972664558728894,297.01182716105143,302.2075555523039,217.31819212280445,985.0899764138734,219.91236659876466
16,85,design_000085,support_random,200.0,True,0.007605775340425403,0.006777862247422746,-11104.202826032772,-0.21750199457841915,50218891.67310391,2.7726485872953637,30.871159716723067,5.37608215374696e-09,50,0,-48.36440288715949,-277.79723896361054,683.1910012144103,49.01158934022838,-20.220236375194474,59.17332527622784,912.809949124718,323.7337951836353
17,193,design_000193,support_random,200.0,True,0.007653070065082951,0.012087684314136364,-341.68097489509233,-0.18861091338870606,15795730787.904694,2.8669502909625675,32.44657030668913,8.726987184712902e-09,37,0,1250.1368287167886,36.985389723567536,484.37031341792175,378.7258957544207,782.9244851659654,36.700155384406386,595.9700176411934,-240.0458557400935
18,121,design_000121,support_random,200.0,True,0.007685919892165632,0.01052776827977525,-6369.103320989125,-0.30116340702687944,60233518265118.62,2.351533915818584,22.940914485062954,8.487474894009198e-09,111,0,487.90466760400136,278.23583284255886,1362.8812712641147,45.04178222155025,209.2638023760258,266.63882640929455,845.5434761464949,144.03899281008339
19,241,design_000241,longitudinal_stratified,200.0,True,0.007746373634261653,0.009950560389789847,-18136.56620104602,-0.16925476585508087,4929756.086417902,1.8982189450992848,18.917097852711933,3.1997264043905644e-09,47,0,-135.47353120696079,-583.5819018868308,114.50726643447253,-22.465061161415207,550.7435029118179,282.6962815075983,1146.5461928244474,27.03838938612812
20,307,design_000307,longitudinal_stratified,200.0,True,0.007903987377701548,0.008393953429543678,-11042.135877981766,-0.18089864924670906,1702559.6089980786,1.8530828719263106,16.05998697493174,5.328201503267196e-09,44,0,-46.24243368926736,-130.8326774811826,283.2981775528517,63.50269524555869,594.0034486609981,-393.0104768947821,912.056511337735,-9.012582934143538
21,312,design_000312,longitudinal_stratified,200.0,True,0.007914964737447551,0.008728424907503711,-9022.875563646534,-0.20015379204652964,4841455.905969518,1.911092323829474,24.249999342688188,7.018279390117158e-09,48,0,-23.00300848279163,-317.520858325033,37.429636975991826,180.78666021490736,519.5175141034599,49.211105650136,831.6038074184944,550.0440691636926
22,182,design_000182,support_random,200.0,True,0.007954206538929684,0.00746297348553993,-416.4544139193979,-0.19909200657639806,27081457992644.184,2.756817142425672,31.156409108077888,7.503702331922366e-09,51,0,1325.7260636824508,88.44443653639964,750.7603741753419,28.930197576159372,340.27419049782225,222.30820547749266,-166.23851650547948,-184.48218420037546
23,205,design_000205,support_random,200.0,True,0.007978301174989396,0.011043995452511375,-347.3125769993675,-0.11855083282541812,8863958183546.799,2.6707134338555885,29.083539849702046,8.559446434565374e-09,68,0,1297.963156542859,262.13397847378343,798.02972259143,49.53805907021436,641.1548135214219,-337.1274959934513,135.7734909125428,-167.4696576930724
24,218,design_000218,support_random,200.0,True,0.008002682211599145,0.009258745716012854,-439.87499488067147,-0.12241768589360509,21284217633.802887,2.555746364650035,26.5709241773359,1.996419465516265e-09,28,0,517.5133668729543,190.0646657115374,-68.93096273541235,-102.24729048609731,802.1730976831662,165.79917543029092,346.0203456183288,-337.6529796634454
25,202,design_000202,support_random,200.0,True,0.008104140376734167,0.009127729329052257,-2348.455248062337,-0.1284556138529478,43001758743939.26,2.7441119791198276,30.64078131042826,5.038125037690795e-09,42,0,1247.7277553792178,367.4996353370821,1113.5954446087608,-62.25839160818901,740.7128798364506,-4.896923072602348,-35.600961015422556,-258.40766338606807
26,245,design_000245,longitudinal_stratified,200.0,True,0.008162485517517467,0.008952369698334796,-344.8049074302631,-0.14083198082150652,157554214.9118268,2.3795070887608563,25.271848118017783,7.312454853732623e-09,24,0,-129.62839698127434,-180.73211045656342,169.82666246184382,-332.3880223294057,418.0014908344374,25.074689057087646,704.9489925867658,186.0584316963719
27,340,design_000340,longitudinal_stratified,200.0,True,0.008277929649759725,0.006934756648684528,-216.3909600967731,-0.14849020071986652,24126989495208.79,2.453968344679884,26.615031742705987,6.243866722895832e-09,35,0,-96.61883681939986,-156.32881124399924,198.61521761865035,-93.91376187614073,643.6560948881964,-102.73443555313474,1092.8308601936883,94.80052081310293
28,55,design_000055,support_random,200.0,True,0.008308441353790956,0.007685169664175615,-2018.4439485916323,-0.11811446020253585,17201376941457.504,2.2796766055150877,25.126204928564334,7.3689688568282805e-09,31,0,566.0820302476546,192.3883438337708,1192.9554468823665,199.60160507835394,76.82599870445888,58.3798959092582,-255.78884745201486,-109.0576350295324
29,224,design_000224,longitudinal_stratified,200.0,True,0.008329221635216906,0.010099552109818635,-10921.939936016466,-0.09701904152989803,3584008.3928220263,1.7081092885438882,15.051772290447316,4.508194508988605e-09,28,0,-335.24633210828813,212.04638806366634,91.98709985213287,-184.59232488875682,364.84923155971535,-96.29041254015158,907.387441573033,246.06727851970925
30,56,design_000056,support_random,200.0,True,0.008414215765184228,0.008380107742484428,-429.33017626669636,-0.1556910701366553,196219377.82145056,2.3720268654204006,24.68992094585256,8.874184397017842e-09,22,0,140.0430555381094,-125.53873423766807,345.31811201799474,70.05601277720818,-179.93437670033893,-189.16325128126658,729.9899195510037,132.88144503630093
31,252,design_000252,longitudinal_stratified,200.0,True,0.008536603361635193,0.009576356893315824,-1009.419404554553,-0.08906493665398052,4276852040498.3486,1.8537887871840795,15.668883701514886,3.531155504024991e-09,29,0,-131.15954531877838,56.002702937070744,144.7991075239547,-156.13148697043877,357.004114128309,163.90771123128326,933.0208251844628,120.86421945895759
