design_id,role,primary_risk,tight_tolerance_risk,absolute_tight_risk_change,max_lambda_change_tight,half_reference_bank_risk,absolute_half_bank_risk_change,tight_max_residual,half_bank_max_residual
design_000000,manual_control,0.07573926,0.07883433,0.0030950755,22.58706138538861,0.07604635,0.00030709058,0.7935992847769698,0.7660350001321867
design_000141,near_alternative,0.034068882,0.034071337,2.4549663e-06,2.4594754179929623e-06,0.03358832,0.00048056245,3.456776889488884e-11,6.220738604570654e-09
design_000425,best,0.018716197,0.018718407,2.2090971e-06,1.3633271009894088e-06,0.018345574,0.00037062354,8.809600532374606e-11,8.876045735862052e-09
