probability,observation_xmin_km,observation_xmax_km,observation_ymin_km,observation_ymax_km,trajectory_xmin_km,trajectory_xmax_km,trajectory_ymin_km,trajectory_ymax_km,complete_trajectories_contained
0.95,-286.60959314669924,1650.5884042706118,-493.5452804861445,428.0250981108859,-429.5087674052967,1966.5558160807122,-668.735577950609,716.8520090749358,309
0.99,-440.6021003340551,1893.0888847764086,-659.8532348150337,688.8254052380527,-533.5616941430861,2097.0538137930394,-779.9294396358157,836.9455820908418,331
0.995,-492.01538303760265,2011.0987552341721,-721.9110622383947,748.4251808392635,-560.7143227090621,2134.562287304499,-821.9279774752146,893.8824784505126,335
1.0,-569.4029996186118,2196.3068523740717,-884.5398425367117,913.6809718236399,-569.4029996186118,2196.3068523740717,-884.5398425367117,913.6809718236399,339
