design_index,design_id,source_time_index,day,formulation,solver,preconditioner,convergence,coarse_convergence,fine_convergence,physical_relative_residual,coarse_physical_relative_residual,fine_physical_relative_residual,gauge_residual,compatibility_residual,a_tan,a_full,lower_bound_pass,coarse_action,fine_action,grid_relative_change,grid_refinement_pass,iteration_count,condition_proxy,log10_condition_proxy,minimum_log_q_mass,maximum_log_q_mass,log_q_range,unrepresentable_equilibrated_coefficient_count,accepted,density_floored_clipped_thresholded_or_truncated,final_test_accessed
56,design_000056,0,0.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,35324.83966141324,42397540.43535224,35324.83966141324,-27397.95918367327,4.4712869661804775e-10,286760.0169583321,3.241074980019493e+19,True,4.72362436293939e+25,3.241074980019493e+19,1457424.20369306,False,1200,4.49423283715579e+307,307.6526555685888,-300135.2067086802,-2.6336421027039023,300132.5730665775,,False,False,False
56,design_000056,0,0.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,4.4712869661804775e-10,286760.0169583321,nan,False,nan,nan,inf,False,0,inf,610.3273948194726,-300135.2067086802,-2.6336421027039023,300132.5730665775,219747,False,False,False
56,design_000056,0,0.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,1365.6741283341657,inf,nan,4.4712869661804775e-10,286760.0169583321,nan,False,319742324520.72516,nan,inf,False,0,inf,130345.92032223914,-300135.2067086802,-2.6336421027039023,300132.5730665775,0,False,False,False
56,design_000056,0,0.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,21.86394259401565,518.4553526000743,21.86394259401565,7.328855075098766e-05,4.4712869661804775e-10,286760.0169583321,768624430.439027,True,11496504754975.72,768624430.439027,14956.246087545105,False,1,753788965562.8694,11.877249775684252,-300135.2067086802,-2.6336421027039023,300132.5730665775,,False,False,False
56,design_000056,10,2.5,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,111415.93157405264,154936.65442584598,111415.93157405264,8785102.040816316,1.140393508223062e-09,1027033.89659955,1.72048524837185e+20,True,1.628551787256946e+20,1.72048524837185e+20,0.05343461166081109,True,1200,4.49423283715579e+307,307.6526555685888,-289361.4573561567,-4.534978255519032,289356.9223779012,,False,False,False
56,design_000056,10,2.5,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.140393508223062e-09,1027033.89659955,nan,False,nan,nan,inf,False,0,inf,7676.24134728458,-289361.4573561567,-4.534978255519032,289356.9223779012,86884,False,False,False
56,design_000056,10,2.5,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.9867913043718505,inf,nan,1.140393508223062e-09,1027033.89659955,nan,False,14233765.438169587,nan,inf,False,0,inf,125666.11468923005,-289361.4573561567,-4.534978255519032,289356.9223779012,0,False,False,False
56,design_000056,10,2.5,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,5.318562083222929,4.446363227546308,5.318562083222929,1.8724939443412672e-05,1.140393508223062e-09,1027033.89659955,117166104.01359062,True,157949950.3253797,117166104.01359062,0.3480857083637293,False,1,459100014330.8303,11.661907306322545,-289361.4573561567,-4.534978255519032,289356.9223779012,,False,False,False
56,design_000056,40,10.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,True,False,1.1900616593880239e-08,9.888842112780793e-09,1.1900616593880239e-08,2.320139545339102e-11,2.9784438321971335e-15,2244527.487826104,2740311.76112499,True,2734574.695956837,2740311.76112499,0.0020935811937681757,True,1200,4.49423283715579e+307,307.6526555685888,-50562.69549438043,-7.23157267421918,50555.463921706214,,False,False,False
56,design_000056,40,10.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,2.9784438321971335e-15,2244527.487826104,nan,False,nan,nan,inf,False,0,inf,7462.41199941588,-50562.69549438043,-7.23157267421918,50555.463921706214,8579,False,False,False
56,design_000056,40,10.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.15832587538840642,inf,nan,2.9784438321971335e-15,2244527.487826104,nan,False,2623620.0464434456,nan,inf,False,0,inf,21955.959011255938,-50562.69549438043,-7.23157267421918,50555.463921706214,0,False,False,False
56,design_000056,40,10.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,0.6718101320026301,0.6470431209504401,0.6718101320026301,7.424739762713416e-08,2.9784438321971335e-15,2244527.487826104,2560690.686311909,True,2560912.739970745,2560690.686311909,8.671631447836959e-05,True,1,724380109194.4818,11.859966516482332,-50562.69549438043,-7.23157267421918,50555.463921706214,,False,False,False
56,design_000056,90,22.5,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,3.4648223889293e-08,1.8972933030651362e-08,3.4648223889293e-08,4.292258158877343e-10,1.2861099888148496e-15,116017.35097800105,677561.9288019368,True,677136.2361065898,677561.9288019368,0.000628271272708192,True,1200,4.49423283715579e+307,307.6526555685888,-6593.4982620247065,-8.641999628163843,6584.856262396543,,False,False,False
56,design_000056,90,22.5,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.2861099888148496e-15,116017.35097800105,nan,False,nan,nan,inf,False,0,inf,675.1740156536086,-6593.4982620247065,-8.641999628163843,6584.856262396543,88,False,False,False
56,design_000056,90,22.5,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.46451141715728483,inf,nan,1.2861099888148496e-15,116017.35097800105,nan,False,671021.3341927411,nan,inf,False,0,inf,2859.7667388848895,-6593.4982620247065,-8.641999628163843,6584.856262396543,0,False,False,False
56,design_000056,90,22.5,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,1.1491046211948275,1.0886879726706977,1.1491046211948275,-1.6932134251948236e-09,1.2861099888148496e-15,116017.35097800105,642640.3844567336,True,642683.9309465751,642640.3844567336,6.776183211447298e-05,True,1,51568547.80362712,7.712384901626776,-6593.4982620247065,-8.641999628163843,6584.856262396543,,False,False,False
56,design_000056,180,45.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),True,True,True,9.95939000706476e-09,9.587262817007127e-09,9.95939000706476e-09,-2.436146522606058e-10,1.4950060520376326e-10,55700.87161369439,425463.19013266655,True,425477.6906055863,425463.19013266655,3.4081615650940155e-05,True,1017,4.49423283715579e+307,307.6526555685888,-2947.824590086211,-9.742740335336388,2938.081849750875,,True,False,False
56,design_000056,180,45.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.4950060520376326e-10,55700.87161369439,nan,False,nan,nan,inf,False,0,inf,403.509420777192,-2947.824590086211,-9.742740335336388,2938.081849750875,5,False,False,False
