day,source_time_index,mean_error_km,relative_covariance_frobenius_error,grid_mean_x_km,grid_mean_y_km,particle_mean_x_km,particle_mean_y_km
0.0,0,0.03477638281114525,0.001950407276253563,-76.42357798101733,-78.26254200100061,-76.43902154508122,-78.23138284294986
2.5,10,0.07089339444995922,0.0022895548440012166,-50.03725190620733,-70.53602428424554,-50.07630402547744,-70.47685668029582
5.0,20,0.09484278171569058,0.0023886369969773175,-21.439445919909744,-62.70777106974959,-21.51913760758261,-62.65634745494646
7.5,30,0.1313432529395606,0.0024864205414983826,9.601125927822643,-54.704797506766404,9.479873562129463,-54.6543107371475
10.0,40,0.1712932935625706,0.0024679915348952124,42.68738764189576,-46.72347711011365,42.524953642418104,-46.66910259187941
12.5,50,0.21349946628463762,0.0024170202363193363,77.70631476868269,-38.77217312335361,77.50161118008462,-38.71152279014019
15.0,60,0.25820448940045415,0.002355710944381091,114.74149600666216,-30.845990213633815,114.49234580215565,-30.77821312354494
17.5,70,0.3055996256718679,0.002287820881369922,153.71604485796504,-22.957708943889937,153.41972340823182,-22.882977895196746
20.0,80,0.3556872364535041,0.002215378986170328,194.3906197972425,-15.109500845030873,194.04425595034132,-15.02859660697282
22.5,90,0.40835764954549775,0.002141296604272173,236.49268468351295,-7.2967343343175415,236.0934936189602,-7.210696761574212
25.0,100,0.4634753822777712,0.0020692065480324697,279.773442371876,0.4826086567786826,279.3188068350033,0.5726972719859967
27.5,110,0.5209101288131204,0.0020028550137183242,323.9751812207576,8.23185258860771,323.46265942930484,8.324958848258577
30.0,120,0.5804911452002792,0.0019454828386939412,368.80149595479315,15.961948880324158,368.2288584782419,16.057113422591303
32.5,130,0.6418948673979326,0.001899521512351984,413.94069642843124,23.68341687036638,413.3060739037515,23.779766608097834
35.0,140,0.7044387437545839,0.0018664190251003914,459.1084402193405,31.38406494212765,458.4106866499599,31.480883845856393
37.5,150,0.7670918793862485,0.0018463725631248488,504.06182036252966,39.01922491548085,503.3008631289213,39.11604454179428
40.0,160,0.829405929540203,0.0018389357334094457,548.5738950915634,46.544004035566864,547.7501030353369,46.640341173030144
42.5,170,0.8930942029125912,0.0018447187512702573,592.3781396926754,53.96580789381033,591.4900506641192,54.06022787386813
45.0,180,0.9627141674003123,0.0018665219726885201,635.0940375817371,61.341358272158466,634.1354305368209,61.43019014453695
