design_index,design_id,source_time_index,day,minor_std,cov_area_scale,cov_anisotropy,log10_kappa_C,log10_normal_roundoff_amplification,old_rank_sensitive,old_relative_rank_action_change,zero_weight_count,log_weight_range,Eq_h2,old_tangent_action,old_full_action_diagnostic,direct_svd_action,normal_unresolved_direction_action_fraction,final_test_accessed
121,design_000121,0,0.0,10.08876680818626,1132.1229237327777,123.7185533390904,14.224387969556446,12.494186168921889,False,0.0002538684108272756,127219,299776.47637806577,156.70492749973522,1073315.641690601,1372077.0193814104,1373573.7617873226,0.0009998678911903142,False
312,design_000312,0,0.0,12.422036542276203,1177.4746678785614,58.228008278433784,14.332008876068306,12.709427981945609,False,0.0008153975628949412,127347,299804.18825970055,3602.012673783482,4776451.934905621,9498259.168248959,9532129.605479784,0.000727091708959285,False
329,design_000329,0,0.0,11.051868293692067,1140.3757195966543,87.16720504735179,14.506364753584721,13.058139736978438,False,0.00029370766032606616,127367,299802.5466890778,290.1574815458977,68652.44780131461,302475.4130648603,303905.4032269245,0.0010453694865305205,False
121,design_000121,1,0.25,11.697778466035684,1338.8957648871599,95.73703345258902,13.928474687684234,11.902359605177468,False,0.00010521096759503067,125625,299462.8780538425,291.8694305177841,1359892.129760454,1794223.2723006927,1795082.4504358761,0.0006053834735411134,False
312,design_000312,1,0.25,14.069104578386689,1096.3377290056442,30.677706538516762,14.184745944566671,12.414902118942342,False,0.0014855895145239545,125753,299487.8686978081,5313.869320035152,5988949.648544507,12542527.659078935,12569207.153007519,0.0012611981977311106,False
329,design_000329,1,0.25,12.612463268708712,1272.3115857725538,63.97161369873693,14.24631709779718,12.538044425403355,False,0.002200952484157202,125800,299487.9157621615,280.1762459193459,99102.3845712496,378690.01685307623,379854.13295787625,0.0007791354351637835,False
121,design_000121,2,0.5,13.613958357703336,1593.8369343582028,73.9520303127675,13.660529857026496,11.366469943861988,False,0.00015450495556663195,123876,299030.4812412481,557.6708020505347,1347649.8295069425,1899846.991329793,1900932.3724884724,0.0005764920784857212,False
312,design_000312,2,0.5,15.923772706032404,944.3741641603151,13.870889596647071,14.111120994482919,12.267652218774833,False,0.0018092486190926114,123976,299048.29450214293,7026.790502097613,5484215.418563286,11779781.681002578,11811288.547602935,0.0019809988005681,False
329,design_000329,2,0.5,14.329710051011874,1410.165969791816,47.16185170973583,13.99696585221004,12.039341934229078,False,0.0018278080364896707,124115,299054.08550662926,273.2802032443529,142062.31327550078,491738.6280905474,493014.3648848394,0.0006360200109260956,False
121,design_000121,3,0.75,15.926863421667084,1910.7876530621672,56.74189415136088,13.372982683949077,10.79137559770715,False,0.00019857516007967325,122002,298443.851508297,1063.8005977783898,950754.935504296,1560154.3844679887,1563998.4122188927,0.002134464079329652,False
