day,source_time_index,grid_nx,grid_ny,dx_km,dy_km,raw_normalization,absolute_normalization_error,minimum_log_density,maximum_log_density,log10_density_dynamic_range,density_evaluation_seconds
0.0,0,512,272,7.12890625,7.169117647058823,0.999420047295996,0.0005799527040040164,-299785.88015446905,-8.41277037626099,130191.69988384354,3.180101496000134
2.5,10,512,272,7.12890625,7.169117647058823,0.9983876978031716,0.0016123021968283968,-289367.02263518644,-9.548349668623072,125666.35437966246,3.0695886470002733
5.0,20,512,272,7.12890625,7.169117647058823,0.9983039680749703,0.0016960319250296507,-225670.02915415465,-10.242099436835503,98002.80030532679,3.9155692480017024
7.5,30,512,272,7.12890625,7.169117647058823,0.9982984659867742,0.0017015340132258139,-115800.70393954498,-10.739345278782631,50286.942683062705,4.488297841999156
10.0,40,512,272,7.12890625,7.169117647058823,0.9982974781134871,0.0017025218865128755,-50600.22506898108,-11.144956634124155,21970.55833735382,5.218477074000475
12.5,50,512,272,7.12890625,7.169117647058823,0.9982971660056447,0.001702833994355335,-21850.14694430874,-11.49009224004816,9484.408163032072,6.623448271999223
15.0,60,512,272,7.12890625,7.169117647058823,0.9982970372724768,0.0017029627275232384,-10175.508252887446,-11.78898989615099,4414.0471915309045,6.822347363000517
17.5,70,512,272,7.12890625,7.169117647058823,0.998296976263612,0.0017030237363879763,-7734.469578565985,-12.051907243171575,3353.8033816076572,7.565748623001127
20.0,80,512,272,7.12890625,7.169117647058823,0.9982969448760926,0.0017030551239074487,-7162.21023020325,-12.287274582012294,3105.172085659692,8.368001102999187
22.5,90,512,272,7.12890625,7.169117647058823,0.9982969277067085,0.0017030722932914744,-6599.902930440596,-12.500761505983345,2860.8724120458146,9.187076881000394
25.0,100,512,272,7.12890625,7.169117647058823,0.99829691773069,0.0017030822693100411,-6061.518947160977,-12.696189268014914,2626.970345763723,9.944674168998972
27.5,110,512,272,7.12890625,7.169117647058823,0.9982969114382039,0.0017030885617961289,-5555.72830147629,-12.876794198939784,2407.229823619675,10.926195294001445
30.0,120,512,272,7.12890625,7.169117647058823,0.9982969090524753,0.0017030909475247435,-5086.330069619613,-13.044621692820519,2203.299875154673,11.581963358999928
32.5,130,512,272,7.12890625,7.169117647058823,0.9982969131713569,0.0017030868286430634,-4653.638780679487,-13.200732831327443,2015.3166377943537,12.239707937000276
35.0,140,512,272,7.12890625,7.169117647058823,0.9982968642398137,0.001703135760186325,-4255.9930877504385,-13.346355123128458,1842.5580646449014,13.312357427999814
37.5,150,512,272,7.12890625,7.169117647058823,0.998296594683757,0.001703405316243023,-3890.723224537721,-13.482209515291977,1683.8643778332037,13.772397900000215
40.0,160,512,272,7.12890625,7.169117647058823,0.9982961714589947,0.001703828541005259,-3554.471161384199,-13.609438925816754,1537.7767072461188,14.739615099999355
42.5,170,512,272,7.12890625,7.169117647058823,0.9982966343930789,0.0017033656069210812,-3243.2315866063427,-13.72893230332053,1402.5551820557075,15.431143621000956
45.0,180,512,272,7.12890625,7.169117647058823,0.9983004452083639,0.001699554791636082,-2952.590099047672,-13.841732460980872,1276.2821993107946,16.13637975200072
