bandwidth_days,eligible_for_nominal_selection,blocked_window_half_width_days,aggregate_normalized_mse,median_layout_normalized_mse,maximum_layout_normalized_mse
0.5,False,0.5,0.01997384999051299,0.014818203603022178,0.08037140051712482
0.75,True,0.5,0.02836890796823501,0.02196782794412996,0.10586487620383832
1.0,True,0.5,0.038664199562606576,0.030643659711926573,0.13297663955922578
1.5,True,0.5,0.06277428673475591,0.0531993476904363,0.18712432790008168
2.0,True,0.5,0.08930617202200407,0.08120317740830424,0.23768197557558568
3.0,True,0.5,0.1440856678900757,0.13661498093338126,0.31966697416897827
4.0,True,0.5,0.19778934805398607,0.1862917488947256,0.3785247139215166
6.0,False,0.5,0.2980482123497502,0.2842258230146546,0.4876830418873161
