design_index,design_id,validation_risk,tangent_action,mean_projection_kl,maximum_projection_kl,minimum_log10_intrinsic_ess,geometry_style,centroid_x_km,centroid_y_km,rms_sensor_radius_km,sensor_centers_km,selection_reason,selection_frozen_before_full_action,final_test_accessed
56,design_000056,0.00841426908574727,677267.6288374455,2.3720268654204006,24.68992094585256,-429.33017626669636,support_random,258.85417760169224,-27.941131926356384,356.0483052854332,"(140.043,-125.539); (345.318,70.056); (-179.934,-189.163); (729.990,132.881)",minimum tangent action among the 24 ready layouts,True,False
88,design_000088,0.008603608370621914,1163146.2609220045,1.5091270950026212,12.709172471905735,-520.8703295081001,support_random,350.7038409843966,128.05205721571554,394.0299159631796,"(334.627,372.672); (786.043,374.501); (-76.347,-55.532); (358.493,-179.433)",maximum tangent action and low-KL case,True,False
138,design_000138,0.007147611866613365,930970.3395755773,2.146798918420945,19.90507343415604,-541.8670774951445,support_random,381.002390074217,-99.94133440329152,370.5064218302162,"(297.485,10.123); (-51.185,-209.122); (503.901,-384.904); (773.808,184.138)",near-median tangent action,True,False
192,design_000192,0.008829544186419338,778004.2928185597,2.346380071047315,28.24371142437665,-260.9091286676077,support_random,121.61833537093494,-104.32633506492711,417.615464076651,"(641.218,141.026); (-345.085,-268.095); (16.268,-374.921); (174.072,84.685)",largest intrinsic overlap and largest maximum KL among ready layouts,True,False
223,design_000223,0.009491185985609524,1022897.554884853,1.883544865754653,20.679849005053494,-2104.5521073159066,longitudinal_stratified,283.20547301966747,33.113549674979495,696.0814759344121,"(-545.963,-316.928); (-55.085,-17.255); (515.780,195.714); (1218.089,270.922)",widest layout and longitudinal geometric contrast,True,False
241,design_000241,0.007746404805936105,805209.7862218032,1.8982189450992848,18.917097852711933,-18136.56620104602,longitudinal_stratified,419.0808577409443,-74.07807303862988,580.2169943963725,"(-135.474,-583.582); (114.507,-22.465); (550.744,282.696); (1146.546,27.038)",smallest intrinsic overlap among the 24 ready layouts,True,False
