smoothing,internal_knots,effective_degrees_of_freedom_per_component,aggregate_normalized_gcv,mean_residual_sum_squares,mean_roughness
1e-10,20,23.999887959500573,0.0005077990282443456,0.0009370030462941487,5176.932468468671
1e-08,20,23.988821723976052,0.0005077475401942295,0.0009371063879552127,5156.436774912409
1e-06,20,23.075766628576456,0.0006183471579323874,0.0015374157361377125,3787.8683523042073
0.0001,20,13.678717848194294,0.009578200904757968,0.04611391255684076,714.02769989058
0.01,20,5.585186025860062,0.16524555848374667,0.6950512385108634,55.518029223716205
1.0,20,2.788349753375644,1.2367534215612943,4.870194491402777,2.5620235052803277
100.0,20,2.0196622761306258,3.353970297793313,13.954885383527783,0.0018517105349414587
