endpoint,proposals,inside_count,Z_hat,outside_mass_hat,monte_carlo_standard_error,ci95_lower,ci95_upper,domain_xmin_km,domain_xmax_km,domain_ymin_km,domain_ymax_km
day0,2000000,2000000,1.0,0.0,0.0,1.0,1.0,-650.0,3000.0,-950.0,1000.0
day45,2000000,1961790,0.980895,0.01910500000000004,9.67987576753959e-05,0.9807052744349561,0.9810847255650438,-650.0,3000.0,-950.0,1000.0
