design_index,design_id,smoothing,residual_sum_squares,roughness,maximum_absolute_fit_residual,minimum_smoothed_moment,maximum_smoothed_moment,maximum_absolute_derivative_per_normalized_time
216,design_000216,1e-08,0.0008238344904053611,9734.72657845026,0.006934029322017199,-1.0999888740953045e-05,0.7975122004111427,11.048630890222793
240,design_000240,1e-08,0.0012055483627361676,5238.228873691585,0.011471446558499632,-9.648494740820547e-05,0.7083154537724264,13.469743418054213
278,design_000278,1e-08,0.0009232779409177793,6497.572405686931,0.004479420680336216,-0.0004051171086424496,0.9209061862011951,7.786354908367123
235,design_000235,1e-08,0.0010072336046818098,3098.8412472657437,0.008579843135668064,-7.704118699019126e-05,0.6200420163724751,9.421425179604478
267,design_000267,1e-08,0.0010125000831056167,5322.499897797112,0.007654711328045349,-0.0002125174359358063,0.9307699002298024,9.269856689196365
324,design_000324,1e-08,0.0014020223729570916,8490.43694759274,0.012196315071549946,-0.00010592194873074905,0.7755957327976024,15.323597831010067
150,design_000150,1e-08,0.0014200704200027841,6916.300736655991,0.01316888084528689,-1.7990131262488572e-05,0.6801832789336589,14.551799160570507
266,design_000266,1e-08,0.0008977890705937193,7789.262031167355,0.00567296524763411,-0.00017481007700619142,0.8897988314168324,7.095131522814011
4,design_000004,1e-08,0.00047047085480181783,500.1754529945216,0.004369974354534012,-0.0002821814978740179,0.28335609468584794,2.934053597711937
186,design_000186,1e-08,0.0006688415289937,9214.445084368328,0.004060382731699841,-0.0003720372001165459,0.9041209731054276,8.327291752422239
138,design_000138,1e-08,0.0009761396292344743,3739.2198651456492,0.006162670980250584,5.230612522384139e-05,0.7777541450964399,8.100795057037477
500,design_000500,1e-08,0.000661860894218843,9742.037806277285,0.007735901354309349,-4.880791592398043e-06,0.8506803654830264,13.225713024605422
14,design_000014,1e-08,0.0009981703936412381,3824.6716846274903,0.008829193361651055,-1.2431391178854313e-05,0.6594460343800059,13.373496537380714
325,design_000325,1e-08,0.0007479745570694821,806.6194145929218,0.007741498345720466,-1.9197939364988016e-05,0.7728727599066447,7.894382164389318
347,design_000347,1e-08,0.0007732207598479577,9151.70074287678,0.004808054576315168,3.315399000533071e-06,0.8842572234726831,9.656156359107264
281,design_000281,1e-08,0.0008433991699173444,8951.255182444176,0.004780766570885053,-0.0002995977267268291,0.9047275720549052,8.43685565907279
85,design_000085,1e-08,0.0007827794147504317,4666.857766168575,0.005093460967186436,-0.00027903566420104916,0.7580089242970754,5.975818736936725
193,design_000193,1e-08,0.0005416760918576946,220.8679231546014,0.004186216646286364,-5.17709232360471e-05,0.17789371824917039,1.7104296020188743
121,design_000121,1e-08,0.0007605564368001378,1082.4612972457776,0.0046259994613813415,-4.8155629108738874e-05,0.3354222694340118,4.546540874672523
241,design_000241,1e-08,0.0009645876186314859,7709.468431533562,0.010868693518156225,-1.441266196099307e-05,0.7951523376940426,14.950564166884218
307,design_000307,1e-08,0.0006444012125107459,5432.930064141187,0.0058061359806860224,-0.0001912762517149503,0.8998680255097716,8.053351688169847
312,design_000312,1e-08,0.0005907928596923723,2406.599984846168,0.00361823172866671,-0.00015077230272936032,0.4898303825866781,6.129030316233732
182,design_000182,1e-08,0.0011923518715916128,2406.9405929234945,0.00861546254333756,-4.366129238340347e-05,0.7539537512632873,10.741169355538897
205,design_000205,1e-08,0.0009710393627099615,7074.470451874562,0.011035059956290949,-1.6651005831367846e-05,0.6654116881285178,13.43405094437494
218,design_000218,1e-08,0.001064768906495494,3375.714095204834,0.007179099008303491,3.14059002937125e-05,0.9281870920416053,8.350602524113313
