case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,trigger_primary_converged,trigger_primary_verified_l2_residual,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight
3,design_000159,159,support_random,2.5,10,256,136,34816,False,0.009455199638140985,True,17,2.216782798983816e-09,2.2167827233253347e-09,2.145519664149084e-09,162.77246224022187,61.938844949374285,505.95035297175536,10706.321400694243,10719.684463155303,14.010155160241387,0.0,-4463.656536139539,2.29335511404205e-09,0.02343323610570418,10217879.361266753,0.06755375067168455
3,design_000159,159,support_random,2.5,10,512,272,139264,False,0.009455205328701238,True,22,7.0288306866999294e-09,7.028830875946466e-09,6.8050263930411476e-09,162.77246737493226,61.93884777583863,505.9503603738056,10705.824371163017,10719.188053689026,14.010204797924029,0.0,-4463.251565583363,6.655283347820372e-09,0.023433237845384314,3520997.2438006764,0.017369181289649312
5,design_000205,205,support_random,2.5,10,128,68,8704,False,0.06773891851708473,True,65,3.4957896199586248e-09,3.4957894288562753e-09,2.8843134547429372e-09,-29745523.946414873,5419.335304895047,111.95303396639027,-3.503086230799918,29745524.440299947,29.09221182647999,6.473886030680447e-129,-128.18883495038946,1.0975199827066766e-14,0.03870920763874432,3232447741811.657,0.05942141740508511
5,design_000205,205,support_random,2.5,10,256,136,34816,False,0.067478279750502,True,63,1.0889734115498144e-09,1.0889736649276632e-09,8.702546461236693e-10,-28106305.320507303,5319.666875127024,125.37517801577798,-3.4775322857036035,28106305.82421254,29.083659917664782,1.07060267450395e-133,-132.97037167602744,8.125284978273394e-15,0.038790981310352364,4250933686203.962,0.03292223395524398
5,design_000205,205,support_random,2.5,10,512,272,139264,False,0.06747827769730363,True,64,2.7950658607367546e-10,2.7950482015828833e-10,2.235454044097196e-10,-28117313.183556113,5320.400908087254,125.21787057438006,-3.476873246829298,28117313.687202338,29.083581378172358,1.6719594504509566e-133,-132.77677425958774,8.050499250366231e-15,0.038785710684312864,4285477476034.7485,0.00818754189398713
7,design_000279,279,longitudinal_stratified,2.5,10,128,68,8704,False,0.3503754165524469,True,38,1.3295167064961476e-13,1.3294879795558706e-13,1.1823875212257917e-13,1.7139091081638924,4.9172569300125115,1058.257436060834,-1599967.0842042048,1599967.434191341,6.418708723316468,2.4577660920043537e-95,-94.60945945171221,5.211834085226214e-13,0.16417770334564202,314406204153.70917,0.05276709120569334
7,design_000279,279,longitudinal_stratified,2.5,10,256,136,34816,False,0.3512174386065956,True,29,3.3794021905639244e-09,3.379404174452298e-09,3.0233417991354372e-09,1.7089067582532664,5.019718430176791,1045.6295173588323,-1496768.399389509,1496768.7646327468,6.4130996957780795,1.7374827054328975e-97,-96.76007950959968,2.3243789973303343e-13,0.16343865197456492,700137604739.7584,0.01537389677984009
7,design_000279,279,longitudinal_stratified,2.5,10,512,272,139264,False,0.351217432822261,True,29,3.0111395527519e-09,3.0111403419290516e-09,2.6936938235522234e-09,1.708670354853117,5.019293573262787,1045.628471938016,-1496638.2513550648,1496638.6166293318,6.4131680236648085,2.252532034896035e-97,-96.64732902388734,2.4160186401236517e-13,0.16344123508191288,673701481014.109,0.003863927896997315
9,design_000392,392,lateral_discriminating,2.5,10,128,68,8704,False,0.00024282356136410082,True,416,8.645384062677828e-09,8.645384067331197e-09,7.812105661528842e-09,-323064082.3065927,247090.2129675131,-119394.75358929443,7244.453116615375,323064198.9415781,16.930031656793865,0.0,-832.4587383691315,2.0547360396284294e-16,2.3561968163396995e-06,1954581842.0196,0.03919228365069591
9,design_000392,392,lateral_discriminating,2.5,10,256,136,34816,False,0.0002428252593973345,True,467,8.704990095334656e-09,8.704990114310229e-09,7.53593173361813e-09,-354043697.29023784,256963.49287662574,-121449.90195688632,7265.493944164488,354043811.4471772,16.75427021978807,0.0,-823.822418200602,1.2029537771455241e-16,2.5688590405914854e-06,2293019406.03563,0.03624733301190077
9,design_000392,392,lateral_discriminating,2.5,10,512,272,139264,False,0.0002428252592854109,True,465,8.82211507237625e-09,8.82211508128903e-09,7.626468821725742e-09,-363064631.4021065,258020.9539724524,-118529.10734691714,7197.2961538641775,363064742.5059483,16.722527038874624,0.0,-824.216360904321,7.209936423255144e-17,2.6040499901133434e-06,2428925972.7128177,0.015905927295073286
10,design_000403,403,lateral_discriminating,2.5,10,128,68,8704,False,0.03463090022430873,True,7,7.817888243557096e-10,7.817898758223977e-10,6.039122535383967e-10,-530.8138130638308,311.0409665119582,-43.49643169742825,4.45891557119774,616.7832751352266,13.066350806640394,3.0155792181760705e-36,-35.52062925828411,3.073473833044968e-05,0.03600053316612052,1171.3303942231244,0.252365307978602
10,design_000403,403,lateral_discriminating,2.5,10,256,136,34816,False,0.03456627574718493,True,7,3.1429107139546197e-09,3.1429102399977986e-09,2.4295870870716385e-09,-530.4458204361505,310.9535574414132,-43.49121422899261,4.436443165712039,616.4219748246535,13.0736787408401,2.2708928730821207e-36,-35.64380335267003,3.161339448057475e-05,0.03619712310186286,1144.9932440175207,0.07384812465006461
10,design_000403,403,lateral_discriminating,2.5,10,512,272,139264,False,0.03456627406065948,True,7,3.142796212207365e-09,3.1427985749591984e-09,2.42950104478723e-09,-530.4458119276616,310.95355411970536,-43.49121351866773,4.436443621217536,616.4219657804248,13.073678711603401,2.265904160141556e-36,-35.644758463228975,3.161339877297743e-05,0.03619712533285954,1144.9931591239156,0.019372711352754507
