repeat,design_id,style,validation_mmd_risk,feasible,projection_failure_count,minimum_ess_fraction,max_moment_residual,failure_reason_counts
1,design_000073,support_random,0.05682001,False,3,0.05821165107599422,0.34989820339028743,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000074,support_random,0.03046962,False,4,0.09511524815344953,0.2777670494851146,"{""coordinate_support_infeasible"": 3, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000075,support_random,0.05166584,False,4,0.009996429456007781,0.41803045035808606,"{""coordinate_support_infeasible"": 3, ""low_ess"": 2, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000076,support_random,0.26842746,False,12,0.005023945930935698,0.8261999273824281,"{""coordinate_support_infeasible"": 3, ""low_ess"": 6, ""moment_residual"": 12, ""native_nonconvergence"": 12}"
1,design_000077,support_random,0.054024488,False,5,0.005207899837335925,0.6665968551837083,"{""coordinate_support_infeasible"": 5, ""low_ess"": 5, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000078,support_random,0.09271854,False,8,0.00647471890271505,0.636234119363816,"{""coordinate_support_infeasible"": 7, ""low_ess"": 2, ""moment_residual"": 8, ""native_nonconvergence"": 8}"
1,design_000079,support_random,0.03191431,False,4,0.0050488603684578845,0.5875227386626071,"{""coordinate_support_infeasible"": 4, ""low_ess"": 4, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000080,support_random,0.040700458,False,2,0.039445132127350756,0.2946033571952137,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 2, ""native_nonconvergence"": 2}"
1,design_000081,support_random,0.055605963,False,5,0.005244606221947388,0.4220405869816333,"{""coordinate_support_infeasible"": 4, ""low_ess"": 1, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000082,support_random,0.03954135,False,6,0.00791854117618003,0.5274848266153584,"{""coordinate_support_infeasible"": 5, ""low_ess"": 2, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000083,support_random,0.042392753,False,3,0.06101021303520709,0.620341127055035,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000084,support_random,0.04908242,False,5,0.005000010568243435,0.7551440922328255,"{""coordinate_support_infeasible"": 4, ""low_ess"": 3, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000085,support_random,0.045322437,False,4,0.012054857414103235,0.6536924165912559,"{""coordinate_support_infeasible"": 3, ""low_ess"": 1, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000086,support_random,0.037738364,False,5,0.0053385802694452455,0.3606712209790428,"{""coordinate_support_infeasible"": 4, ""low_ess"": 2, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000087,support_random,0.053187527,False,6,0.006214539470651611,0.363662763585058,"{""coordinate_support_infeasible"": 5, ""low_ess"": 1, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000088,support_random,0.033503853,False,3,0.08515513582481077,0.5593443176393095,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
