design_index,design_id,source_time_index,day,production_case_valid,diagnostic_reasons,full_action_density,tangent_action_density,log_action_robust_z_score,maximum_relative_rank_action_change,scaled_weak_relative_residual,compatibility_relative_residual,adaptive_quadrature_required,adaptive_quadrature_valid,density_modified,operator_floor,final_test_accessed
0,design_000000,8,2.0,False,rank_sensitivity,10615188.624191655,633851.4700234437,0.0007593179985293663,0.13971959511413762,3.678299081641671e-20,1.192785575080775e-14,True,True,False,0.0,False
0,design_000000,9,2.25,False,rank_sensitivity,12052787.123443399,1225979.3516446783,0.029827120301714936,0.10284010312019923,4.1622131081804005e-21,1.5396207701133043e-15,True,True,False,0.0,False
0,design_000000,10,2.5,False,rank_sensitivity,10761238.29876654,1949695.4844148739,0.053215856626902674,0.056871460251500854,2.56283764405539e-23,1.4024381470281593e-15,False,False,False,0.0,False
0,design_000000,17,4.25,False,rank_sensitivity,17179836.344397385,9965181.723721018,0.8783544198725112,0.06640691695575382,7.369546426448593e-26,3.7516555560532775e-15,False,False,False,0.0,False
0,design_000000,37,9.25,False,tangent_full_inequality,6114024.9786774535,12946901.80759096,0.6721637804154013,0.0030712380223336944,1.0699939493659303e-21,1.3605314241268515e-15,False,False,False,0.0,False
4,design_000004,24,6.0,False,rank_sensitivity;log_action_outlier,411748675.27408636,292048046.9156693,6.06280827380214,0.5199272354988308,4.641141750265798e-21,1.1719543942433832e-15,False,False,False,0.0,False
4,design_000004,25,6.25,False,rank_sensitivity,191728203.57586852,48945134.432738945,5.655057908874536,0.2121924761293899,4.1503395323878136e-20,1.6535645162438753e-15,False,False,False,0.0,False
4,design_000004,26,6.499999999999999,False,rank_sensitivity,114557631.47474343,24116019.32493274,3.709064884454732,0.20305652270596533,2.8298035553644928e-21,1.0002497812435657e-15,False,False,False,0.0,False
4,design_000004,27,6.75,False,rank_sensitivity,87809437.25375058,15874845.643882537,2.212337532512852,0.2686898163175139,5.491195785440126e-20,2.2352874931567927e-16,False,False,False,0.0,False
4,design_000004,28,7.0,False,rank_sensitivity,63094820.99095988,11519534.287361687,1.9076239665719157,0.24860657341692746,5.119803061931395e-21,8.740717131924209e-16,False,False,False,0.0,False
4,design_000004,29,7.250000000000001,False,rank_sensitivity,45281194.1215592,8668376.858553454,1.7644201063178613,0.2250793930643087,4.541516175544089e-21,7.790058456761129e-16,False,False,False,0.0,False
4,design_000004,30,7.5,False,rank_sensitivity,31918225.711776305,6627295.393629472,1.294734992640528,0.1989301208750563,4.059954124187115e-21,3.2833015171313464e-16,False,False,False,0.0,False
4,design_000004,31,7.75,False,rank_sensitivity,22016458.30372618,5133227.83486316,1.382814997900824,0.16935498727046908,4.5215070180077966e-21,1.241340733089618e-15,False,False,False,0.0,False
4,design_000004,32,8.0,False,rank_sensitivity,15237098.951021673,4095949.9761330127,0.72726256298386,0.1369145264608645,6.7128419209295105e-21,6.002262963361215e-16,False,False,False,0.0,False
4,design_000004,33,8.25,False,rank_sensitivity,10795592.082312549,3393712.6943014963,0.6942762304939635,0.10393465841394488,2.4576890083226526e-21,2.5635004922902997e-16,False,False,False,0.0,False
4,design_000004,34,8.5,False,rank_sensitivity,7971887.795496886,2930839.473705339,0.6548205523122532,0.07091259536394647,1.7925226019885305e-22,2.1844927812643285e-16,False,False,False,0.0,False
12,design_000012,24,6.0,False,rank_sensitivity,50092909.62492142,37905640.40908025,2.949861411407456,0.17340424155710613,5.578184094176669e-23,4.5485699499425296e-15,False,False,False,0.0,False
