day,source_time_index,grid_nx,grid_ny,grid_mean_x_km,grid_mean_y_km,particle_mean_x_km,particle_mean_y_km,mean_error_km,relative_covariance_frobenius_error,maximum_sensor_expectation_error
2.5,10,128,68,-49.97140046501212,-70.18071492326976,-50.07630402547744,-70.47685668029582,0.31417303711933336,0.0009888613272867506,0.0010239028823884055
2.5,10,256,136,-50.03725374502943,-70.53602643257666,-50.07630402547744,-70.47685668029582,0.0708941745705798,0.002289579275282973,0.00021492620328522616
2.5,10,512,272,-50.03725190620733,-70.53602428424554,-50.07630402547744,-70.47685668029582,0.07089339444995922,0.002289554844001306,0.00021493253953352998
5.0,20,128,68,-21.439446874065965,-62.707774816774396,-21.51913760758261,-62.65634745494646,0.09484401168762444,0.0023886825895584538,0.00014155864423268105
5.0,20,256,136,-21.439445919909698,-62.707771069749484,-21.51913760758261,-62.65634745494646,0.0948427817156716,0.0023886369969740437,0.0001415634195557347
5.0,20,512,272,-21.439445919909744,-62.70777106974959,-21.51913760758261,-62.65634745494646,0.09484278171569058,0.0023886369969773388,0.00014156341955581797
7.5,30,128,68,9.601126098575298,-54.70479745421817,9.479873562129463,-54.6543107371475,0.13134339037470877,0.002486421923741283,0.00046959880591268544
7.5,30,256,136,9.601125927822736,-54.70479750676614,9.479873562129463,-54.6543107371475,0.13134325293954482,0.0024864205414976723,0.00046959842850791134
7.5,30,512,272,9.601125927822643,-54.704797506766404,9.479873562129463,-54.6543107371475,0.1313432529395606,0.0024864205414983193,0.00046959842850891054
10.0,40,128,68,42.68738740597046,-46.72347737734077,42.524953642418104,-46.66910259187941,0.17129315466694042,0.002467990613872831,2.6264509203077074e-05
10.0,40,256,136,42.6873876418962,-46.72347711011277,42.524953642418104,-46.66910259187941,0.17129329356270867,0.0024679915348877497,2.626450372956654e-05
10.0,40,512,272,42.68738764189576,-46.72347711011365,42.524953642418104,-46.66910259187941,0.1712932935625706,0.0024679915348952276,2.626450372957001e-05
