design_index,time_index,native_converged,native_iterations,native_reported_residual,verified_moment_residual,lambda_1,lambda_2,lambda_3,lambda_4,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_raw,covariance_condition_regularized,ess_fraction,effective_sample_size,projection_kl,coordinate_support_margin,conditioning_warning,valid,failure_reason,design_id,day,source_time_index
0,0,True,1,4.3886115505412783e-13,4.388383684181862e-13,-1.4227857492420132e-07,1.2166379870807983e-05,-0.0004383212869404953,-8.517713207136614e-12,3.8579067958394993e-29,0.022944836078832426,5.947483257909946e+26,22944837.078832425,0.9999999999999606,3999.999999999842,1.9619795662533618e-14,1.252440125889564e-13,True,True,,design_000000,0.0,0
0,1,False,200,0.42466980805545773,0.42466980805545657,0.04849575872170848,-0.6534080782423598,500.0,0.005078135926526956,2.6842418813205792e-24,0.029117910791228975,1.0847722403058437e+22,29117911.791228894,0.9995168881263469,3998.0675525053875,0.00023283105150531387,-0.0022911427469658845,True,False,native_nonconvergence;moment_residual;coordinate_support_infeasible,design_000000,2.5,10
0,2,False,200,0.2858341164472906,0.28583411644728957,-1.175667024392023,-6.975852097676313,500.0,315.31360352478583,3.980955497464216e-19,0.19851844421644838,4.986703426926033e+17,198518445.13741904,0.08847441948818478,353.8976779527391,0.805132542536001,-0.01727274577367169,True,False,native_nonconvergence;moment_residual;coordinate_support_infeasible,design_000000,5.0,20
0,3,False,200,0.5596883291800896,0.5596883291800862,19.414471811228186,-73.18436668896888,500.0,500.0,7.724543974825389e-23,0.22930521334790896,2.968527515607707e+21,229305214.3478912,0.06418464963664466,256.73859854657866,2.2764544136326874,-0.000942302483540492,True,False,native_nonconvergence;moment_residual;coordinate_support_infeasible,design_000000,7.5,30
0,4,False,200,0.476403518965346,0.47640351896534683,-5.92498999181333,-13.649418856524012,21.035626916285572,500.0,3.322185519318858e-13,0.0002760007997572204,830780816.2796651,275910.13729094627,0.00501012300634267,20.040492025370682,5.287342798535042,-0.0057019735696641665,True,False,native_nonconvergence;moment_residual;low_ess;coordinate_support_infeasible,design_000000,10.0,40
0,5,False,200,0.7346851727807314,0.734685172780726,11.384188101562819,-1.501193291876804,9.383162490994716,500.0,2.4920242049611268e-08,0.08706194068261597,3493623.396967529,3358839.8409235403,0.17453846579586454,698.1538631834582,1.4785478847715092,-0.0014943842489217162,False,False,native_nonconvergence;moment_residual;coordinate_support_infeasible,design_000000,12.5,50
0,6,False,200,0.7645035342752633,0.7645035342752657,11.555986889365954,3.8012337442723356,-34.020964954541185,500.0,1.765077948148793e-09,0.029921178498986928,16951760.41962801,10821098.016068233,0.170478160780256,681.912643121024,1.4929802254710633,0.016276052221645684,False,False,native_nonconvergence;moment_residual,design_000000,15.0,60
0,7,True,37,5.75049712156513e-15,5.717029600715836e-15,-4.334548910169669,-3.517962677746273,-3.01917963330866,4.2614124398147535,0.007091284170146723,0.06281840541080756,8.858537311939061,8.858536203742574,0.25030727187755974,1001.229087510239,0.6492537637631657,0.034108757972710735,False,True,,design_000000,17.5,70
0,8,True,5,1.2306676893021213e-10,1.2306736118441032e-10,-4.118573505903124,-3.0191793206920727,-3.322849114999113,0.8338615934398667,0.013276145682493749,0.05957095384222075,4.487066899301389,4.487066636644838,0.3674385140886885,1469.754056354754,0.507993197911589,0.05854367837309427,False,True,,design_000000,20.0,80
0,9,True,4,7.665741273820455e-15,7.276938161542664e-15,-3.634002319913242,-2.481737869053929,-3.090356473440074,0.5492003348437088,0.01388297358012269,0.06270519002628727,4.516697353372988,4.516697100062912,0.45382057783481117,1815.2823113392446,0.41348486820164954,0.07115687429904682,False,True,,design_000000,22.5,90
0,10,True,3,2.2518843584802528e-09,2.2518845834252677e-09,-3.0630120177256046,-1.7586516552596883,-2.712611457936543,0.9913004157157701,0.013638872228500973,0.06107611684196239,4.478091430047451,4.478091175034344,0.5159147562227858,2063.6590248911434,0.3335838174238571,0.07304684072732767,False,True,,design_000000,25.0,100
0,11,True,3,2.1246462827935466e-09,2.1246460510596846e-09,-2.4560156211685826,-0.9413668650899243,-2.073168094593052,2.447495758404269,0.011101670209872723,0.06322699747633265,5.695268935308927,5.695268512375402,0.5203149219446813,2081.2596877787255,0.29967588800291,0.07924434542655848,False,True,,design_000000,27.5,110
0,12,True,3,2.090746911152633e-09,2.0907462552046217e-09,-1.672518602991744,-0.3004910981844893,-1.339145024149843,3.1493296222636404,0.011509158606157211,0.06687664036745855,5.810732361589025,5.810731943597398,0.603839977480012,2415.359909920048,0.2209451728499457,0.08551559597253741,False,True,,design_000000,30.0,120
0,13,True,4,1.3548308138265302e-10,1.3548298023093135e-10,-1.6179168343166626,-0.025303801398273325,-1.1100316857217114,1.9019583739812744,0.017006109608305904,0.07111900313743474,4.1819678207118995,4.181967633604578,0.7219708187212167,2887.8832748848668,0.1498550678141749,0.0920048654079434,False,True,,design_000000,32.5,130
0,14,True,4,9.078168073226043e-13,9.075827974476304e-13,-1.7815737254842188,0.0932281094365176,-1.0978703816458515,1.0297707048208036,0.01831116453111605,0.07122349914987106,3.8896214945172605,3.8896213367107304,0.8160303900239454,3264.1215600957817,0.11225143105595407,0.08876838535070401,False,True,,design_000000,35.0,140
