model,endpoint,sample_n,distribution_n,biased_rbf_mmd2,energy_distance_km,mean_error_km,mean_error_over_empirical_rms_spread,relative_covariance_frobenius_error,outside_domain_fraction,generated_mean_x_km,generated_mean_y_km,generated_cov_xx,generated_cov_xy,generated_cov_yy,accepted
conditioned_endpoint_target,day0,2500,100000,8.887856741468525e-06,0.3007559990699775,0.19957691330281163,0.002458416641074422,0.16243812702341343,0.0,-76.37995429516961,-78.09556820800839,105.16660027332775,14.845996727985495,7555.926455392218,comparison
conditioned_endpoint_target,day45,2500,100000,0.0019495731248001524,3.096025067848359,21.7590067983286,0.02931182160466702,0.0929479005372873,0.0,663.6983556849877,58.520747809029764,485133.3339642728,113180.93679932004,121075.06096710019,comparison
previous_unconstrained,day0,2500,200000,3.0567567153916286e-05,0.40818423313837116,0.059005729646094594,0.0007268409220288994,0.16882312591790105,0.0,-76.43902154508147,-78.23138284295021,105.32156592093727,11.123188365066392,7597.436995862339,comparison
previous_unconstrained,day45,2500,200000,0.0028403681708943918,4.250774706607672,5.4558243737410494,0.007349607095199582,0.19348226879620842,0.010465,636.9777681450392,53.95984054164668,527427.0653787969,130497.68319469396,128234.66029768215,comparison
domain_preserving,day0,2500,200000,2.944861471987359e-05,0.2753074456964413,0.059005729646122496,0.0007268409220292431,0.16882312591790105,0.0,-76.43902154508146,-78.23138284295021,105.32156592093727,11.12318836506639,7597.436995862339,True
domain_preserving,day45,2500,200000,0.013124580459159207,12.623467380784632,9.750958324901811,0.013135634063776273,0.3738140638404219,0.0,634.1354305368213,61.430190144535175,615269.3195609611,141756.10948929202,126937.399649511,True
