conditional_fm_loss,grad_norm_preclip,learning_rate,step
1.0790812951884632,1.9006191949153446,0.0009999999633745155,1
0.09415765325132472,1.1348090718401636,0.0009941519617826906,400
0.08448154347242419,1.666603756683351,0.000976751845240198,800
0.0777895962540828,1.3941819189442444,0.0009482280989894747,1200
0.07525123100693967,0.6792280243955651,0.0009092830723281,1600
0.07420249393454227,0.4047919471237725,0.0008608757210636101,2000
0.07039428817142068,0.8810018214463786,0.0008041979948389249,2400
0.06705149551933386,0.16774080039376416,0.0007406454873762848,2800
0.07690902648334022,0.15631789613634206,0.0006717830723281001,3200
0.0744639385385,0.1854741275858356,0.0005993063708941098,3600
0.07252413382933771,0.30157491630405414,0.0005250000000000001,4000
0.07634486185862707,0.7293290512238689,0.0004506936291058902,4400
0.07837263867948713,0.6411873003526485,0.0003782169276719,4800
0.07690059364840791,0.20866055204754683,0.00030935451262371525,5200
0.07067446413754291,0.2292560737281432,0.00024580200516107533,5600
0.06900302824224805,0.40706422631810446,0.00018912427893638995,6000
0.064430659157465,0.6715232587829856,0.00014071692767190003,6400
0.06893976211468321,0.17725503381438376,0.0001017719010105253,6800
0.06792841929454935,0.05806696568320755,7.324815475980207e-05,7200
0.07308308308528985,0.8013479930205871,5.584803821730962e-05,7600
0.07501922902573867,0.5061025012087437,5e-05,8000
