design_id,style,feasible_repeat_count,feasible_all_repeats,mean_valid_fold_risk,std_valid_fold_risk,repeat_0_risk,repeat_1_risk,repeat_2_risk,repeat_0_feasible,repeat_1_feasible,repeat_2_feasible
design_000441,upstream_focused,2,False,0.025601832196116447,0.006459968643454197,0.03145983815193176,0.030169719830155373,0.021033944562077522,False,True,True
design_000141,support_random,2,False,0.03310299478471279,0.0013659714577039799,0.03406888246536255,0.04753810912370682,0.032137107104063034,True,False,True
design_000425,upstream_focused,1,False,0.018716197460889816,nan,0.018716197460889816,0.03165643289685249,0.06487777084112167,True,False,False
design_000460,upstream_focused,1,False,0.026508312672376633,nan,0.024791410192847252,0.03537188842892647,0.026508312672376633,False,False,True
design_000194,support_random,1,False,0.05345580354332924,nan,0.04377245157957077,0.05345580354332924,0.13061922788619995,False,True,False
design_000000,manual,0,False,nan,nan,0.07573925703763962,0.05992218106985092,0.04985280707478523,False,False,False
design_000001,manual,0,False,nan,nan,0.04774768278002739,0.04577207192778587,0.03568042814731598,False,False,False
design_000002,manual,0,False,nan,nan,0.05087592080235481,0.05052116513252258,0.04522467777132988,False,False,False
design_000003,manual,0,False,nan,nan,0.08666945993900299,0.05094616487622261,0.06820069998502731,False,False,False
design_000004,manual,0,False,nan,nan,0.07895126193761826,0.05366668477654457,0.07938771694898605,False,False,False
design_000005,manual,0,False,nan,nan,0.06289936602115631,0.09014870226383209,0.07873965799808502,False,False,False
design_000006,manual,0,False,nan,nan,0.16235662996768951,0.08165528625249863,0.11228857189416885,False,False,False
design_000007,manual,0,False,nan,nan,0.037744831293821335,0.04416423663496971,0.03524914011359215,False,False,False
design_000008,manual,0,False,nan,nan,0.10106950998306274,0.09999386966228485,0.09962040930986404,False,False,False
design_000009,manual,0,False,nan,nan,0.08983147144317627,0.06878508627414703,0.0819808840751648,False,False,False
design_000010,manual,0,False,nan,nan,0.05502147972583771,0.11928179115056992,0.1112249419093132,False,False,False
design_000011,manual,0,False,nan,nan,0.1248902902007103,0.1379300355911255,0.08622393757104874,False,False,False
design_000012,support_random,0,False,nan,nan,0.03341073542833328,0.03679414093494415,0.044748011976480484,False,False,False
design_000013,support_random,0,False,nan,nan,0.036720674484968185,0.10414071381092072,0.1049899011850357,False,False,False
